
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
1,1984,1,1984-09-03,21-354,CLE,@,SEA,L 0-33,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,2,32,16.00,0,0,0
2,1984,2,1984-09-09,21-360,CLE,@,RAM,L 17-20,0,0,,0,,0,0,,0,,,,,,,,,,0,0,,0,,
3,1984,3,1984-09-16,22-001,CLE,,DEN,L 14-24,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,20,20.00,0,0,0
4,1984,4,1984-09-23,22-008,CLE,,PIT,W 20-10,0,0,,0,,0,0,,0,,,,,,,,,,0,0,,0,,
5,1984,5,1984-09-30,22-015,CLE,@,KAN,L 6-10,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,28,28.00,0,0,0
6,1984,6,1984-10-07,22-022,CLE,,NWE,L 16-17,5,11,2.20,0,,2,14,7.00,0,0,0,,0,0,0,,,,4,55,13.75,0,0,0
7,1984,7,1984-10-14,22-029,CLE,,NYJ,L 20-24,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,3,71,23.67,0,0,0
8,1984,8,1984-10-21,22-036,CLE,@,CIN,L 9-12,3,17,5.67,0,,3,36,12.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
9,1984,9,1984-10-28,22-043,CLE,,NOR,L 14-16,0,0,,0,,1,21,21.00,0,0,0,,0,0,0,,,,1,21,21.00,0,0,0
10,1984,10,1984-11-04,22-050,CLE,@,BUF,W 13-10,9,58,6.44,0,,0,0,,0,0,0,,0,0,0,,,,1,25,25.00,0,0,0
11,1984,11,1984-11-11,22-057,CLE,,SFO,L 7-41,5,5,1.00,0,,1,7,7.00,0,0,0,,0,0,0,,,,3,59,19.67,0,0,0
12,1984,12,1984-11-18,22-064,CLE,@,ATL,W 23-7,2,0,0.00,0,,0,0,,0,0,0,,0,0,0,,,,1,17,17.00,0,0,0
13,1984,13,1984-11-25,22-071,CLE,,HOU,W 27-10,9,41,4.56,0,,0,0,,0,0,0,,0,0,0,,,,1,15,15.00,0,0,0
14,1984,14,1984-12-02,22-078,CLE,,CIN,L 17-20,3,3,1.00,0,,1,9,9.00,0,0,0,,0,0,0,,,,1,19,19.00,0,0,0
15,1984,15,1984-12-09,22-085,CLE,@,PIT,L 20-23,15,103,6.87,0,,0,0,,0,0,0,,0,0,0,,,,2,32,16.00,0,0,0
16,1984,16,1984-12-16,22-092,CLE,@,HOU,W 27-20,21,188,8.95,2,,3,31,10.33,0,0,0,,0,0,0,,,,1,21,21.00,0,2,12
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
17,1985,1,1985-09-08,22-358,CLE,,STL,L 24-27,21,68,3.24,0,,1,9,9.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
18,1985,2,1985-09-16,23-001,CLE,,PIT,W 17-7,18,82,4.56,1,,5,49,9.80,0,0,0,,0,0,0,,,,0,0,,0,1,6
19,1985,3,1985-09-22,23-007,CLE,@,DAL,L 7-20,15,80,5.33,1,,1,18,18.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
20,1985,4,1985-09-29,23-014,CLE,@,SDG,W 21-7,14,83,5.93,0,,2,12,6.00,1,0,0,,0,0,0,,,,0,0,,0,1,6
21,1985,5,1985-10-06,23-021,CLE,,NWE,W 24-20,14,37,2.64,1,,1,11,11.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
22,1985,6,1985-10-13,23-028,CLE,@,HOU,W 21-6,14,54,3.86,1,,2,18,9.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
23,1985,7,1985-10-20,23-035,CLE,,RAI,L 20-21,18,41,2.28,1,,2,28,14.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
24,1985,8,1985-10-27,23-042,CLE,,WAS,L 7-14,9,39,4.33,0,,2,41,20.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
25,1985,9,1985-11-03,23-049,CLE,@,PIT,L 9-10,15,45,3.00,0,,6,30,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
26,1985,10,1985-11-10,23-056,CLE,@,CIN,L 10-27,7,24,3.43,0,,6,85,14.17,1,0,0,,0,0,0,,,,0,0,,0,1,6
27,1985,11,1985-11-17,23-063,CLE,,BUF,W 17-7,15,109,7.27,1,,4,20,5.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
28,1985,12,1985-11-24,23-070,CLE,,CIN,W 24-6,21,66,3.14,0,,0,-3,,0,0,0,,0,0,0,,,,0,0,,0,0,0
29,1985,13,1985-12-01,23-077,CLE,@,NYG,W 35-33,14,44,3.14,2,,3,55,18.33,0,0,0,,0,0,0,,,,0,0,,0,2,12
30,1985,14,1985-12-08,23-084,CLE,@,SEA,L 13-31,12,42,3.50,0,,6,70,11.67,0,0,0,,0,0,0,,,,0,0,,0,0,0
31,1985,15,1985-12-15,23-091,CLE,,HOU,W 28-21,22,87,3.95,0,,3,13,4.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
32,1985,16,1985-12-22,23-098,CLE,@,NYJ,L 10-37,15,101,6.73,0,,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
33,1986,1,1986-09-07,23-357,CLE,@,CHI,L 31-41,13,18,1.38,0,,6,94,15.67,0,0,0,,0,0,0,,,,0,0,,0,0,0
34,1986,2,1986-09-14,23-364,CLE,@,HOU,W 23-20,21,56,2.67,1,,2,19,9.50,0,0,0,,0,0,0,,,,0,0,,0,1,6
35,1986,3,1986-09-18,24-003,CLE,,CIN,L 13-30,9,16,1.78,0,,10,77,7.70,0,0,0,,0,0,0,,,,0,0,,0,0,0
36,1986,4,1986-09-28,24-013,CLE,,DET,W 24-21,12,69,5.75,0,,6,38,6.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
37,1986,5,1986-10-05,24-020,CLE,@,PIT,W 27-24,17,79,4.65,1,,5,29,5.80,0,0,0,,0,0,0,,,,0,0,,0,1,6
38,1986,6,1986-10-12,24-027,CLE,,KAN,W 20-7,19,35,1.84,0,,5,51,10.20,1,0,0,,0,0,0,,,,0,0,,0,1,6
39,1986,7,1986-10-19,24-034,CLE,,GNB,L 14-17,3,4,1.33,0,,3,20,6.67,1,0,0,,0,0,0,,,,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
40,1987,1,1987-09-13,24-363,CLE,@,NOR,L 21-28,10,45,4.50,0,,8,61,7.63,0,0,0,,0,0,0,,,,0,0,,0,0,0
41,1987,2,1987-09-20,25-005,CLE,,PIT,W 34-10,12,53,4.42,0,,2,35,17.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
42,1987,6,1987-10-26,25-041,CLE,,RAM,W 30-17,7,15,2.14,0,,5,70,14.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
