
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1974,1,1974-09-16,23-008,BUF,,OAK,W 21-20,7,31,4.43,0,0,0,,0,2,13,6.50,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
2,1975,1,1975-09-21,24-013,BUF,,NYJ,W 42-14,1,1,1.00,0,2,44,22.00,0,1,18,18.00,0
3,1975,2,1975-09-28,24-020,BUF,@,PIT,W 30-21,0,0,,0,0,0,,0,2,3,1.50,0
4,1975,3,1975-10-05,24-027,BUF,,DEN,W 38-14,4,6,1.50,0,0,0,,0,2,22,11.00,0
5,1975,4,1975-10-12,24-034,BUF,@,BAL,W 38-31,0,0,,0,1,34,34.00,0,3,19,6.33,0
6,1975,5,1975-10-20,24-042,BUF,,NYG,L 14-17,0,0,,0,0,0,,0,2,17,8.50,0
7,1975,6,1975-10-26,24-048,BUF,,MIA,L 30-35,0,0,,0,1,24,24.00,0,1,7,7.00,0
8,1975,7,1975-11-02,24-055,BUF,@,NYJ,W 24-23,0,0,,0,2,35,17.50,0,2,18,9.00,0
9,1975,8,1975-11-09,24-062,BUF,,BAL,L 35-42,0,0,,0,2,42,21.00,0,2,10,5.00,0
10,1975,10,1975-11-23,24-076,BUF,,NWE,W 45-31,0,0,,0,0,0,,0,1,10,10.00,0
11,1975,11,1975-11-27,24-080,BUF,@,STL,W 32-14,0,0,,0,0,0,,0,1,30,30.00,0
12,1975,12,1975-12-07,24-090,BUF,@,MIA,L 21-31,0,0,,0,0,0,,0,3,31,10.33,0
13,1975,13,1975-12-14,24-097,BUF,@,NWE,W 34-14,4,20,5.00,0,0,0,,0,2,20,10.00,0
14,1975,14,1975-12-20,24-103,BUF,,MIN,L 13-35,1,3,3.00,0,0,0,,0,3,11,3.67,0
,,,14 Games,,,,,9-5-0,17,61,3.59,0,8,179,22.38,0,27,229,8.48,0
