
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1981,1,1981-09-06,22-171,NOR,@,ATL,L 0-27,2,2,1.00,0,,1,0,0.00,0
2,1981,2,1981-09-13,22-178,NOR,,RAM,W 23-17,0,0,,0,,0,0,,0
3,1981,3,1981-09-20,22-185,NOR,@,NYG,L 7-20,0,0,,0,,1,10,10.00,0
4,1981,4,1981-09-27,22-192,NOR,@,SFO,L 14-21,2,13,6.50,0,,4,30,7.50,0
5,1981,5,1981-10-04,22-199,NOR,,PIT,L 6-20,2,-2,-1.00,0,,0,0,,0
6,1981,6,1981-10-11,22-206,NOR,,PHI,L 14-31,8,33,4.13,0,,2,17,8.50,0
7,1981,7,1981-10-18,22-213,NOR,@,CLE,L 17-20,0,0,,0,,3,11,3.67,0
8,1981,8,1981-10-25,22-220,NOR,,CIN,W 17-7,1,7,7.00,0,,1,3,3.00,0
9,1981,9,1981-11-01,22-227,NOR,,ATL,L 10-41,2,10,5.00,0,,2,10,5.00,0
10,1981,10,1981-11-08,22-234,NOR,@,RAM,W 21-13,8,76,9.50,0,,1,10,10.00,0
11,1981,11,1981-11-15,22-241,NOR,@,MIN,L 10-20,2,7,3.50,0,,0,0,,0
12,1981,12,1981-11-22,22-248,NOR,@,HOU,W 27-24,5,25,5.00,0,,0,0,,0
13,1981,13,1981-11-29,22-255,NOR,,TAM,L 14-31,0,0,,0,,2,5,2.50,0
14,1981,14,1981-12-06,22-262,NOR,@,STL,L 3-30,0,0,,0,,0,0,,0
15,1981,15,1981-12-13,22-269,NOR,,GNB,L 7-35,2,9,4.50,0,,1,18,18.00,0
16,1981,16,1981-12-20,22-276,NOR,,SFO,L 17-21,2,3,1.50,0,,5,21,4.20,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
17,1982,1,1982-09-12,23-177,NOR,,STL,L 7-21,1,1,1.00,0,,4,31,7.75,0
18,1982,2,1982-09-19,23-184,NOR,@,CHI,W 10-0,9,20,2.22,0,,0,0,,0
,,,18 Games,,,,,5-13-0,46,204,4.43,0,,27,166,6.15,0
