
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1983,5,1983-10-02,22-120,KAN,,STL,W 38-14,5,6,1.20,0,,0,0,,0,0,0,,0
2,1983,6,1983-10-09,22-127,KAN,@,RAI,L 20-21,0,0,,0,,0,0,,0,,,,
3,1983,7,1983-10-16,22-134,KAN,,NYG,W 38-17,4,11,2.75,0,,0,0,,0,0,0,,0
4,1983,8,1983-10-23,22-141,KAN,@,HOU,W 13-10,1,2,2.00,0,,1,5,5.00,0,0,0,,0
5,1983,9,1983-10-30,22-148,KAN,@,DEN,L 24-27,0,0,,0,,0,0,,0,,,,
6,1983,10,1983-11-06,22-155,KAN,,RAI,L 20-28,0,0,,0,,0,0,,0,,,,
7,1983,11,1983-11-13,22-162,KAN,,CIN,W 20-15,0,0,,0,,0,0,,0,,,,
8,1983,12,1983-11-20,22-169,KAN,@,DAL,L 21-41,0,0,,0,,2,0,0.00,0,0,0,,0
9,1983,13,1983-11-27,22-176,KAN,@,SEA,L 48-51,0,0,,0,,0,0,,0,,,,
10,1983,14,1983-12-04,22-183,KAN,,BUF,L 9-14,0,0,,0,,0,0,,0,,,,
11,1983,15,1983-12-11,22-190,KAN,@,SDG,L 38-41,3,-2,-0.67,0,,0,0,,0,0,0,,0
12,1983,16,1983-12-18,22-197,KAN,,DEN,W 48-17,8,11,1.38,0,,0,0,,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
13,1984,1,1984-09-02,23-090,KAN,@,PIT,W 37-27,2,1,0.50,0,,0,0,,0,0,0,,0
14,1984,2,1984-09-09,23-097,KAN,@,CIN,W 27-22,0,0,,0,,0,0,,0,2,39,19.50,0
15,1984,3,1984-09-16,23-104,KAN,,RAI,L 20-22,0,0,,0,,0,0,,0,3,44,14.67,0
16,1984,4,1984-09-23,23-111,KAN,@,DEN,L 0-21,0,0,,0,,,,,,0,0,,0
17,1984,5,1984-09-30,23-118,KAN,,CLE,W 10-6,0,0,,0,,,,,,0,0,,0
,,,17 Games,,,,,8-9-0,23,29,1.26,0,,3,5,1.67,0,5,83,16.60,0
