
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,1992,1,1992-09-06,22-069,ATL,,NYJ,W 20-17,3,40,13.33,0,,0,0,,0,1,17,17.00,0,0,0,,0,0,0
2,1992,2,1992-09-13,22-076,ATL,@,WAS,L 17-24,0,0,,0,,0,0,,0,0,0,,0,0,0,,0,,
3,1992,3,1992-09-20,22-083,ATL,,NOR,L 7-10,7,25,3.57,0,1,1,8,8.00,0,0,0,,0,0,0,,0,0,0
4,1992,4,1992-09-27,22-090,ATL,@,CHI,L 31-41,2,-2,-1.00,0,,0,0,,0,0,0,,0,0,0,,0,0,0
5,1992,5,1992-10-04,22-097,ATL,,GNB,W 24-10,3,10,3.33,0,,0,0,,0,0,0,,0,0,0,,0,0,0
6,1992,7,1992-10-18,22-111,ATL,@,SFO,L 17-56,8,20,2.50,0,,0,0,,0,4,72,18.00,0,2,8,4.00,0,0,0
7,1992,8,1992-11-01,22-125,ATL,,RAM,W 30-28,19,58,3.05,1,1,0,0,,0,1,60,60.00,0,3,44,14.67,0,1,6
8,1992,9,1992-11-09,22-133,ATL,,SFO,L 3-41,9,36,4.00,0,,0,0,,0,0,0,,0,0,0,,0,0,0
9,1992,10,1992-11-15,22-139,ATL,,PHO,W 20-17,7,9,1.29,0,,0,0,,0,0,0,,0,0,0,,0,0,0
10,1992,11,1992-11-22,22-146,ATL,@,BUF,L 14-41,2,5,2.50,0,,0,0,,0,1,23,23.00,0,0,0,,0,0,0
11,1992,12,1992-11-29,22-153,ATL,,NWE,W 34-0,10,81,8.10,1,,0,0,,0,0,0,,0,5,75,15.00,0,1,6
12,1992,13,1992-12-03,22-157,ATL,@,NOR,L 14-22,5,13,2.60,0,,0,0,,0,0,0,,0,1,2,2.00,0,0,0
13,1992,14,1992-12-13,22-167,ATL,@,TAM,W 35-7,10,25,2.50,0,1,1,6,6.00,0,0,0,,0,4,20,5.00,0,0,0
14,1992,15,1992-12-21,22-175,ATL,,DAL,L 17-41,2,9,4.50,0,,0,0,,0,0,0,,0,1,6,6.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
15,1993,1,1993-09-05,23-068,ATL,@,DET,L 13-30,0,0,,0,,0,0,,0,0,0,,0,4,27,6.75,0,0,0
16,1993,2,1993-09-12,23-075,ATL,,NOR,L 31-34,0,0,,0,,0,0,,0,4,103,25.75,0,1,10,10.00,0,0,0
17,1993,3,1993-09-19,23-082,ATL,@,SFO,L 30-37,0,0,,0,,0,0,,0,4,90,22.50,0,0,0,,0,0,0
18,1993,4,1993-09-27,23-090,ATL,,PIT,L 17-45,0,0,,0,,0,0,,0,6,249,41.50,1,1,12,12.00,0,1,6
19,1993,5,1993-10-03,23-096,ATL,@,CHI,L 0-6,0,0,,0,,0,0,,0,1,7,7.00,0,0,0,,0,0,0
20,1993,6,1993-10-14,23-107,ATL,,RAM,W 30-24,0,0,,0,,0,0,,0,4,105,26.25,0,0,0,,0,0,0
21,1993,7,1993-10-24,23-117,ATL,@,NOR,W 26-15,0,0,,0,,0,0,,0,3,62,20.67,0,3,25,8.33,0,0,0
22,1993,8,1993-10-31,23-124,ATL,,TAM,L 24-31,0,0,,0,,0,0,,0,2,79,39.50,0,4,62,15.50,0,0,0
23,1993,9,1993-11-14,23-138,ATL,@,RAM,W 13-0,0,0,,0,,0,0,,0,1,24,24.00,0,4,39,9.75,0,0,0
24,1993,10,1993-11-21,23-145,ATL,,DAL,W 27-14,0,0,,0,,0,0,,0,1,11,11.00,0,5,2,0.40,0,0,0
25,1993,11,1993-11-28,23-152,ATL,,CLE,W 17-14,0,0,,0,,0,0,,0,2,44,22.00,0,4,39,9.75,0,0,0
26,1993,12,1993-12-05,23-159,ATL,@,HOU,L 17-33,0,0,,0,,0,0,,0,4,64,16.00,0,0,0,,0,0,0
27,1993,13,1993-12-11,23-165,ATL,,SFO,W 27-24,0,0,,0,,0,0,,0,3,66,22.00,0,1,6,6.00,0,0,0
28,1993,14,1993-12-19,23-173,ATL,@,WAS,L 17-30,0,0,,0,,0,0,,0,1,18,18.00,0,2,18,9.00,0,0,0
29,1993,15,1993-12-26,23-180,ATL,@,CIN,L 17-21,0,0,,0,,0,0,,0,2,26,13.00,0,3,15,5.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
30,1994,1,1994-09-04,24-067,ATL,@,DET,L 28-31,0,0,,0,,0,0,,0,5,115,23.00,0,4,50,12.50,0,0,0
