
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1984,1,1984-09-02,22-223,DEN,,CIN,W 20-17,0,0,,0,,0,0,,0,,
2,1984,2,1984-09-09,22-230,DEN,@,CHI,L 0-27,0,0,,0,,0,0,,0,,
3,1984,3,1984-09-16,22-237,DEN,@,CLE,W 24-14,0,0,,0,,0,0,,0,,
4,1984,4,1984-09-23,22-244,DEN,,KAN,W 21-0,0,0,,0,,0,0,,0,,
5,1984,5,1984-09-30,22-251,DEN,,RAI,W 16-13,0,0,,0,,0,0,,0,,
6,1984,6,1984-10-07,22-258,DEN,@,DET,W 28-7,3,-1,-0.33,0,,0,0,,0,0,0
7,1984,7,1984-10-15,22-266,DEN,,GNB,W 17-14,0,0,,0,,0,0,,0,,
8,1984,8,1984-10-21,22-272,DEN,@,BUF,W 37-7,0,0,,0,,0,0,,0,,
9,1984,9,1984-10-28,22-279,DEN,@,RAI,W 22-19,0,0,,0,,0,0,,0,,
10,1984,10,1984-11-04,22-286,DEN,,NWE,W 26-19,0,0,,0,,0,0,,0,,
11,1984,12,1984-11-18,22-300,DEN,,MIN,W 42-21,7,29,4.14,0,,2,20,10.00,0,0,0
12,1984,13,1984-11-25,22-307,DEN,,SEA,L 24-27,0,0,,0,,0,0,,0,,
13,1984,16,1984-12-15,22-327,DEN,@,SEA,W 31-14,0,0,,0,,0,0,,0,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
14,1987,3,1987-10-04,25-254,CHI,@,PHI,W 35-3,8,9,1.13,1,,1,14,14.00,0,1,6
15,1987,4,1987-10-11,25-261,CHI,,MIN,W 27-7,8,12,1.50,1,,1,9,9.00,0,1,6
16,1987,5,1987-10-18,25-268,CHI,,NOR,L 17-19,8,34,4.25,0,,3,33,11.00,1,1,6
,,,16 Games,,,,,13-3-0,34,83,2.44,2,,7,76,10.86,1,3,18
