
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1983,3,1983-09-18,22-095,PIT,@,HOU,W 40-28,2,15,7.50,0,1,8,8.00,0,3,12,4.00,0
2,1983,4,1983-09-25,22-102,PIT,,NWE,L 23-28,0,0,,0,1,27,27.00,0,0,0,,0
3,1983,5,1983-10-02,22-109,PIT,,HOU,W 17-10,0,0,,0,0,0,,0,0,0,,0
4,1983,6,1983-10-10,22-117,PIT,@,CIN,W 24-14,0,0,,0,2,24,12.00,0,0,0,,0
5,1983,7,1983-10-16,22-123,PIT,,CLE,W 44-17,0,0,,0,0,0,,0,0,0,,0
6,1983,8,1983-10-23,22-130,PIT,@,SEA,W 27-21,0,0,,0,2,19,9.50,0,0,0,,0
7,1983,9,1983-10-30,22-137,PIT,,TAM,W 17-12,0,0,,0,1,32,32.00,0,0,0,,0
8,1983,10,1983-11-06,22-144,PIT,,SDG,W 26-3,0,0,,0,2,37,18.50,0,0,0,,0
9,1983,11,1983-11-13,22-151,PIT,@,BAL,W 24-13,0,0,,0,2,39,19.50,0,0,0,,0
10,1983,12,1983-11-20,22-158,PIT,,MIN,L 14-17,0,0,,0,0,0,,0,0,0,,0
11,1983,13,1983-11-24,22-162,PIT,@,DET,L 3-45,0,0,,0,2,33,16.50,0,0,0,,0
12,1983,14,1983-12-04,22-172,PIT,,CIN,L 10-23,0,0,,0,3,61,20.33,0,0,0,,0
13,1983,15,1983-12-10,22-178,PIT,@,NYJ,W 34-7,0,0,,0,1,0,0.00,0,0,0,,0
14,1983,16,1983-12-18,22-186,PIT,@,CLE,L 17-30,0,0,,0,1,9,9.00,0,0,0,,0
,,,14 Games,,,,,9-5-0,2,15,7.50,0,18,289,16.06,0,3,12,4.00,0
