
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Tkl,Ast
1,2008,1,2008-09-07,23-205,KAN,@,NWE,L 10-17,0,0,,0,0,0,0,,0,2,48,24.00,0,0,0,,0,0.0,0,0
2,2008,4,2008-09-28,23-226,KAN,,DEN,W 33-19,0,0,,0,0,0,0,,0,2,70,35.00,0,1,1,1.00,0,0.0,0,0
3,2008,5,2008-10-05,23-233,KAN,@,CAR,L 0-34,1,0,0.00,0,0,0,0,,0,4,100,25.00,0,2,-2,-1.00,0,0.0,0,0
4,2008,6,2008-10-19,23-247,KAN,,TEN,L 10-34,0,0,,0,0,0,0,,0,4,117,29.25,0,1,2,2.00,0,0.0,0,0
5,2008,7,2008-10-26,23-254,KAN,@,NYJ,L 24-28,0,0,,0,0,0,0,,0,5,123,24.60,0,2,7,3.50,0,0.0,0,0
6,2008,8,2008-11-02,23-261,KAN,,TAM,L 27-30,2,9,4.50,0,0,0,0,,0,4,72,18.00,0,2,9,4.50,0,0.0,0,0
7,2008,9,2008-11-09,23-268,KAN,@,SDG,L 19-20,12,44,3.67,0,2,2,0,0.00,0,0,0,,0,0,0,,0,0.0,0,0
8,2008,10,2008-11-16,23-275,KAN,,NOR,L 20-30,0,0,,0,0,0,0,,0,5,103,20.60,0,0,0,,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Tkl,Ast
9,2009,2,2009-09-20,24-217,KAN,,OAK,L 10-13,3,26,8.67,0,9,6,43,7.17,0,0,0,,0,0,0,,0,0.0,1,0
10,2009,3,2009-09-27,24-224,KAN,@,PHI,L 14-34,0,0,,0,0,0,0,,0,5,114,22.80,0,0,0,,0,0.0,0,0
11,2009,7,2009-10-25,24-252,KAN,,SDG,L 7-37,5,15,3.00,0,0,0,0,,0,0,0,,0,0,0,,0,0.0,0,0
12,2009,8,2009-11-08,24-266,KAN,@,JAX,L 21-24,2,4,2.00,0,1,1,8,8.00,0,3,46,15.33,0,1,2,2.00,0,0.0,0,0
13,2009,9,2009-11-15,24-273,KAN,@,OAK,W 16-10,0,0,,0,1,0,0,,0,0,0,,0,5,34,6.80,0,0.0,0,0
,,,13 Games,,,,,2-11-0,25,98,3.92,0,13,9,51,5.67,0,34,793,23.32,0,14,53,3.79,0,0.0,1,0
