
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1981,1,1981-09-06,23-297,CIN,,SEA,W 27-21,0,0,,0,,0,0,,0,,
2,1981,2,1981-09-13,23-304,CIN,@,NYJ,W 31-30,0,0,,0,,0,0,,0,,
3,1981,3,1981-09-20,23-311,CIN,,CLE,L 17-20,0,0,,0,,0,0,,0,,
4,1981,4,1981-09-27,23-318,CIN,,BUF,W 27-24,0,0,,0,,1,0,0.00,0,0,0
5,1981,5,1981-10-04,23-325,CIN,@,HOU,L 10-17,0,0,,0,,0,0,,0,,
6,1981,6,1981-10-11,23-332,CIN,@,BAL,W 41-19,3,6,2.00,1,,0,0,,0,1,6
7,1981,7,1981-10-18,23-339,CIN,,PIT,W 34-7,0,0,,0,,0,0,,0,,
8,1981,8,1981-10-25,23-346,CIN,@,NOR,L 7-17,0,0,,0,,0,0,,0,,
9,1981,9,1981-11-01,23-353,CIN,,HOU,W 34-21,3,11,3.67,0,,0,0,,0,0,0
10,1981,10,1981-11-08,23-360,CIN,@,SDG,W 40-17,2,1,0.50,0,,0,0,,0,0,0
11,1981,11,1981-11-15,24-002,CIN,,RAM,W 24-10,2,8,4.00,0,,0,0,,0,0,0
12,1981,12,1981-11-22,24-009,CIN,,DEN,W 38-21,5,42,8.40,0,,0,0,,0,0,0
13,1981,13,1981-11-29,24-016,CIN,@,CLE,W 41-21,1,-2,-2.00,0,,0,0,,0,0,0
14,1981,15,1981-12-13,24-030,CIN,@,PIT,W 17-10,0,0,,0,,0,0,,0,,
15,1981,16,1981-12-20,24-037,CIN,@,ATL,W 30-28,0,0,,0,,0,0,,0,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
16,1987,4,1987-10-11,29-332,GNB,,DET,L 16-19,4,10,2.50,0,,0,0,,0,0,0
17,1987,5,1987-10-18,29-339,GNB,,PHI,W 16-10,7,28,4.00,1,,1,6,6.00,0,1,6
,,,17 Games,,,,,13-4-0,27,104,3.85,2,,2,6,3.00,0,2,12
