
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1990,1,1990-09-09,22-350,NWE,,MIA,L 24-27,1,0,0.00,0,,1,4,4.00,0,0,0,,0
2,1990,2,1990-09-16,22-357,NWE,@,IND,W 16-14,1,-1,-1.00,0,,0,0,,0,0,0,,0
3,1990,3,1990-09-23,22-364,NWE,@,CIN,L 7-41,0,0,,0,,1,15,15.00,0,0,0,,0
4,1990,4,1990-09-30,23-006,NWE,,NYJ,L 13-37,0,0,,0,,0,0,,0,2,40,20.00,0
5,1990,5,1990-10-07,23-013,NWE,,SEA,L 20-33,2,8,4.00,0,,0,0,,0,3,61,20.33,0
6,1990,6,1990-10-18,23-024,NWE,@,MIA,L 10-17,1,1,1.00,0,,0,0,,0,1,16,16.00,0
7,1990,7,1990-10-28,23-034,NWE,,BUF,L 10-27,0,0,,0,,0,0,,0,4,71,17.75,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
8,1991,1,1991-09-01,23-342,DET,@,WAS,L 0-45,8,32,4.00,0,,4,38,9.50,0,0,0,,0
9,1991,2,1991-09-08,23-349,DET,,GNB,W 23-14,1,3,3.00,0,,0,0,,0,0,0,,0
10,1991,3,1991-09-15,23-356,DET,,MIA,W 17-13,0,0,,0,,0,0,,0,1,23,23.00,0
11,1991,4,1991-09-22,23-363,DET,@,IND,W 33-24,1,3,3.00,0,,0,0,,0,2,32,16.00,0
12,1991,5,1991-09-29,24-005,DET,,TAM,W 31-3,3,12,4.00,0,,0,0,,0,0,0,,0
13,1991,7,1991-10-20,24-026,DET,@,SFO,L 3-35,0,0,,0,,0,0,,0,0,0,,0
14,1991,8,1991-10-27,24-033,DET,,DAL,W 34-10,0,0,,0,,0,0,,0,0,0,,0
15,1991,9,1991-11-03,24-040,DET,@,CHI,L 10-20,1,9,9.00,0,,0,0,,0,0,0,,0
16,1991,10,1991-11-10,24-047,DET,@,TAM,L 21-30,0,0,,0,,0,0,,0,1,16,16.00,0
17,1991,11,1991-11-17,24-054,DET,,RAM,W 21-10,0,0,,0,,0,0,,0,0,0,,0
18,1991,12,1991-11-24,24-061,DET,@,MIN,W 34-14,0,0,,0,,0,0,,0,0,0,,0
19,1991,13,1991-11-28,24-065,DET,,CHI,W 16-6,0,0,,0,,0,0,,0,0,0,,0
20,1991,14,1991-12-08,24-075,DET,,NYJ,W 34-20,0,0,,0,,0,0,,0,0,0,,0
21,1991,16,1991-12-22,24-089,DET,@,BUF,W 17-14,0,0,,0,,0,0,,0,0,0,,0
,,,21 Games,,,,,11-10-0,19,67,3.53,0,,6,57,9.50,0,14,259,18.50,0
