
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1994,7,1994-10-16,23-086,WAS,,ARI,L 16-19,,,,,,,,,,0,0,,0
2,1994,9,1994-10-30,23-100,WAS,,PHI,L 29-31,,,,,,,,,,0,0,,0
3,1994,10,1994-11-06,23-107,WAS,,SFO,L 22-37,0,0,,0,0,0,0,,0,1,18,18.00,0
4,1994,13,1994-12-04,23-135,WAS,@,TAM,L 21-26,,,,,0,,,,,0,0,,0
5,1994,14,1994-12-11,23-142,WAS,@,ARI,L 15-17,0,0,,0,0,0,0,,0,1,25,25.00,0
6,1994,15,1994-12-18,23-149,WAS,,TAM,L 14-17,,,,,,,,,,0,0,,0
7,1994,16,1994-12-24,23-155,WAS,@,RAM,W 24-21,,,,,,,,,,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
8,1995,1,1995-09-03,24-043,WAS,,ARI,W 27-7,0,0,,0,,,,,,0,0,,0
9,1995,2,1995-09-10,24-050,WAS,,OAK,L 8-20,0,0,,0,,,,,,0,0,,0
10,1995,3,1995-09-17,24-057,WAS,@,DEN,L 31-38,0,0,,0,,,,,,0,0,,0
11,1995,4,1995-09-24,24-064,WAS,@,TAM,L 6-14,0,0,,0,,,,,,0,0,,0
12,1995,5,1995-10-01,24-071,WAS,,DAL,W 27-23,0,0,,0,,,,,,0,0,,0
13,1995,6,1995-10-08,24-078,WAS,@,PHI,L 34-37,0,0,,0,0,0,0,,0,3,54,18.00,0
14,1995,7,1995-10-15,24-085,WAS,@,ARI,L 20-24,0,0,,0,0,0,0,,0,1,16,16.00,0
15,1995,8,1995-10-22,24-092,WAS,,DET,W 36-30,0,0,,0,0,0,0,,0,1,13,13.00,0
16,1995,9,1995-10-29,24-099,WAS,,NYG,L 15-24,0,0,,0,,,,,,0,0,,0
17,1995,10,1995-11-05,24-106,WAS,@,KAN,L 3-24,1,5,5.00,0,0,0,0,,0,2,27,13.50,0
18,1995,11,1995-11-19,24-120,WAS,,SEA,L 20-27,0,0,,0,,,,,,0,0,,0
19,1995,12,1995-11-26,24-127,WAS,,PHI,L 7-14,1,4,4.00,0,0,0,0,,0,0,0,,0
20,1995,13,1995-12-03,24-134,WAS,@,DAL,W 24-17,0,0,,0,,,,,,0,0,,0
21,1995,14,1995-12-10,24-141,WAS,@,NYG,L 13-20,0,0,,0,,,,,,0,0,,0
22,1995,15,1995-12-17,24-148,WAS,@,STL,W 35-23,2,4,2.00,0,0,0,0,,0,0,0,,0
23,1995,16,1995-12-24,24-155,WAS,,CAR,W 20-17,0,0,,0,0,0,0,,0,1,11,11.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
24,1996,1,1996-09-01,25-041,WAS,,PHI,L 14-17,,,,,,0,0,,0,0,0,,0
25,1996,2,1996-09-08,25-048,WAS,,CHI,W 10-3,,,,,,0,0,,0,0,0,,0
26,1996,3,1996-09-15,25-055,WAS,@,NYG,W 31-10,,,,,0,0,0,,0,0,0,,0
27,1996,4,1996-09-22,25-062,WAS,@,STL,W 17-10,,,,,,0,0,,0,0,0,,0
28,1996,5,1996-09-29,25-069,WAS,,NYJ,W 31-16,0,0,,0,0,0,0,,0,1,11,11.00,0
29,1996,6,1996-10-13,25-083,WAS,@,NWE,W 27-22,0,0,,0,1,0,0,,0,1,20,20.00,0
30,1996,7,1996-10-20,25-090,WAS,,NYG,W 31-21,0,0,,0,0,0,0,,0,3,63,21.00,0
31,1996,8,1996-10-27,25-097,WAS,,IND,W 31-16,,,,,,0,0,,0,0,0,,0
32,1996,9,1996-11-03,25-104,WAS,@,BUF,L 13-38,,,,,,0,0,,0,0,0,,0
33,1996,10,1996-11-10,25-111,WAS,,ARI,L 34-37,,,,,,0,0,,0,0,0,,0
34,1996,11,1996-11-17,25-118,WAS,@,PHI,W 26-21,,,,,,0,0,,0,0,0,,0
35,1996,12,1996-11-24,25-125,WAS,,SFO,L 16-19,0,0,,0,0,0,0,,0,2,33,16.50,0
36,1996,13,1996-11-28,25-129,WAS,@,DAL,L 10-21,,,,,,0,0,,0,0,0,,0
37,1996,14,1996-12-08,25-139,WAS,@,TAM,L 10-24,0,0,,0,0,0,0,,0,1,3,3.00,0
38,1996,15,1996-12-15,25-146,WAS,@,ARI,L 26-27,0,0,,0,1,1,3,3.00,0,0,0,,0
39,1996,16,1996-12-22,25-153,WAS,,DAL,W 37-10,0,0,,0,3,2,20,10.00,0,0,0,,0
,,,39 Games,,,,,16-23-0,4,13,3.25,0,5,3,23,7.67,0,18,294,16.33,0
