
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1985,1,1985-09-08,22-053,GNB,@,NWE,L 20-26,0,0,,0,,0,0,,0,3,41,13.67,0,0,0
2,1985,2,1985-09-15,22-060,GNB,,NYG,W 23-20,0,0,,0,,0,0,,0,1,23,23.00,0,0,0
3,1985,3,1985-09-22,22-067,GNB,,NYJ,L 3-24,0,0,,0,,1,4,4.00,0,0,0,,0,0,0
4,1985,4,1985-09-29,22-074,GNB,@,STL,L 28-43,0,0,,0,,0,0,,0,8,164,20.50,0,0,0
5,1985,5,1985-10-06,22-081,GNB,,DET,W 43-10,6,50,8.33,0,,0,0,,0,2,33,16.50,0,0,0
6,1985,6,1985-10-13,22-088,GNB,,MIN,W 20-17,0,0,,0,,0,0,,0,1,22,22.00,0,0,0
7,1985,7,1985-10-21,22-096,GNB,@,CHI,L 7-23,0,0,,0,,0,0,,0,2,45,22.50,0,0,0
8,1985,8,1985-10-27,22-102,GNB,@,IND,L 10-37,1,0,0.00,0,,0,0,,0,5,69,13.80,0,0,0
9,1985,9,1985-11-03,22-109,GNB,,CHI,L 10-16,0,0,,0,,0,0,,0,1,3,3.00,0,0,0
10,1985,10,1985-11-10,22-116,GNB,@,MIN,W 27-17,3,16,5.33,0,,0,0,,0,1,23,23.00,0,0,0
11,1985,11,1985-11-17,22-123,GNB,,NOR,W 38-14,5,10,2.00,1,,0,0,,0,2,31,15.50,0,1,6
12,1985,12,1985-11-24,22-130,GNB,@,RAM,L 17-34,0,0,,0,,0,0,,0,3,67,22.33,0,0,0
13,1985,14,1985-12-08,22-144,GNB,,MIA,L 24-34,0,0,,0,,0,0,,0,0,0,,0,,
14,1985,15,1985-12-15,22-151,GNB,@,DET,W 26-23,8,72,9.00,1,,0,0,,0,0,0,,0,1,6
15,1985,16,1985-12-22,22-158,GNB,@,TAM,W 20-17,9,57,6.33,0,,1,11,11.00,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
16,1986,1,1986-09-07,23-052,GNB,,HOU,L 3-31,3,12,4.00,0,,0,0,,0,0,0,,0,0,0
17,1986,2,1986-09-14,23-059,GNB,@,NOR,L 10-24,9,33,3.67,0,,3,27,9.00,0,0,0,,0,0,0
18,1986,3,1986-09-22,23-067,GNB,,CHI,L 12-25,6,28,4.67,0,,1,0,0.00,0,0,0,,0,0,0
19,1986,4,1986-09-28,23-073,GNB,@,MIN,L 7-42,4,13,3.25,0,,1,7,7.00,0,0,0,,0,0,0
20,1986,5,1986-10-05,23-080,GNB,,CIN,L 28-34,18,52,2.89,2,,3,67,22.33,0,1,6,6.00,0,2,12
21,1986,6,1986-10-12,23-087,GNB,,DET,L 14-21,8,17,2.13,0,,0,0,,0,0,0,,0,0,0
22,1986,7,1986-10-19,23-094,GNB,@,CLE,W 17-14,7,1,0.14,0,,2,18,9.00,0,0,0,,0,0,0
23,1986,8,1986-10-26,23-101,GNB,,SFO,L 17-31,13,48,3.69,0,,2,11,5.50,0,0,0,,0,0,0
24,1986,9,1986-11-02,23-108,GNB,@,PIT,L 3-27,5,8,1.60,0,,0,0,,0,0,0,,0,0,0
25,1986,10,1986-11-09,23-115,GNB,,WAS,L 7-16,0,0,,0,,0,0,,0,0,0,,0,,
26,1986,11,1986-11-16,23-122,GNB,,TAM,W 31-7,8,28,3.50,1,,0,0,,0,0,0,,0,1,6
27,1986,12,1986-11-23,23-129,GNB,@,CHI,L 10-12,7,30,4.29,0,,0,0,,0,0,0,,0,0,0
28,1986,13,1986-11-27,23-133,GNB,@,DET,W 44-40,0,0,,0,,0,0,,0,1,21,21.00,0,0,0
