
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,2000,2,2000-09-10,24-302,TAM,,CHI,W 41-0,5,26,5.20,0,0,0,0,,0,1,31,31.00,0,0,0
2,2000,3,2000-09-17,24-309,TAM,@,DET,W 31-10,3,2,0.67,0,0,0,0,,0,1,15,15.00,0,0,0
3,2000,4,2000-09-24,24-316,TAM,,NYJ,L 17-21,1,-2,-2.00,0,0,0,0,,0,2,56,28.00,0,0,0
4,2000,5,2000-10-01,24-323,TAM,@,WAS,L 17-20,0,0,,0,0,0,0,,0,4,101,25.25,0,0,0
5,2000,6,2000-10-09,24-331,TAM,@,MIN,L 23-30,0,0,,0,0,0,0,,0,7,160,22.86,0,0,0
6,2000,7,2000-10-19,24-341,TAM,,DET,L 14-28,0,0,,0,0,0,0,,0,5,112,22.40,0,0,0
7,2000,8,2000-10-29,24-351,TAM,,MIN,W 41-13,1,4,4.00,0,1,1,15,15.00,0,3,63,21.00,0,0,0
8,2000,9,2000-11-05,24-358,TAM,@,ATL,W 27-14,2,1,0.50,0,0,0,0,,0,2,32,16.00,0,0,0
9,2000,11,2000-11-19,25-006,TAM,@,CHI,L 10-13,0,0,,0,0,0,0,,0,4,93,23.25,0,0,0
10,2000,12,2000-11-26,25-013,TAM,,BUF,W 31-17,,,,,,,,,,,,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
11,2001,1,2001-09-09,25-300,TAM,@,DAL,W 10-6,2,1,0.50,0,0,0,0,,0,0,0,,0,0,0
12,2001,2,2001-09-30,25-321,TAM,@,MIN,L 16-20,0,0,,0,3,3,33,11.00,0,0,0,,0,0,0
13,2001,3,2001-10-07,25-328,TAM,,GNB,W 14-10,2,6,3.00,0,2,1,4,4.00,0,0,0,,0,0,0
14,2001,4,2001-10-14,25-335,TAM,@,TEN,L 28-31,,,,,,,,,,,,,,,
15,2001,6,2001-10-28,25-349,TAM,,MIN,W 41-14,8,30,3.75,0,2,2,51,25.50,1,0,0,,0,1,6
16,2001,7,2001-11-04,25-356,TAM,@,GNB,L 20-21,0,0,,0,2,0,0,,0,2,43,21.50,0,0,0
17,2001,8,2001-11-11,25-363,TAM,@,DET,W 20-17,0,0,,0,0,0,0,,0,3,53,17.67,0,0,0
18,2001,9,2001-11-18,26-005,TAM,,CHI,L 24-27,0,0,,0,1,1,5,5.00,0,0,0,,0,0,0
19,2001,10,2001-11-26,26-013,TAM,@,STL,W 24-17,,,,,,,,,,,,,,,
20,2001,13,2001-12-16,26-033,TAM,@,CHI,L 3-27,0,0,,0,0,0,0,,0,1,21,21.00,0,0,0
21,2001,14,2001-12-23,26-040,TAM,,NOR,W 48-21,0,0,,0,0,0,0,,0,2,107,53.50,0,0,0
22,2001,15,2001-12-29,26-046,TAM,,BAL,W 22-10,0,0,,0,0,0,0,,0,1,35,35.00,0,0,0
23,2001,16,2002-01-06,26-054,TAM,,PHI,L 13-17,12,35,2.92,1,3,3,8,2.67,0,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
24,2002,1,2002-09-08,26-299,TAM,,NOR,L 20-26,0,0,,0,0,0,0,,0,4,118,29.50,0,0,0
25,2002,2,2002-09-15,26-306,TAM,@,BAL,W 25-0,5,15,3.00,0,3,3,11,3.67,0,1,22,22.00,0,0,0
