
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
1,2001,1,2001-09-09,22-315,BUF,,NOR,L 6-24,22,58,2.64,0,2,1,4,4.00,0,0,0,,0,0,0,,,,0,0
2,2001,2,2001-09-23,22-329,BUF,@,IND,L 26-42,12,39,3.25,1,3,3,36,12.00,0,0,0,,0,0,0,,,,1,6
3,2001,3,2001-09-30,22-336,BUF,,PIT,L 3-20,17,30,1.76,0,3,2,9,4.50,0,0,0,,0,0,0,,,,0,0
4,2001,4,2001-10-07,22-343,BUF,,NYJ,L 36-42,19,113,5.95,0,1,1,5,5.00,0,0,0,,0,0,0,,,,0,0
5,2001,5,2001-10-18,22-354,BUF,@,JAX,W 13-10,27,63,2.33,0,5,5,32,6.40,0,0,0,,0,0,0,,,,0,0
6,2001,6,2001-10-28,22-364,BUF,@,SDG,L 24-27,10,24,2.40,1,2,2,8,4.00,0,0,0,,0,0,0,,,,1,6
7,2001,7,2001-11-04,23-006,BUF,,IND,L 14-30,13,61,4.69,0,1,0,0,,0,0,0,,0,0,0,,,,0,0
8,2001,8,2001-11-11,23-013,BUF,@,NWE,L 11-21,16,51,3.19,0,2,1,-1,-1.00,0,0,0,,0,0,0,,,,0,0
9,2001,9,2001-11-18,23-020,BUF,,SEA,L 20-23,13,29,2.23,0,2,2,12,6.00,0,0,0,,0,0,0,,,,0,0
10,2001,10,2001-11-25,23-027,BUF,,MIA,L 27-34,19,97,5.11,1,0,0,0,,0,0,0,,0,0,0,,,,1,6
11,2001,11,2001-12-02,23-034,BUF,@,SFO,L 0-35,6,9,1.50,0,2,2,4,2.00,0,0,0,,0,0,0,,,,0,0
12,2001,12,2001-12-09,23-041,BUF,,CAR,W 25-24,27,101,3.74,1,3,2,56,28.00,0,0,0,,0,0,0,,,,1,6
13,2001,13,2001-12-16,23-048,BUF,,NWE,L 9-12,12,54,4.50,0,1,1,14,14.00,0,0,0,,0,0,0,,,,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
14,2002,1,2002-09-08,23-314,BUF,,NYJ,L 31-37,31,149,4.81,3,8,6,29,4.83,0,0,0,,0,0,0,,,,3,18
15,2002,2,2002-09-15,23-321,BUF,@,MIN,W 45-39,12,30,2.50,0,0,0,0,,0,0,0,,0,0,0,,,,0,0
16,2002,3,2002-09-22,23-328,BUF,@,DEN,L 23-28,12,35,2.92,1,5,4,33,8.25,0,0,0,,0,0,0,,,,1,6
17,2002,4,2002-09-29,23-335,BUF,,CHI,W 33-27,12,68,5.67,0,3,3,41,13.67,1,0,0,,0,0,0,,,,1,6
18,2002,5,2002-10-06,23-342,BUF,,OAK,L 31-49,15,58,3.87,1,8,7,47,6.71,0,0,0,,0,0,0,,,,1,6
19,2002,6,2002-10-13,23-349,BUF,@,HOU,W 31-24,28,159,5.68,2,3,2,11,5.50,0,0,0,,0,0,0,,,,2,12
20,2002,7,2002-10-20,23-356,BUF,@,MIA,W 23-10,22,132,6.00,0,5,1,5,5.00,0,0,0,,0,0,0,,,,0,0
21,2002,8,2002-10-27,23-363,BUF,,DET,W 24-17,19,64,3.37,2,2,1,12,12.00,0,0,0,,0,0,0,,,,2,12
22,2002,9,2002-11-03,24-005,BUF,,NWE,L 7-38,11,53,4.82,0,3,3,12,4.00,0,0,0,,0,0,0,,,,0,0
23,2002,10,2002-11-17,24-019,BUF,@,KAN,L 16-17,24,126,5.25,0,4,4,38,9.50,0,0,0,,0,0,0,,,,0,0
24,2002,11,2002-11-24,24-026,BUF,@,NYJ,L 13-31,17,83,4.88,1,7,7,43,6.14,0,0,0,,0,0,0,,,,1,6
25,2002,12,2002-12-01,24-033,BUF,,MIA,W 38-21,35,151,4.31,1,5,2,27,13.50,0,0,0,,0,0,0,,,,1,6
26,2002,13,2002-12-08,24-040,BUF,@,NWE,L 17-27,15,60,4.00,0,2,0,0,,0,0,0,,0,0,0,,,,0,0
27,2002,14,2002-12-15,24-047,BUF,,SDG,W 20-13,22,144,6.55,2,1,0,0,,0,0,0,,0,0,0,,,,2,12
28,2002,15,2002-12-22,24-054,BUF,@,GNB,L 0-10,20,46,2.30,0,1,1,11,11.00,0,0,0,,0,0,0,,,,0,0
29,2002,16,2002-12-29,24-061,BUF,,CIN,W 27-9,30,80,2.67,0,2,2,0,0.00,0,0,0,,0,0,0,,,,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
30,2003,1,2003-09-07,24-313,BUF,,NWE,W 31-0,27,89,3.30,2,3,3,37,12.33,0,0,0,,0,0,0,,,,2,12
31,2003,2,2003-09-14,24-320,BUF,@,JAX,W 38-17,21,26,1.24,3,1,1,2,2.00,0,0,0,,0,0,0,,,,3,18
32,2003,3,2003-09-21,24-327,BUF,@,MIA,L 7-17,5,7,1.40,0,2,0,0,,0,0,1,0.00,0,0,1,0.0,0.00,-45.00,0,0
