
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1995,1,1995-09-03,22-162,NOR,,SFO,L 22-24,0,0,,0,1,0,0,,0,,
2,1995,2,1995-09-10,22-169,NOR,@,STL,L 13-17,0,0,,0,3,1,2,2.00,0,0,0
3,1995,3,1995-09-17,22-176,NOR,,ATL,L 24-27,0,0,,0,,0,0,,0,,
4,1995,8,1995-10-29,22-218,NOR,@,SFO,W 11-7,0,0,,0,,0,0,,0,,
5,1995,9,1995-11-05,22-225,NOR,,STL,W 19-10,16,50,3.13,1,2,2,17,8.50,0,1,6
6,1995,10,1995-11-12,22-232,NOR,,IND,W 17-14,4,14,3.50,0,4,3,10,3.33,0,0,0
7,1995,11,1995-11-19,22-239,NOR,@,MIN,L 24-43,1,2,2.00,0,1,1,4,4.00,0,0,0
8,1995,12,1995-11-26,22-246,NOR,,CAR,W 34-26,16,64,4.00,0,0,0,0,,0,0,0
9,1995,13,1995-12-03,22-253,NOR,@,NWE,W 31-17,4,16,4.00,0,0,0,0,,0,0,0
10,1995,14,1995-12-10,22-260,NOR,@,ATL,L 14-19,2,0,0.00,0,0,0,0,,0,0,0
11,1995,15,1995-12-16,22-266,NOR,,GNB,L 23-34,6,15,2.50,1,0,0,0,,0,1,6
12,1995,16,1995-12-24,22-274,NOR,@,NYJ,W 12-0,1,1,1.00,0,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
13,1996,3,1996-09-15,23-174,NOR,@,CIN,L 15-30,7,23,3.29,1,0,0,0,,0,1,6
14,1996,4,1996-09-22,23-181,NOR,,ARI,L 14-28,12,57,4.75,0,1,1,1,1.00,0,0,0
15,1996,7,1996-10-13,23-202,NOR,,CHI,W 27-24,20,174,8.70,1,2,1,8,8.00,0,1,6
16,1996,8,1996-10-20,23-209,NOR,@,CAR,L 7-19,17,61,3.59,1,3,1,12,12.00,0,1,6
17,1996,9,1996-11-03,23-223,NOR,,SFO,L 17-24,20,49,2.45,1,1,1,6,6.00,0,1,6
18,1996,10,1996-11-10,23-230,NOR,,HOU,L 14-31,17,60,3.53,0,2,1,7,7.00,0,0,0
19,1996,11,1996-11-17,23-237,NOR,@,ATL,L 15-17,9,-1,-0.11,0,2,0,0,,0,0,0
20,1996,12,1996-11-24,23-244,NOR,@,TAM,L 7-13,12,41,3.42,0,4,4,11,2.75,0,0,0
21,1996,13,1996-12-01,23-251,NOR,,STL,L 10-26,6,11,1.83,0,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
22,1997,1,1997-08-31,24-159,NOR,@,STL,L 24-38,8,24,3.00,0,5,4,13,3.25,0,0,0
23,1997,2,1997-09-07,24-166,NOR,,SDG,L 6-20,6,14,2.33,0,1,1,5,5.00,0,0,0
24,1997,3,1997-09-14,24-173,NOR,@,SFO,L 7-33,4,25,6.25,0,1,0,0,,0,0,0
25,1997,4,1997-09-21,24-180,NOR,,DET,W 35-17,0,0,,0,2,2,27,13.50,0,0,0
26,1997,5,1997-09-28,24-187,NOR,@,NYG,L 9-14,3,6,2.00,0,2,2,12,6.00,0,0,0
27,1997,6,1997-10-05,24-194,NOR,@,CHI,W 20-17,14,65,4.64,0,1,0,0,,0,0,0
28,1997,7,1997-10-12,24-201,NOR,,ATL,L 17-23,4,18,4.50,0,2,2,15,7.50,0,0,0
29,1997,8,1997-10-19,24-208,NOR,,CAR,L 0-13,11,40,3.64,0,5,2,13,6.50,0,0,0
30,1997,9,1997-10-26,24-215,NOR,,SFO,L 0-23,8,27,3.38,0,4,3,21,7.00,0,0,0
31,1997,10,1997-11-09,24-229,NOR,@,OAK,W 13-10,11,32,2.91,1,3,3,26,8.67,0,1,6
32,1997,11,1997-11-16,24-236,NOR,,SEA,W 20-17,14,49,3.50,2,2,2,21,10.50,0,2,12
33,1997,12,1997-11-23,24-243,NOR,@,ATL,L 3-20,10,17,1.70,0,2,2,13,6.50,0,0,0
34,1997,13,1997-11-30,24-250,NOR,@,CAR,W 16-13,18,95,5.28,1,5,3,58,19.33,0,1,6
35,1997,14,1997-12-07,24-257,NOR,,STL,L 27-34,8,21,2.63,0,4,2,11,5.50,0,0,0
36,1997,15,1997-12-14,24-264,NOR,,ARI,W 27-10,19,72,3.79,0,2,2,22,11.00,0,0,0
37,1997,16,1997-12-21,24-271,NOR,@,KAN,L 13-25,18,47,2.61,0,2,1,6,6.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
38,1998,1,1998-09-06,25-165,NOR,@,STL,W 24-17,5,7,1.40,0,1,1,12,12.00,0,0,0
39,1998,2,1998-09-13,25-172,NOR,,CAR,W 19-14,15,83,5.53,1,1,1,5,5.00,0,1,6
40,1998,3,1998-09-27,25-186,NOR,@,IND,W 19-13,7,12,1.71,0,4,2,0,0.00,0,0,0
41,1998,4,1998-10-04,25-193,NOR,,NWE,L 27-30,2,4,2.00,0,2,0,0,,0,0,0
42,1998,5,1998-10-11,25-200,NOR,,SFO,L 0-31,1,-2,-2.00,0,1,1,4,4.00,0,0,0
43,1998,6,1998-10-18,25-207,NOR,@,ATL,L 23-31,4,8,2.00,0,4,2,5,2.50,0,0,0
44,1998,7,1998-10-25,25-214,NOR,,TAM,W 9-3,2,1,0.50,0,0,0,0,,0,0,0
45,1998,8,1998-11-01,25-221,NOR,@,CAR,L 17-31,1,1,1.00,0,0,0,0,,0,0,0
46,1998,9,1998-11-08,25-228,NOR,@,MIN,L 24-31,6,17,2.83,0,2,2,23,11.50,0,0,0
47,1998,10,1998-11-15,25-235,NOR,,STL,W 24-3,11,23,2.09,0,1,1,1,1.00,0,0,0
48,1998,11,1998-11-22,25-242,NOR,@,SFO,L 20-31,2,8,4.00,0,0,0,0,,0,0,0
,,,48 Games,,,,,18-30-0,382,1351,3.54,11,85,57,391,6.86,0,11,66
