
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1984,1,1984-09-02,22-038,PIT,,KAN,L 27-37,0,0,,0,,,,,,0,0,,0
2,1984,2,1984-09-06,22-042,PIT,@,NYJ,W 23-17,0,0,,0,,,,,,0,0,,0
3,1984,3,1984-09-16,22-052,PIT,,RAM,W 24-14,0,0,,0,,0,0,,0,3,73,24.33,0
4,1984,4,1984-09-23,22-059,PIT,@,CLE,L 10-20,0,0,,0,,0,0,,0,3,72,24.00,0
5,1984,5,1984-10-01,22-067,PIT,,CIN,W 38-17,1,0,0.00,0,,0,0,,0,3,48,16.00,0
6,1984,6,1984-10-07,22-073,PIT,,MIA,L 7-31,0,0,,0,,0,0,,0,5,120,24.00,0
7,1984,7,1984-10-14,22-080,PIT,@,SFO,W 20-17,0,0,,0,,0,0,,0,4,60,15.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
8,1985,1,1985-09-08,23-044,PIT,,IND,W 45-3,5,26,5.20,0,,0,0,,0,0,0,,0
9,1985,2,1985-09-16,23-052,PIT,@,CLE,L 7-17,0,0,,0,,0,0,,0,0,0,,0
10,1985,3,1985-09-22,23-058,PIT,,HOU,W 20-0,4,17,4.25,0,,0,0,,0,0,0,,0
11,1985,4,1985-09-30,23-066,PIT,,CIN,L 24-37,0,0,,0,,0,0,,0,0,0,,0
12,1985,5,1985-10-06,23-072,PIT,@,MIA,L 20-24,0,0,,0,,0,0,,0,0,0,,0
13,1985,6,1985-10-13,23-079,PIT,@,DAL,L 13-27,0,0,,0,,0,0,,0,0,0,,0
14,1985,7,1985-10-20,23-086,PIT,,STL,W 23-10,0,0,,0,,0,0,,0,1,40,40.00,0
15,1985,8,1985-10-27,23-093,PIT,@,CIN,L 21-26,0,0,,0,,0,0,,0,6,136,22.67,0
16,1985,9,1985-11-03,23-100,PIT,,CLE,W 10-9,0,0,,0,,0,0,,0,2,32,16.00,0
17,1985,10,1985-11-10,23-107,PIT,@,KAN,W 36-28,0,0,,0,,0,0,,0,4,98,24.50,0
18,1985,11,1985-11-17,23-114,PIT,@,HOU,W 30-7,0,0,,0,,1,13,13.00,0,0,0,,0
19,1985,12,1985-11-24,23-121,PIT,,WAS,L 23-30,0,0,,0,,0,0,,0,6,126,21.00,0
20,1985,13,1985-12-01,23-128,PIT,,DEN,L 23-31,0,0,,0,,0,0,,0,1,21,21.00,0
21,1985,14,1985-12-08,23-135,PIT,@,SDG,L 44-54,1,11,11.00,0,,1,7,7.00,0,2,56,28.00,0
22,1985,15,1985-12-15,23-142,PIT,,BUF,W 30-24,1,2,2.00,0,,0,0,,0,3,61,20.33,0
23,1985,16,1985-12-21,23-148,PIT,@,NYG,L 10-28,2,0,0.00,0,,1,5,5.00,0,2,47,23.50,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
24,1987,3,1987-10-04,25-070,SDG,@,CIN,W 10-9,11,20,1.82,0,,2,47,23.50,0,0,0,,0
25,1987,4,1987-10-11,25-077,SDG,@,TAM,W 17-13,3,4,1.33,0,,0,0,,0,0,0,,0
,,,25 Games,,,,,13-12-0,28,80,2.86,0,,5,72,14.40,0,45,990,22.00,0
