
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
1,1979,1,1979-09-02,22-226,STL,,DAL,L 21-22,21,193,9.19,1,,0,0,,0,0,0,,0,0,0,,,,1,6
2,1979,2,1979-09-09,22-233,STL,@,NYG,W 27-14,31,109,3.52,0,,4,57,14.25,0,0,0,,0,0,0,,,,0,0
3,1979,3,1979-09-16,22-240,STL,,PIT,L 21-24,16,37,2.31,1,,5,11,2.20,0,0,1,0.00,0,0,0,39.6,0.00,0.00,1,6
4,1979,4,1979-09-23,22-247,STL,,WAS,L 7-17,19,67,3.53,0,,4,9,2.25,0,0,0,,0,0,0,,,,0,0
5,1979,5,1979-09-30,22-254,STL,@,RAM,L 0-21,17,75,4.41,0,,2,6,3.00,0,0,0,,0,0,0,,,,0,0
6,1979,6,1979-10-07,22-261,STL,@,HOU,W 24-17,16,109,6.81,0,,4,58,14.50,0,0,0,,0,0,0,,,,0,0
7,1979,7,1979-10-14,22-268,STL,,PHI,L 20-24,21,73,3.48,1,,2,9,4.50,0,0,0,,0,0,0,,,,1,6
8,1979,8,1979-10-21,22-275,STL,@,DAL,L 13-22,20,105,5.25,0,,5,39,7.80,0,0,0,,0,0,0,,,,0,0
9,1979,9,1979-10-28,22-282,STL,,CLE,L 20-38,17,68,4.00,1,,2,14,7.00,0,0,0,,0,0,0,,,,1,6
10,1979,10,1979-11-04,22-289,STL,,MIN,W 37-7,25,164,6.56,1,,3,33,11.00,1,0,0,,0,0,0,,,,2,12
11,1979,11,1979-11-11,22-296,STL,@,WAS,L 28-30,25,105,4.20,0,,3,30,10.00,1,0,0,,0,0,0,,,,1,6
12,1979,12,1979-11-18,22-303,STL,@,PHI,L 13-16,17,112,6.59,0,,2,2,1.00,0,0,0,,0,0,0,,,,0,0
13,1979,13,1979-11-25,22-310,STL,@,CIN,L 28-34,16,80,5.00,0,,2,12,6.00,0,0,0,,0,0,0,,,,0,0
14,1979,14,1979-12-02,22-317,STL,,SFO,W 13-10,27,129,4.78,1,,0,0,,0,0,0,,0,0,0,,,,1,6
15,1979,15,1979-12-09,22-324,STL,,NYG,W 29-20,29,140,4.83,2,,3,28,9.33,0,0,0,,0,0,0,,,,2,12
16,1979,16,1979-12-16,22-331,STL,@,CHI,L 6-42,14,39,2.79,0,,0,0,,0,0,0,,0,0,0,,,,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
17,1980,1,1980-09-07,23-232,STL,,NYG,L 35-41,12,85,7.08,1,,4,39,9.75,0,0,0,,0,0,0,,,,1,6
18,1980,2,1980-09-14,23-239,STL,@,SFO,L 21-24,20,59,2.95,0,,4,23,5.75,0,0,0,,0,0,0,,,,0,0
19,1980,3,1980-09-21,23-246,STL,@,DET,L 7-20,15,71,4.73,0,,3,13,4.33,0,0,0,,0,0,0,,,,0,0
20,1980,4,1980-09-28,23-253,STL,,PHI,W 24-14,27,151,5.59,2,,1,6,6.00,0,0,0,,0,0,0,,,,2,12
21,1980,5,1980-10-05,23-260,STL,@,NOR,W 40-7,22,126,5.73,0,,3,18,6.00,0,0,0,,0,0,0,,,,0,0
22,1980,6,1980-10-12,23-267,STL,,RAM,L 13-21,15,62,4.13,0,,2,43,21.50,0,0,0,,0,0,0,,,,0,0
23,1980,7,1980-10-19,23-274,STL,@,WAS,L 0-23,17,43,2.53,0,,1,6,6.00,0,0,0,,0,0,0,,,,0,0
24,1980,8,1980-10-26,23-281,STL,@,BAL,W 17-10,20,51,2.55,1,,4,48,12.00,0,0,0,,0,0,0,,,,1,6
25,1980,9,1980-11-02,23-288,STL,,DAL,L 24-27,22,92,4.18,0,,1,12,12.00,0,0,0,,0,0,0,,,,0,0
26,1980,10,1980-11-09,23-295,STL,,ATL,L 27-33,1,8,8.00,1,,3,39,13.00,0,0,0,,0,0,0,,,,1,6
27,1980,11,1980-11-16,23-302,STL,@,DAL,L 21-31,16,100,6.25,1,,1,-2,-2.00,0,0,0,,0,0,0,,,,1,6
28,1980,12,1980-11-23,23-309,STL,,KAN,L 13-21,16,107,6.69,1,,2,11,5.50,0,0,0,,0,0,0,,,,1,6
29,1980,13,1980-11-30,23-316,STL,@,NYG,W 23-7,31,168,5.42,2,,0,0,,0,0,0,,0,0,0,,,,2,12
30,1980,14,1980-12-07,23-323,STL,,DET,W 24-23,28,68,2.43,0,,4,32,8.00,0,0,0,,0,0,0,,,,0,0
31,1980,15,1980-12-14,23-330,STL,@,PHI,L 3-17,17,39,2.29,0,,2,12,6.00,0,0,0,,0,0,0,,,,0,0
32,1980,16,1980-12-21,23-337,STL,,WAS,L 7-31,22,122,5.55,0,,1,8,8.00,0,0,0,,0,0,0,,,,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
