
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1971,2,1971-09-26,23-328,NOR,,SFO,L 20-38,0,0,,0,,0,0,,0,2,65,32.50,0,0,0
2,1971,3,1971-10-03,23-335,NOR,@,HOU,T 13-13,3,12,4.00,0,,0,0,,0,2,57,28.50,0,0,0
3,1971,7,1971-10-31,23-363,NOR,@,WAS,L 14-24,0,0,,0,,0,0,,0,1,21,21.00,0,0,0
4,1971,8,1971-11-07,24-005,NOR,,OAK,T 21-21,5,14,2.80,0,,4,31,7.75,0,1,21,21.00,0,0,0
5,1971,9,1971-11-14,24-012,NOR,@,SFO,W 26-20,6,21,3.50,0,,1,10,10.00,1,2,45,22.50,0,1,6
6,1971,10,1971-11-21,24-019,NOR,,MIN,L 10-23,2,0,0.00,0,,2,10,5.00,0,1,29,29.00,0,0,0
7,1971,11,1971-11-28,24-026,NOR,@,GNB,W 29-21,7,20,2.86,0,,1,-2,-2.00,0,2,33,16.50,0,0,0
8,1971,12,1971-12-05,24-033,NOR,@,RAM,L 28-45,4,13,3.25,0,,2,2,1.00,0,4,74,18.50,0,0,0
9,1971,13,1971-12-12,24-040,NOR,,CLE,L 17-21,1,4,4.00,1,,0,0,,0,2,32,16.00,0,1,6
10,1971,14,1971-12-19,24-047,NOR,,ATL,L 20-24,1,12,12.00,0,,2,2,1.00,0,2,66,33.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
11,1972,1,1972-09-17,24-320,NOR,@,RAM,L 14-34,1,5,5.00,0,,0,0,,0,0,0,,0,0,0
12,1972,3,1972-10-01,24-334,NOR,,SFO,L 2-37,4,-4,-1.00,0,,0,0,,0,0,0,,0,0,0
,,,12 Games,,,,,2-8-2,34,97,2.85,1,,12,53,4.42,1,19,443,23.32,0,2,12
