
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1984,1,1984-09-03,22-355,DAL,@,RAM,W 20-13,,,,,,,,,,0,0,,0
2,1984,3,1984-09-16,23-002,DAL,,PHI,W 23-17,,,,,,,,,,0,0,,0
3,1984,4,1984-09-23,23-009,DAL,,GNB,W 20-6,,,,,,,,,,0,0,,0
4,1984,5,1984-09-30,23-016,DAL,@,CHI,W 23-14,,,,,,,,,,0,0,,0
5,1984,6,1984-10-07,23-023,DAL,,STL,L 20-31,0,0,,0,,0,0,,0,1,1,1.00,0
6,1984,7,1984-10-14,23-030,DAL,@,WAS,L 14-34,,,,,,,,,,0,0,,0
7,1984,8,1984-10-21,23-037,DAL,,NOR,W 30-27,0,0,,0,,0,0,,0,1,5,5.00,0
8,1984,9,1984-10-28,23-044,DAL,,IND,W 22-3,,,,,,,,,,0,0,,0
9,1984,10,1984-11-04,23-051,DAL,,NYG,L 7-19,,,,,,,,,,0,0,,0
10,1984,11,1984-11-11,23-058,DAL,@,STL,W 24-17,,,,,,,,,,0,0,,0
11,1984,12,1984-11-18,23-065,DAL,@,BUF,L 3-14,,,,,,,,,,0,0,,0
12,1984,13,1984-11-22,23-069,DAL,,NWE,W 20-17,,,,,,,,,,0,0,,0
13,1984,14,1984-12-02,23-079,DAL,@,PHI,W 26-10,,,,,,,,,,0,0,,0
14,1984,15,1984-12-09,23-086,DAL,,WAS,L 28-30,,,,,,,,,,0,0,,0
15,1984,16,1984-12-17,23-094,DAL,@,MIA,L 21-28,,,,,,,,,,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
16,1987,3,1987-10-04,26-020,ATL,,PIT,L 12-28,5,11,2.20,0,,1,8,8.00,0,0,0,,0
17,1987,4,1987-10-11,26-027,ATL,,SFO,L 17-25,0,0,,0,,1,26,26.00,0,0,0,,0
18,1987,5,1987-10-18,26-034,ATL,,RAM,W 24-20,1,1,1.00,0,,0,0,,0,0,0,,0
,,,18 Games,,,,,10-8-0,6,12,2.00,0,,2,34,17.00,0,2,6,3.00,0
