
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
1,1990,1,1990-09-09,21-275,PIT,@,CLE,L 3-13,1,1,1.00,0,,1,2,2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
2,1990,2,1990-09-16,21-282,PIT,,HOU,W 20-9,0,0,,0,,0,0,,0,,,,,,,,,,0,0,,0,,
3,1990,3,1990-09-23,21-289,PIT,@,RAI,L 3-20,1,1,1.00,0,,0,0,,0,0,0,,0,0,0,,,,1,5,5.00,0,0,0
4,1990,4,1990-09-30,21-296,PIT,,MIA,L 6-28,0,0,,0,,0,0,,0,,,,,,,,,,0,0,,0,,
5,1990,5,1990-10-07,21-303,PIT,,SDG,W 36-14,5,23,4.60,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
6,1990,6,1990-10-14,21-310,PIT,@,DEN,W 34-17,2,2,1.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
7,1990,7,1990-10-21,21-317,PIT,@,SFO,L 7-27,0,0,,0,,0,0,,0,,,,,,,,,,0,0,,0,,
8,1990,8,1990-10-29,21-325,PIT,,RAM,W 41-10,6,53,8.83,0,,0,0,,0,0,0,,0,0,0,,,,1,11,11.00,0,0,0
9,1990,9,1990-11-04,21-331,PIT,,ATL,W 21-9,0,0,,0,,0,0,,0,,,,,,,,,,0,0,,0,,
10,1990,10,1990-11-18,21-345,PIT,@,CIN,L 3-27,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,13,13.00,0,0,0
11,1990,11,1990-11-25,21-352,PIT,@,NYJ,W 24-7,4,22,5.50,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
12,1990,12,1990-12-02,21-359,PIT,,CIN,L 12-16,1,1,1.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
13,1990,13,1990-12-09,22-001,PIT,,NWE,W 24-3,0,0,,0,,0,0,,0,,,,,,,,,,0,0,,0,,
14,1990,14,1990-12-16,22-008,PIT,@,NOR,W 9-6,0,0,,0,,0,0,,0,,,,,,,,,,0,0,,0,,
15,1990,15,1990-12-23,22-015,PIT,,CLE,W 35-0,16,100,6.25,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
16,1990,16,1990-12-30,22-022,PIT,@,HOU,L 14-34,0,0,,0,,0,0,,0,,,,,,,,,,0,0,,0,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
17,1991,1,1991-09-01,22-267,PIT,,SDG,W 26-20,17,78,4.59,0,,3,48,16.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
18,1991,2,1991-09-08,22-274,PIT,@,BUF,L 34-52,9,121,13.44,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
19,1991,3,1991-09-15,22-281,PIT,,NWE,W 20-6,14,32,2.29,0,,2,19,9.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
20,1991,4,1991-09-22,22-288,PIT,@,PHI,L 14-23,9,52,5.78,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
21,1991,5,1991-10-06,22-302,PIT,@,IND,W 21-3,12,49,4.08,0,,3,37,12.33,1,0,0,,0,0,0,,,,0,0,,0,1,6
22,1991,6,1991-10-14,22-310,PIT,,NYG,L 20-23,7,60,8.57,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
23,1991,7,1991-10-20,22-316,PIT,,SEA,L 7-27,7,36,5.14,0,,1,13,13.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
24,1991,11,1991-11-17,22-344,PIT,,WAS,L 14-41,4,4,1.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
25,1991,12,1991-11-24,22-351,PIT,,HOU,W 26-14,16,60,3.75,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
26,1991,13,1991-11-28,22-355,PIT,@,DAL,L 10-20,1,-4,-4.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
27,1992,1,1992-09-06,23-273,PIT,@,HOU,W 29-24,26,107,4.12,1,3,2,26,13.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
28,1992,2,1992-09-13,23-280,PIT,,NYJ,W 27-10,33,190,5.76,2,1,1,0,0.00,0,0,0,,0,0,0,,,,0,0,,0,2,12
29,1992,3,1992-09-20,23-287,PIT,@,SDG,W 23-6,21,36,1.71,0,1,1,-1,-1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
30,1992,4,1992-09-27,23-294,PIT,@,GNB,L 3-17,12,117,9.75,0,3,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
31,1992,5,1992-10-11,23-308,PIT,@,CLE,L 9-17,24,84,3.50,0,7,6,49,8.17,0,0,0,,0,0,0,,,,0,0,,0,0,0
32,1992,6,1992-10-19,23-316,PIT,,CIN,W 20-0,24,108,4.50,0,1,1,21,21.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
33,1992,7,1992-10-25,23-322,PIT,@,KAN,W 27-3,24,105,4.38,1,1,1,12,12.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
34,1992,8,1992-11-01,23-329,PIT,,HOU,W 21-20,31,118,3.81,1,3,2,15,7.50,0,0,0,,0,0,0,,,,0,0,,0,1,6
35,1992,9,1992-11-08,23-336,PIT,@,BUF,L 20-28,22,78,3.55,0,4,4,36,9.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
36,1992,10,1992-11-15,23-343,PIT,,DET,W 17-14,25,106,4.24,0,6,5,52,10.40,0,0,0,,0,0,0,,,,0,0,,0,0,0
37,1992,11,1992-11-22,23-350,PIT,,IND,W 30-14,28,168,6.00,2,3,1,42,42.00,0,0,0,,0,0,0,,,,0,0,,0,2,12
38,1992,12,1992-11-29,23-357,PIT,@,CIN,W 21-9,25,102,4.08,2,1,1,16,16.00,0,0,0,,0,0,0,,,,0,0,,0,2,12
39,1992,13,1992-12-06,23-364,PIT,,SEA,W 20-14,33,125,3.79,1,7,5,29,5.80,0,0,0,,0,0,0,,,,0,0,,0,1,6
40,1992,14,1992-12-13,24-005,PIT,@,CHI,L 6-30,12,25,2.08,0,3,2,10,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
41,1992,15,1992-12-20,24-012,PIT,,MIN,L 3-6,24,118,4.92,0,3,2,8,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
42,1992,16,1992-12-27,24-019,PIT,,CLE,W 23-13,26,103,3.96,1,3,2,29,14.50,0,0,0,,0,0,0,,,,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
43,1993,1,1993-09-05,24-271,PIT,,SFO,L 13-24,17,80,4.71,1,6,6,30,5.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
