
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2000,5,2000-10-01,24-024,ATL,@,PHI,L 10-38,2,13,6.50,0,1,1,5,5.00,0,0,0
2,2000,6,2000-10-08,24-031,ATL,,NYG,L 6-13,,,,,,,,,,,
3,2000,7,2000-10-15,24-038,ATL,@,STL,L 29-45,2,-3,-1.50,0,0,0,0,,0,0,0
4,2000,8,2000-10-22,24-045,ATL,,NOR,L 19-21,,,,,,,,,,,
5,2000,9,2000-10-29,24-052,ATL,,CAR,W 13-12,,,,,,,,,,,
6,2000,12,2000-11-19,24-073,ATL,@,SFO,L 6-16,2,15,7.50,0,0,0,0,,0,0,0
7,2000,13,2000-11-26,24-080,ATL,@,OAK,L 14-41,,,,,,,,,,,
8,2000,14,2000-12-03,24-087,ATL,,SEA,L 10-30,9,42,4.67,0,0,0,0,,0,0,0
9,2000,15,2000-12-17,24-101,ATL,@,NOR,L 7-23,,,,,,,,,,,
10,2000,16,2000-12-24,24-108,ATL,,KAN,W 29-13,4,2,0.50,0,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
11,2001,1,2001-09-09,25-002,ATL,@,SFO,L 13-16,,,,,0,,,,,,
12,2001,2,2001-09-23,25-016,ATL,,CAR,W 24-16,,,,,,,,,,,
13,2001,3,2001-09-30,25-023,ATL,@,ARI,W 34-14,21,70,3.33,1,2,2,108,54.00,1,2,12
14,2001,4,2001-10-07,25-030,ATL,,CHI,L 3-31,17,71,4.18,0,2,1,8,8.00,0,0,0
15,2001,5,2001-10-14,25-037,ATL,,SFO,L 31-37,20,50,2.50,1,3,1,0,0.00,0,1,6
16,2001,6,2001-10-21,25-044,ATL,@,NOR,W 20-13,22,83,3.77,0,2,2,10,5.00,0,0,0
17,2001,7,2001-11-04,25-058,ATL,,NWE,L 10-24,16,84,5.25,0,1,0,0,,0,0,0
18,2001,8,2001-11-11,25-065,ATL,,DAL,W 20-13,27,148,5.48,0,0,0,0,,0,0,0
19,2001,9,2001-11-18,25-072,ATL,@,GNB,W 23-20,19,43,2.26,0,5,4,29,7.25,0,0,0
20,2001,10,2001-11-25,25-079,ATL,@,CAR,W 10-7,21,57,2.71,0,1,1,10,10.00,0,0,0
21,2001,11,2001-12-02,25-086,ATL,,STL,L 6-35,14,23,1.64,0,2,1,4,4.00,0,0,0
22,2001,12,2001-12-09,25-093,ATL,,NOR,L 10-28,12,7,0.58,1,1,1,17,17.00,0,1,6
23,2001,13,2001-12-16,25-100,ATL,@,IND,L 27-41,11,49,4.45,0,4,3,20,6.67,0,0,0
24,2001,14,2001-12-23,25-107,ATL,,BUF,W 33-30,14,23,1.64,1,1,1,0,0.00,0,1,6
25,2001,15,2001-12-30,25-114,ATL,@,MIA,L 14-21,15,38,2.53,1,2,1,12,12.00,0,1,6
26,2001,16,2002-01-06,25-121,ATL,@,STL,L 13-31,8,14,1.75,0,1,1,12,12.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
27,2002,7,2002-10-27,26-050,ATL,@,NOR,W 37-35,,,,,,,,,,,
28,2002,9,2002-11-10,26-064,ATL,@,PIT,T 34-34,,,,,,,,,,,
,,,28 Games,,,,,10-17-1,256,829,3.24,5,28,20,235,11.75,1,6,36
