
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1998,8,1998-11-01,23-250,NOR,@,CAR,L 17-31,1,7,7.00,0,0,0,0,,0,0,0,,0
2,1998,12,1998-11-29,23-278,NOR,@,MIA,L 10-30,2,22,11.00,0,1,0,0,,0,0,0,,0
3,1998,13,1998-12-06,23-285,NOR,,DAL,W 22-3,12,38,3.17,0,0,0,0,,0,0,0,,0
4,1998,14,1998-12-13,23-292,NOR,,ATL,L 17-27,5,14,2.80,0,1,0,0,,0,0,0,,0
5,1998,15,1998-12-20,23-299,NOR,@,ARI,L 17-19,1,-4,-4.00,0,0,0,0,,0,0,0,,0
6,1998,16,1998-12-27,23-306,NOR,,BUF,L 33-45,9,45,5.00,0,4,1,2,2.00,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
7,1999,8,1999-11-07,24-256,NOR,,TAM,L 16-31,0,0,,0,0,0,0,,0,2,6,3.00,0
8,1999,11,1999-11-28,24-277,NOR,@,STL,L 12-43,6,19,3.17,0,3,1,11,11.00,0,0,0,,0
9,1999,12,1999-12-05,24-284,NOR,@,ATL,L 12-35,16,93,5.81,0,4,1,6,6.00,0,0,0,,0
10,1999,13,1999-12-12,24-291,NOR,,STL,L 14-30,14,54,3.86,0,1,1,4,4.00,0,0,0,,0
11,1999,14,1999-12-19,24-298,NOR,@,BAL,L 8-31,11,11,1.00,0,1,1,5,5.00,0,0,0,,0
12,1999,15,1999-12-24,24-303,NOR,,DAL,W 31-24,,,,,,,,,,,,,
13,1999,16,2000-01-02,24-312,NOR,@,CAR,L 13-45,1,3,3.00,0,0,0,0,,0,0,0,,0
,,,13 Games,,,,,2-11-0,78,302,3.87,0,15,5,28,5.60,0,2,6,3.00,0
