
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2004,4,2004-10-03,26-181,PHI,@,CHI,W 19-9,0,,,,,,,,
2,2004,5,2004-10-17,26-195,PHI,,CAR,W 30-8,2,,,,,,,,
3,2004,6,2004-10-24,26-202,PHI,@,CLE,W 34-31,2,2,22,11.00,0,0,0,,0
4,2004,7,2004-10-31,26-209,PHI,,BAL,W 15-10,2,1,22,22.00,0,0,0,,0
5,2004,8,2004-11-07,26-216,PHI,@,PIT,L 3-27,,,,,,,,,
6,2004,9,2004-11-15,26-224,PHI,@,DAL,W 49-21,1,1,5,5.00,0,0,0,,0
7,2004,10,2004-11-21,26-230,PHI,,WAS,W 28-6,,,,,,,,,
8,2004,11,2004-11-28,26-237,PHI,@,NYG,W 27-6,1,1,15,15.00,0,0,0,,0
9,2004,12,2004-12-05,26-244,PHI,,GNB,W 47-17,5,1,4,4.00,0,0,0,,0
10,2004,13,2004-12-12,26-251,PHI,@,WAS,W 17-14,1,,,,,,,,
11,2004,14,2004-12-19,26-258,PHI,,DAL,W 12-7,1,1,9,9.00,0,0,0,,0
12,2004,15,2004-12-27,26-266,PHI,@,STL,L 7-20,1,,,,,,,,
13,2004,16,2005-01-02,26-272,PHI,,CIN,L 10-38,2,2,-2,-1.00,0,2,24,12.00,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
14,2005,1,2005-09-12,27-160,PHI,@,ATL,L 10-14,1,1,1,1.00,0,0,0,,0
15,2005,2,2005-09-18,27-166,PHI,,SFO,W 42-3,4,3,20,6.67,0,0,0,,0
16,2005,3,2005-09-25,27-173,PHI,,OAK,W 23-20,1,0,0,,0,0,0,,0
17,2005,4,2005-10-02,27-180,PHI,@,KAN,W 37-31,1,1,12,12.00,0,0,0,,0
18,2005,5,2005-10-09,27-187,PHI,@,DAL,L 10-33,,,,,,,,,
19,2005,6,2005-10-23,27-201,PHI,,SDG,W 20-17,3,2,9,4.50,0,0,0,,0
20,2005,7,2005-10-30,27-208,PHI,@,DEN,L 21-49,0,0,0,,0,0,0,,0
21,2005,8,2005-11-06,27-215,PHI,@,WAS,L 10-17,2,2,14,7.00,0,0,0,,0
22,2005,9,2005-11-14,27-223,PHI,,DAL,L 20-21,2,2,16,8.00,0,0,0,,0
23,2005,10,2005-11-20,27-229,PHI,@,NYG,L 17-27,,0,0,,0,0,0,,0
24,2005,11,2005-11-27,27-236,PHI,,GNB,W 19-14,1,1,11,11.00,0,0,0,,0
25,2005,12,2005-12-05,27-244,PHI,,SEA,L 0-42,,0,0,,0,0,0,,0
26,2005,13,2005-12-11,27-250,PHI,,NYG,L 23-26,0,0,0,,0,0,0,,0
27,2005,14,2005-12-18,27-257,PHI,@,STL,W 17-16,1,1,6,6.00,0,0,0,,0
28,2005,15,2005-12-24,27-263,PHI,@,ARI,L 21-27,,0,0,,0,0,0,,0
29,2005,16,2006-01-01,27-271,PHI,,WAS,L 20-31,0,0,0,,0,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
30,2006,1,2006-09-10,28-158,SEA,@,DET,W 9-6,0,0,0,,0,0,0,,0
31,2006,2,2006-09-17,28-165,SEA,,ARI,W 21-10,0,0,0,,0,0,0,,0
32,2006,3,2006-09-24,28-172,SEA,,NYG,W 42-30,,0,0,,0,0,0,,0
33,2006,4,2006-10-01,28-179,SEA,@,CHI,L 6-37,0,0,0,,0,0,0,,0
34,2006,5,2006-10-15,28-193,SEA,@,STL,W 30-28,,0,0,,0,0,0,,0
35,2006,6,2006-10-22,28-200,SEA,,MIN,L 13-31,1,0,0,,0,0,0,,0
36,2006,7,2006-10-29,28-207,SEA,@,KAN,L 28-35,1,1,11,11.00,0,0,0,,0
37,2006,8,2006-11-06,28-215,SEA,,OAK,W 16-0,,0,0,,0,0,0,,0
,,,37 Games,,,,,21-16-0,36,23,175,7.61,0,2,24,12.00,0
