
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck
1,1978,1,1978-09-02,22-213,NYG,@,TAM,W 19-13,4,0,0.00,0,,2,14,7.00,0,0,0,,0,0,0,0,0,,0
2,1978,2,1978-09-10,22-221,NYG,,DAL,L 24-34,1,1,1.00,1,,0,0,,0,0,0,,0,1,6,0,0,,0
3,1978,3,1978-09-17,22-228,NYG,,KAN,W 26-10,1,12,12.00,0,,0,0,,0,0,0,,0,0,0,0,0,,0
4,1978,4,1978-09-24,22-235,NYG,,SFO,W 27-10,11,79,7.18,0,,1,-1,-1.00,0,0,0,,0,0,0,0,0,,0
5,1978,5,1978-10-01,22-242,NYG,@,ATL,L 20-23,8,55,6.88,0,,1,8,8.00,0,0,0,,0,0,0,0,0,,0
6,1978,6,1978-10-08,22-249,NYG,@,DAL,L 3-24,3,6,2.00,0,,0,0,,0,0,0,,0,0,0,0,0,,0
7,1978,12,1978-11-19,22-291,NYG,,PHI,L 17-19,3,15,5.00,0,,0,0,,0,0,0,,0,0,0,0,0,,0
8,1978,14,1978-12-03,22-305,NYG,,RAM,L 17-20,10,58,5.80,0,,5,39,7.80,0,0,0,,0,0,0,0,0,,0
9,1978,15,1978-12-10,22-312,NYG,,STL,W 17-0,11,62,5.64,0,,0,0,,0,0,0,,0,0,0,0,0,,0
10,1978,16,1978-12-17,22-319,NYG,@,PHI,L 3-20,8,18,2.25,0,,3,6,2.00,0,0,0,,0,0,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck
11,1979,2,1979-09-09,23-220,SEA,@,MIA,L 10-19,4,14,3.50,0,,5,43,8.60,0,0,0,,0,0,0,0,0,,0
12,1979,3,1979-09-16,23-227,SEA,,OAK,W 27-10,15,52,3.47,0,,2,24,12.00,0,0,0,,0,0,0,0,0,,0
13,1979,4,1979-09-23,23-234,SEA,@,DEN,L 34-37,14,55,3.93,2,,2,14,7.00,0,0,0,,0,2,12,0,0,,0
14,1979,5,1979-09-30,23-241,SEA,,KAN,L 6-24,16,43,2.69,0,,10,70,7.00,0,1,13,13.00,0,0,0,0,0,,0
15,1979,6,1979-10-07,23-248,SEA,@,SFO,W 35-24,19,58,3.05,2,,3,22,7.33,0,0,0,,0,2,12,0,0,,0
16,1979,7,1979-10-14,23-255,SEA,@,SDG,L 10-20,7,3,0.43,0,,8,81,10.13,0,0,0,,0,0,0,0,0,,0
17,1979,8,1979-10-21,23-262,SEA,,HOU,W 34-14,7,25,3.57,0,,3,16,5.33,0,0,0,,0,0,0,0,0,,0
18,1979,9,1979-10-29,23-270,SEA,@,ATL,W 31-28,21,122,5.81,2,,1,3,3.00,0,0,0,,0,2,12,0,0,,0
19,1979,10,1979-11-04,23-276,SEA,,RAM,L 0-24,2,-3,-1.50,0,,0,0,,0,0,0,,0,0,0,0,0,,0
20,1979,11,1979-11-11,23-283,SEA,@,CLE,W 29-24,5,11,2.20,0,,1,7,7.00,0,0,0,,0,0,0,0,0,,0
21,1979,12,1979-11-18,23-290,SEA,,NOR,W 38-24,13,58,4.46,1,,5,72,14.40,0,0,0,,0,1,6,0,0,,0
22,1979,13,1979-11-26,23-298,SEA,,NYJ,W 30-7,8,16,2.00,0,,1,9,9.00,0,0,0,,0,0,0,0,0,,0
23,1979,14,1979-12-02,23-304,SEA,@,KAN,L 21-37,5,4,0.80,1,,2,6,3.00,0,0,0,,0,1,6,0,0,,0
24,1979,15,1979-12-08,23-310,SEA,,DEN,W 28-23,7,12,1.71,0,,6,35,5.83,0,0,0,,0,0,0,0,0,,0
25,1979,16,1979-12-16,23-318,SEA,@,OAK,W 29-24,9,30,3.33,0,,5,30,6.00,1,0,0,,0,1,6,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck
26,1980,1,1980-09-07,24-219,SEA,,SDG,L 13-34,2,-1,-0.50,0,,3,26,8.67,0,0,0,,0,0,0,0,0,,0
27,1980,2,1980-09-14,24-226,SEA,@,KAN,W 17-16,12,32,2.67,0,,4,29,7.25,0,0,0,,0,0,0,0,0,,0
28,1980,3,1980-09-21,24-233,SEA,,NWE,L 31-37,8,21,2.63,0,,3,26,8.67,0,0,0,,0,0,0,0,0,,0
29,1980,4,1980-09-28,24-240,SEA,@,WAS,W 14-0,9,49,5.44,1,,0,0,,0,0,0,,0,1,6,0,0,,0
30,1980,5,1980-10-05,24-247,SEA,@,HOU,W 26-7,10,31,3.10,0,,0,0,,0,0,0,,0,0,0,0,0,,0
31,1980,6,1980-10-12,24-254,SEA,,CLE,L 3-27,7,23,3.29,0,,4,39,9.75,0,0,0,,0,0,0,0,0,,0
32,1980,7,1980-10-19,24-261,SEA,@,NYJ,W 27-17,4,9,2.25,0,,1,11,11.00,0,0,0,,0,0,0,0,0,,0
33,1980,8,1980-10-26,24-268,SEA,@,OAK,L 14-33,4,8,2.00,0,,2,18,9.00,0,0,0,,0,0,0,0,0,,0
34,1980,9,1980-11-02,24-275,SEA,,PHI,L 20-27,7,44,6.29,1,,3,3,1.00,0,0,0,,0,1,6,0,0,,0
35,1980,10,1980-11-09,24-282,SEA,,KAN,L 30-31,11,23,2.09,0,,3,18,6.00,1,0,0,,0,1,6,0,0,,0
36,1980,11,1980-11-17,24-290,SEA,,OAK,L 17-19,7,29,4.14,0,,2,18,9.00,1,0,0,,0,1,6,0,0,,0
37,1980,13,1980-11-27,24-300,SEA,@,DAL,L 7-51,2,0,0.00,0,,0,0,,0,0,0,,0,0,0,0,0,,0
38,1980,14,1980-12-07,24-310,SEA,,NYG,L 21-27,10,36,3.60,1,,1,3,3.00,0,0,0,,0,1,6,0,0,,0
39,1980,15,1980-12-13,24-316,SEA,@,SDG,L 14-21,6,36,6.00,0,,3,17,5.67,0,0,0,,0,0,0,0,0,,0
40,1980,16,1980-12-21,24-324,SEA,,DEN,L 17-25,1,4,4.00,0,,2,29,14.50,0,0,0,,0,0,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck
41,1981,1,1981-09-06,25-217,SEA,@,CIN,L 21-27,5,8,1.60,0,,2,24,12.00,0,0,0,,0,0,0,0,0,,0
42,1981,2,1981-09-13,25-224,SEA,,DEN,W 13-10,0,0,,0,,0,0,,0,,,,,,,,,,
43,1981,4,1981-09-27,25-238,SEA,,KAN,L 14-20,0,0,,0,,0,0,,0,,,,,,,,,,
44,1981,5,1981-10-04,25-245,SEA,@,SDG,L 10-24,1,4,4.00,0,,1,5,5.00,0,0,0,,0,0,0,0,0,,0
45,1981,6,1981-10-11,25-252,SEA,@,HOU,L 17-35,0,0,,0,,0,0,,0,,,,,,,,,,
46,1981,7,1981-10-18,25-259,SEA,,NYG,L 0-32,1,1,1.00,0,,1,9,9.00,0,0,0,,0,0,0,0,0,,0
47,1981,8,1981-10-25,25-266,SEA,@,NYJ,W 19-3,11,44,4.00,0,,0,0,,0,0,0,,0,0,0,0,0,,0
48,1981,9,1981-11-01,25-273,SEA,@,GNB,L 24-34,5,22,4.40,0,,5,36,7.20,2,0,0,,0,2,12,0,0,,0
49,1981,10,1981-11-08,25-280,SEA,,PIT,W 24-21,10,28,2.80,0,,3,82,27.33,1,0,0,,0,1,6,0,0,,0
50,1981,11,1981-11-16,25-288,SEA,,SDG,W 44-23,4,9,2.25,1,,1,80,80.00,1,0,0,,0,2,12,0,0,,0
51,1981,12,1981-11-22,25-294,SEA,@,KAN,L 13-40,3,13,4.33,0,,3,32,10.67,0,0,0,,0,0,0,0,0,,0
52,1981,13,1981-11-29,25-301,SEA,,OAK,L 31-32,8,23,2.88,0,,4,36,9.00,0,0,0,,0,0,0,0,0,,0
53,1981,14,1981-12-06,25-308,SEA,,NYJ,W 27-23,6,4,0.67,0,,3,23,7.67,0,0,0,,0,0,0,0,0,,0
54,1981,15,1981-12-13,25-315,SEA,@,DEN,L 13-23,6,22,3.67,0,,4,23,5.75,0,0,0,,0,0,0,0,0,,0
55,1981,16,1981-12-20,25-322,SEA,,CLE,W 42-21,5,16,3.20,0,,0,0,,0,0,0,,0,0,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck
56,1982,1,1982-09-12,26-223,SEA,,CLE,L 7-21,5,14,2.80,0,,1,22,22.00,0,0,0,,0,0,0,0,0,,0
57,1982,2,1982-09-19,26-230,SEA,@,HOU,L 21-23,3,10,3.33,0,,3,-4,-1.33,0,0,0,,0,0,0,0,0,,0
58,1982,4,1982-11-28,26-300,SEA,,PIT,W 16-0,6,13,2.17,0,,1,6,6.00,0,0,0,,0,0,0,0,0,,0
59,1982,5,1982-12-05,26-307,SEA,@,RAI,L 23-28,4,12,3.00,0,,3,42,14.00,0,0,0,,0,0,0,0,0,,0
60,1982,6,1982-12-12,26-314,SEA,,CHI,W 20-14,2,5,2.50,0,,4,20,5.00,0,0,0,,0,0,0,1,54,54.00,0
