
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck
1,1964,1,1964-09-13,22-116,CLE,@,WAS,W 27-13,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,2,33,16.50,0,0,0,,0,0,0,0,0,,0
2,1964,2,1964-09-20,22-123,CLE,,STL,T 33-33,1,1,1.00,0,,0,0,,0,0,0,,0,0,0,,,,3,82,27.33,0,0,0,,0,0,0,0,0,,0
3,1964,3,1964-09-27,22-130,CLE,@,PHI,W 28-20,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,2,50,25.00,0,0,0,,0,0,0,0,0,,0
4,1964,4,1964-10-04,22-137,CLE,,DAL,W 27-6,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,2,26,13.00,0,1,0,0.00,0,0,0,0,0,,0
5,1964,5,1964-10-10,22-143,CLE,,PIT,L 7-23,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,3,90,30.00,0,1,1,1.00,0,0,0,0,0,,0
6,1964,6,1964-10-18,22-151,CLE,@,DAL,W 20-16,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,2,32,16.00,0,0,0,,0,0,0,0,0,,0
7,1964,7,1964-10-25,22-158,CLE,,NYG,W 42-20,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,45,45.00,0,1,68,68.00,1,1,6,0,0,,0
8,1964,8,1964-11-01,22-165,CLE,@,PIT,W 30-17,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,19,19.00,0,0,0,0,0,,0
9,1964,9,1964-11-08,22-172,CLE,,WAS,W 34-24,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,42,42.00,0,0,0,0,0,,0
10,1964,10,1964-11-15,22-179,CLE,,DET,W 37-21,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,2,43,21.50,0,1,22,22.00,0,0,0,0,0,,0
11,1964,11,1964-11-22,22-186,CLE,@,GNB,L 21-28,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,2,69,34.50,0,1,6,6.00,0,0,0,0,0,,0
12,1964,12,1964-11-29,22-193,CLE,,PHI,W 38-24,1,2,2.00,0,,0,0,,0,0,0,,0,0,0,,,,1,36,36.00,0,0,0,,0,0,0,0,0,,0
13,1964,13,1964-12-06,22-200,CLE,@,STL,L 19-28,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,4,76,19.00,0,0,0,,0,0,0,0,0,,0
14,1964,14,1964-12-12,22-206,CLE,@,NYG,W 52-20,4,9,2.25,0,,0,0,,0,0,0,,0,0,0,,,,0,,,0,2,13,6.50,0,0,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck
15,1965,1,1965-09-19,23-122,CLE,@,WAS,W 17-7,6,19,3.17,0,,0,0,,0,0,0,,0,0,0,,,,1,20,20.00,0,0,0,,0,0,0,0,0,,0
16,1965,2,1965-09-26,23-129,CLE,,STL,L 13-49,1,5,5.00,0,,0,0,,0,0,0,,0,0,0,,,,3,111,37.00,0,2,5,2.50,0,0,0,0,0,,0
17,1965,3,1965-10-03,23-136,CLE,@,PHI,W 35-17,4,25,6.25,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0,0,,0
18,1965,4,1965-10-09,23-142,CLE,,PIT,W 24-19,13,67,5.15,0,,5,60,12.00,0,0,0,,0,0,0,,,,2,26,13.00,0,2,3,1.50,0,0,0,0,0,,0
19,1965,5,1965-10-17,23-150,CLE,,DAL,W 23-17,2,3,1.50,0,,1,52,52.00,0,0,0,,0,0,0,,,,2,62,31.00,0,2,3,1.50,0,0,0,0,0,,0
20,1965,7,1965-10-31,23-164,CLE,,MIN,L 17-27,4,4,1.00,0,,1,1,1.00,0,0,0,,0,0,0,,,,2,35,17.50,0,1,23,23.00,0,0,0,0,0,,0
21,1965,8,1965-11-07,23-171,CLE,,PHI,W 38-34,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,4,136,34.00,0,0,0,,0,0,0,0,0,,0
22,1965,9,1965-11-14,23-178,CLE,,NYG,W 34-21,0,0,,0,,1,-1,-1.00,0,0,0,,0,0,0,,,,2,60,30.00,0,0,0,,0,0,0,0,0,,0
23,1965,10,1965-11-21,23-185,CLE,@,DAL,W 24-17,1,-6,-6.00,0,,1,10,10.00,0,0,0,,0,0,0,,,,1,21,21.00,0,1,67,67.00,1,1,6,0,0,,0
24,1965,11,1965-11-28,23-192,CLE,@,PIT,W 42-21,3,6,2.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,4,109,27.25,1,1,6,0,0,,0
25,1965,12,1965-12-05,23-199,CLE,,WAS,W 24-16,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,3,72,24.00,0,1,0,0.00,0,0,0,0,0,,0
26,1965,13,1965-12-12,23-206,CLE,@,RAM,L 7-42,3,16,5.33,0,,0,0,,0,0,0,,0,0,0,,,,2,37,18.50,0,1,8,8.00,0,0,0,0,0,,0
27,1965,14,1965-12-19,23-213,CLE,@,STL,W 27-24,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,2,41,20.50,0,3,47,15.67,0,0,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck
28,1966,1,1966-09-11,24-114,CLE,@,WAS,W 38-14,16,54,3.38,1,,0,0,,0,0,0,,0,0,0,,,,1,10,10.00,0,1,6,6.00,0,1,6,0,0,,0
29,1966,2,1966-09-18,24-121,CLE,,GNB,L 20-21,11,51,4.64,0,,3,27,9.00,0,0,0,,0,0,0,,,,2,29,14.50,0,0,0,,0,0,0,0,0,,0
30,1966,3,1966-09-25,24-128,CLE,,STL,L 28-34,19,109,5.74,3,,6,36,6.00,0,0,0,,0,0,0,,,,4,88,22.00,0,2,9,4.50,0,3,18,0,0,,0
31,1966,4,1966-10-02,24-135,CLE,@,NYG,W 28-7,20,138,6.90,1,,0,0,,0,0,0,,0,0,0,,,,2,48,24.00,0,0,0,,0,1,6,0,0,,0
32,1966,5,1966-10-08,24-141,CLE,,PIT,W 41-10,19,113,5.95,2,,3,34,11.33,0,0,0,,0,0,0,,,,0,0,,0,1,7,7.00,0,2,12,0,0,,0
33,1966,6,1966-10-23,24-156,CLE,,DAL,W 30-21,12,25,2.08,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,2,2.00,0,1,6,0,0,,0
34,1966,7,1966-10-30,24-163,CLE,@,ATL,W 49-17,14,98,7.00,1,,1,30,30.00,1,0,0,,0,0,0,,,,0,0,,0,0,0,,0,2,12,0,0,,0
35,1966,8,1966-11-06,24-170,CLE,@,PIT,L 6-16,19,82,4.32,0,,4,35,8.75,0,0,0,,0,0,0,,,,0,0,,0,4,19,4.75,0,0,0,0,0,,0
36,1966,9,1966-11-13,24-177,CLE,,PHI,W 27-7,13,60,4.62,0,,2,19,9.50,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,2,56,28.00,0,0,0,0,0,,0
37,1966,10,1966-11-20,24-184,CLE,,WAS,W 14-3,14,100,7.14,1,,2,33,16.50,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6,0,0,,0
38,1966,11,1966-11-24,24-188,CLE,@,DAL,L 14-26,15,115,7.67,1,,2,25,12.50,0,0,0,,0,0,0,,,,1,15,15.00,0,2,5,2.50,0,1,6,0,0,,0
39,1966,12,1966-12-04,24-198,CLE,,NYG,W 49-40,13,126,9.69,3,,4,71,17.75,0,0,0,,0,0,0,,,,3,102,34.00,0,0,0,,0,3,18,0,0,,0
40,1966,13,1966-12-11,24-205,CLE,@,PHI,L 21-33,12,51,4.25,0,,5,56,11.20,0,0,0,,0,0,0,,,,5,100,20.00,0,0,0,,0,0,0,0,0,,0
41,1966,14,1966-12-17,24-211,CLE,@,STL,W 38-10,12,19,1.58,1,,0,0,,0,0,0,,0,0,0,,,,1,11,11.00,0,0,0,,0,1,6,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck
42,1967,1,1967-09-17,25-120,CLE,,DAL,L 14-21,8,11,1.38,1,,1,17,17.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6,0,0,,0
43,1967,2,1967-09-24,25-127,CLE,@,DET,L 14-31,16,141,8.81,1,,2,14,7.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6,4,172,43.00,0
44,1967,3,1967-10-01,25-134,CLE,@,NOR,W 42-7,20,110,5.50,1,,1,13,13.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6,3,125,41.67,0
45,1967,4,1967-10-07,25-140,CLE,,PIT,W 21-10,25,80,3.20,0,,1,20,20.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,3,110,36.67,0
46,1967,5,1967-10-15,25-148,CLE,,STL,W 20-16,15,63,4.20,0,,2,30,15.00,1,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6,0,0,,0
47,1967,6,1967-10-22,25-155,CLE,,CHI,W 24-0,18,111,6.17,1,,1,21,21.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6,0,0,,0
48,1967,7,1967-10-29,25-162,CLE,@,NYG,L 34-38,11,68,6.18,1,,3,59,19.67,0,0,0,,0,0,0,,,,2,62,31.00,0,3,32,10.67,0,1,6,0,0,,0
49,1967,8,1967-11-05,25-169,CLE,@,PIT,W 34-14,15,82,5.47,0,,3,49,16.33,1,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6,0,0,,0
50,1967,9,1967-11-12,25-176,CLE,@,GNB,L 7-55,14,82,5.86,0,,0,0,,0,0,0,,0,0,0,,,,1,27,27.00,0,1,1,1.00,0,0,0,0,0,,0
51,1967,10,1967-11-19,25-183,CLE,,MIN,W 14-10,26,123,4.73,2,,1,0,0.00,0,0,0,,0,0,0,,,,1,23,23.00,0,2,16,8.00,0,2,12,0,0,,0
52,1967,11,1967-11-26,25-190,CLE,,WAS,W 42-37,20,163,8.15,2,,2,44,22.00,0,0,0,,0,0,0,,,,0,0,,0,1,6,6.00,0,2,12,0,0,,0
