
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1970,2,1970-09-27,22-248,STL,,WAS,W 27-17,0,0,,0,2,55,27.50,0
2,1970,3,1970-10-04,22-255,STL,,DAL,W 20-7,0,0,,0,1,30,30.00,0
3,1970,4,1970-10-11,22-262,STL,,NOR,W 24-17,0,0,,0,2,31,15.50,0
4,1970,5,1970-10-18,22-269,STL,@,PHI,W 35-20,0,0,,0,1,32,32.00,0
5,1970,6,1970-10-25,22-276,STL,@,NYG,L 17-35,0,0,,0,2,41,20.50,0
6,1970,7,1970-11-01,22-283,STL,,HOU,W 44-0,2,4,2.00,0,0,0,,0
7,1970,14,1970-12-20,22-332,STL,@,WAS,L 27-28,0,0,,0,2,48,24.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
8,1971,5,1971-10-17,23-268,BAL,@,NYG,W 31-7,0,0,,0,2,44,22.00,0
9,1971,6,1971-10-25,23-276,BAL,@,MIN,L 3-10,0,0,,0,1,37,37.00,0
10,1971,7,1971-10-31,23-282,BAL,,PIT,W 34-21,0,0,,0,3,57,19.00,0
11,1971,8,1971-11-08,23-290,BAL,,RAM,W 24-17,0,0,,0,1,18,18.00,0
12,1971,10,1971-11-21,23-303,BAL,@,MIA,L 14-17,0,0,,0,4,98,24.50,0
13,1971,11,1971-11-28,23-310,BAL,@,OAK,W 37-14,0,0,,0,1,21,21.00,0
14,1971,12,1971-12-05,23-317,BAL,,BUF,W 24-0,2,3,1.50,0,0,0,,0
15,1971,13,1971-12-11,23-323,BAL,,MIA,W 14-3,0,0,,0,2,55,27.50,0
,,,15 Games,,,,,11-4-0,4,7,1.75,0,24,567,23.63,0
