
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1987,3,1987-10-04,24-185,MIA,@,SEA,L 20-24,,1,-7,-7.00,0,2,13,6.50,0,0,0,,0,0,0,,0
2,1987,4,1987-10-11,24-192,MIA,,KAN,W 42-0,,4,24,6.00,0,1,19,19.00,0,0,0,,0,0,0,,0
3,1987,5,1987-10-18,24-199,MIA,@,NYJ,L 31-37,,1,9,9.00,0,3,14,4.67,0,0,0,,0,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
4,1988,1,1988-09-04,25-155,PHI,@,TAM,W 41-14,,0,0,,0,0,0,,0,2,37,18.50,0,1,8,8.00,0
5,1988,2,1988-09-11,25-162,PHI,,CIN,L 24-28,,0,0,,0,0,0,,0,2,33,16.50,0,2,27,13.50,0
6,1988,3,1988-09-18,25-169,PHI,@,WAS,L 10-17,,1,18,18.00,0,0,0,,0,2,36,18.00,0,3,26,8.67,0
7,1988,4,1988-09-25,25-176,PHI,@,MIN,L 21-23,,0,0,,0,0,0,,0,1,18,18.00,0,2,7,3.50,0
8,1988,5,1988-10-02,25-183,PHI,,HOU,W 32-23,,0,0,,0,0,0,,0,1,9,9.00,0,2,7,3.50,0
9,1988,6,1988-10-10,25-191,PHI,,NYG,W 24-13,,0,0,,0,0,0,,0,0,0,,0,3,27,9.00,0
10,1988,7,1988-10-16,25-197,PHI,@,CLE,L 3-19,,0,0,,0,0,0,,0,0,0,,0,2,15,7.50,0
11,1988,8,1988-10-23,25-204,PHI,,DAL,W 24-23,,0,0,,0,0,0,,0,1,8,8.00,0,2,7,3.50,0
12,1988,9,1988-10-30,25-211,PHI,,ATL,L 24-27,,0,0,,0,0,0,,0,0,0,,0,4,2,0.50,0
13,1988,10,1988-11-06,25-218,PHI,,RAM,W 30-24,,0,0,,0,0,0,,0,1,8,8.00,0,1,24,24.00,0
14,1988,11,1988-11-13,25-225,PHI,@,PIT,W 27-26,,0,0,,0,0,0,,0,1,19,19.00,0,2,14,7.00,0
15,1988,12,1988-11-20,25-232,PHI,@,NYG,W 23-17,,0,0,,0,0,0,,0,1,25,25.00,0,1,6,6.00,0
16,1988,13,1988-11-27,25-239,PHI,,PHO,W 31-21,,0,0,,0,0,0,,0,1,15,15.00,0,2,9,4.50,0
17,1988,14,1988-12-04,25-246,PHI,,WAS,L 19-20,,0,0,,0,0,0,,0,1,14,14.00,0,3,24,8.00,0
18,1988,15,1988-12-10,25-252,PHI,@,PHO,W 23-17,,0,0,,0,0,0,,0,3,54,18.00,0,2,23,11.50,0
19,1988,16,1988-12-18,25-260,PHI,@,DAL,W 23-7,,0,0,,0,0,0,,0,0,0,,0,1,7,7.00,0
,,,19 Games,,,,,11-8-0,,7,44,6.29,0,6,46,7.67,0,17,276,16.24,0,33,233,7.06,0
