
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2008,8,2008-11-02,22-084,DEN,,MIA,L 17-26,3,1,0.33,0,0,0,0,,0,0,0,0.0,0,0
2,2008,9,2008-11-06,22-088,DEN,@,CLE,W 34-30,12,68,5.67,1,0,0,0,,0,1,6,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
3,2010,3,2010-09-26,24-047,WAS,@,STL,L 16-30,7,46,6.57,0,1,0,0,,0,0,0,0.0,0,0
4,2010,4,2010-10-03,24-054,WAS,@,PHI,W 17-12,18,70,3.89,1,0,0,0,,0,1,6,0.0,1,0
5,2010,5,2010-10-10,24-061,WAS,,GNB,W 16-13,16,40,2.50,0,7,4,27,6.75,0,0,0,0.0,0,0
6,2010,6,2010-10-17,24-068,WAS,,IND,L 24-27,20,100,5.00,2,1,1,9,9.00,0,2,12,0.0,0,0
7,2010,7,2010-10-24,24-075,WAS,@,CHI,W 17-14,21,125,5.95,0,2,0,0,,0,0,0,0.0,0,0
8,2010,8,2010-10-31,24-082,WAS,@,DET,L 25-37,9,10,1.11,0,4,3,19,6.33,1,1,6,0.0,0,0
9,2010,13,2010-12-12,24-124,WAS,,TAM,L 16-17,24,172,7.17,0,2,2,10,5.00,0,0,0,0.0,0,0
10,2010,14,2010-12-19,24-131,WAS,@,DAL,L 30-33,11,53,4.82,0,6,5,48,9.60,1,1,6,0.0,1,0
11,2010,15,2010-12-26,24-138,WAS,@,JAX,W 20-17,20,65,3.25,1,3,2,4,2.00,0,1,6,0.0,0,0
12,2010,16,2011-01-02,24-145,WAS,,NYG,L 14-17,18,61,3.39,0,1,1,8,8.00,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
13,2011,3,2011-09-26,25-047,WAS,@,DAL,L 16-18,,,,,,,,,,,,,,
14,2011,4,2011-10-02,25-053,WAS,@,STL,W 17-10,19,135,7.11,1,0,0,0,,0,1,6,0.0,0,0
15,2011,5,2011-10-16,25-067,WAS,,PHI,L 13-20,10,22,2.20,0,1,0,0,,0,0,0,0.0,1,0
16,2011,6,2011-10-23,25-074,WAS,@,CAR,L 20-33,2,-5,-2.50,0,0,0,0,,0,0,0,0.0,0,0
17,2011,7,2011-10-30,25-081,WAS,@,BUF,L 0-23,8,14,1.75,0,1,1,6,6.00,0,0,0,0.0,0,0
18,2011,8,2011-11-06,25-088,WAS,,SFO,L 11-19,1,2,2.00,0,1,1,7,7.00,0,0,0,0.0,0,0
19,2011,9,2011-11-13,25-095,WAS,@,MIA,L 9-20,10,20,2.00,0,1,1,4,4.00,0,0,0,0.0,0,0
20,2011,10,2011-11-20,25-102,WAS,,DAL,L 24-27,5,4,0.80,0,3,1,2,2.00,0,0,0,0.0,0,0
21,2011,15,2011-12-24,25-136,WAS,,MIN,L 26-33,4,8,2.00,0,2,2,4,2.00,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
22,2012,14,2012-12-16,26-128,NYG,@,ATL,L 0-34,,,,,0,,,,,,,,,
23,2012,15,2012-12-23,26-135,NYG,@,BAL,L 14-33,,,,,,,,,,,,,,
,,,23 Games,,,,,6-17-0,238,1011,4.25,6,36,24,148,6.17,2,8,48,0.0,3,0
