
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2003,1,2003-09-07,21-280,HOU,@,MIA,W 21-20,,,,,,,,,,0,3,,0
2,2003,2,2003-09-14,21-287,HOU,@,NOR,L 10-31,,,,,,,,,,,,,
3,2003,3,2003-09-21,21-294,HOU,,KAN,L 14-42,7,41,5.86,0,0,0,0,,0,0,0,,0
4,2003,5,2003-10-12,21-315,HOU,@,TEN,L 17-38,5,19,3.80,0,1,1,19,19.00,0,0,0,,0
5,2003,6,2003-10-19,21-322,HOU,,NYJ,L 14-19,1,1,1.00,0,0,0,0,,0,0,0,,0
6,2003,7,2003-10-26,21-329,HOU,@,IND,L 21-30,,,,,,,,,,,,,
7,2003,8,2003-11-02,21-336,HOU,,CAR,W 14-10,1,6,6.00,0,0,0,0,,0,0,0,,0
8,2003,9,2003-11-09,21-343,HOU,@,CIN,L 27-34,1,4,4.00,0,0,0,0,,0,0,0,,0
9,2003,10,2003-11-16,21-350,HOU,@,BUF,W 12-10,0,0,,0,0,0,0,,0,3,32,10.67,0
10,2003,11,2003-11-23,21-357,HOU,,NWE,L 20-23,1,-1,-1.00,0,0,0,0,,0,4,92,23.00,0
11,2003,12,2003-11-30,21-364,HOU,,ATL,W 17-13,2,4,2.00,0,0,0,0,,0,0,0,,0
12,2003,13,2003-12-07,22-006,HOU,@,JAX,L 0-27,18,19,1.06,0,5,1,6,6.00,0,0,0,,0
13,2003,14,2003-12-14,22-013,HOU,@,TAM,L 3-16,2,9,4.50,0,0,0,0,,0,0,0,,0
14,2003,15,2003-12-21,22-020,HOU,,TEN,L 24-27,0,0,,0,0,0,0,,0,1,15,15.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
15,2004,1,2004-09-12,22-286,HOU,,SDG,L 20-27,3,10,3.33,0,1,1,27,27.00,0,0,0,,0
16,2004,4,2004-10-03,22-307,HOU,,OAK,W 30-17,6,22,3.67,0,3,1,3,3.00,0,0,0,,0
17,2004,7,2004-10-31,22-335,HOU,,JAX,W 20-6,,,,,,,,,,,,,
18,2004,8,2004-11-07,22-342,HOU,@,DEN,L 13-31,2,15,7.50,0,3,3,16,5.33,0,0,0,,0
19,2004,11,2004-11-28,22-363,HOU,,TEN,W 31-21,0,0,,0,0,0,0,,0,1,23,23.00,0
20,2004,15,2004-12-26,23-025,HOU,@,JAX,W 21-0,,,,,,,,,,,,,
21,2004,16,2005-01-02,23-032,HOU,,CLE,L 14-22,,,,,0,,,,,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
22,2005,8,2005-11-06,23-340,HOU,@,JAX,L 14-21,0,0,,0,0,0,0,,0,2,46,23.00,0
23,2005,16,2006-01-01,24-031,HOU,@,SFO,L 17-20,0,0,,0,,0,0,,0,0,0,,0
,,,23 Games,,,,,8-15-0,49,149,3.04,0,13,7,71,10.14,0,11,211,19.18,0
