
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
1,1982,1,1982-09-12,22-170,RAI,@,SFO,W 23-17,23,116,5.04,1,,4,64,16.00,0,0,0,,0,0,0,,,,1,6
2,1982,2,1982-09-19,22-177,RAI,@,ATL,W 38-14,12,56,4.67,1,,4,39,9.75,1,1,1,100.00,47,0,0,118.7,47.00,47.00,2,12
3,1982,3,1982-11-22,22-241,RAI,,SDG,W 28-24,18,87,4.83,2,,5,37,7.40,0,0,0,,0,0,0,,,,2,12
4,1982,4,1982-11-28,22-247,RAI,@,CIN,L 17-31,8,0,0.00,0,,6,54,9.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0
5,1982,5,1982-12-05,22-254,RAI,,SEA,W 28-23,24,156,6.50,2,,2,14,7.00,0,0,0,,0,0,0,,,,2,12
6,1982,6,1982-12-12,22-261,RAI,@,KAN,W 21-16,18,47,2.61,0,,1,1,1.00,0,0,0,,0,0,0,,,,0,0
7,1982,7,1982-12-18,22-267,RAI,,RAM,W 37-31,25,93,3.72,3,,8,61,7.63,0,0,0,,0,0,0,,,,3,18
8,1982,8,1982-12-26,22-275,RAI,,DEN,W 27-10,12,16,1.33,0,,5,91,18.20,2,0,2,0.00,0,0,0,39.6,0.00,0.00,2,12
9,1982,9,1983-01-02,22-282,RAI,@,SDG,W 41-34,20,126,6.30,2,,3,40,13.33,0,0,0,,0,0,0,,,,2,12
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
10,1983,1,1983-09-04,23-162,RAI,@,CIN,W 20-10,17,47,2.76,2,,3,19,6.33,0,0,1,0.00,0,0,0,39.6,0.00,0.00,2,12
11,1983,2,1983-09-11,23-169,RAI,,HOU,W 20-6,17,96,5.65,0,,4,29,7.25,0,0,0,,0,0,0,,,,0,0
12,1983,3,1983-09-19,23-177,RAI,,MIA,W 27-14,22,105,4.77,0,,1,10,10.00,0,0,0,,0,0,0,,,,0,0
13,1983,4,1983-09-25,23-183,RAI,@,DEN,W 22-7,15,45,3.00,0,,4,20,5.00,0,0,0,,0,0,0,,,,0,0
14,1983,6,1983-10-09,23-197,RAI,,KAN,W 21-20,21,53,2.52,0,,6,58,9.67,0,2,2,100.00,49,1,0,158.3,24.50,34.50,0,0
15,1983,7,1983-10-16,23-204,RAI,@,SEA,L 36-38,18,86,4.78,0,,5,25,5.00,1,1,1,100.00,19,1,0,158.3,19.00,39.00,1,6
16,1983,8,1983-10-23,23-211,RAI,@,DAL,W 40-38,15,55,3.67,0,,7,67,9.57,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0
17,1983,9,1983-10-30,23-218,RAI,,SEA,L 21-34,13,30,2.31,1,,8,104,13.00,0,0,0,,0,0,0,,,,1,6
18,1983,10,1983-11-06,23-225,RAI,@,KAN,W 28-20,21,64,3.05,1,,3,31,10.33,0,0,0,,0,0,0,,,,1,6
19,1983,11,1983-11-13,23-232,RAI,,DEN,W 22-20,18,84,4.67,1,,6,49,8.17,0,0,1,0.00,0,0,0,39.6,0.00,0.00,1,6
20,1983,12,1983-11-20,23-239,RAI,@,BUF,W 27-24,26,89,3.42,1,,8,68,8.50,0,0,0,,0,0,0,,,,1,6
21,1983,13,1983-11-27,23-246,RAI,,NYG,W 27-12,13,64,4.92,1,,4,19,4.75,0,0,0,,0,0,0,,,,1,6
22,1983,14,1983-12-01,23-250,RAI,@,SDG,W 42-10,16,38,2.38,0,,1,7,7.00,0,1,1,100.00,43,1,0,158.3,43.00,63.00,0,0
23,1983,15,1983-12-11,23-260,RAI,,STL,L 24-34,18,86,4.78,0,,3,35,11.67,1,0,0,,0,0,0,,,,1,6
24,1983,16,1983-12-18,23-267,RAI,,SDG,W 30-14,16,72,4.50,2,,5,49,9.80,0,0,0,,0,0,0,,,,2,12
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
25,1984,1,1984-09-02,24-160,RAI,@,HOU,W 24-14,21,81,3.86,1,,5,38,7.60,0,0,1,0.00,0,0,0,39.6,0.00,0.00,1,6
26,1984,2,1984-09-09,24-167,RAI,,GNB,W 28-7,20,81,4.05,1,,3,13,4.33,0,0,0,,0,0,0,,,,1,6
27,1984,3,1984-09-16,24-174,RAI,@,KAN,W 22-20,22,69,3.14,0,,6,46,7.67,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0
28,1984,4,1984-09-24,24-182,RAI,,SDG,W 33-30,18,47,2.61,3,,6,62,10.33,1,0,0,,0,0,0,,,,4,24
29,1984,5,1984-09-30,24-188,RAI,@,DEN,L 13-16,13,66,5.08,0,,4,44,11.00,0,0,0,,0,0,0,,,,0,0
30,1984,6,1984-10-07,24-195,RAI,,SEA,W 28-14,15,40,2.67,1,,4,173,43.25,1,0,0,,0,0,0,,,,2,12
