
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
1,1960,1,1960-09-10,23-218,DTX,@,LAC,L 20-21,9,62,6.89,1,,1,21,21.00,0,0,0,,0,0,0,,,,0,0,,0,2,3,66.7,,1,0.0,1,8
2,1960,2,1960-09-16,23-224,DTX,@,OAK,W 34-16,13,88,6.77,1,,2,35,17.50,0,0,0,,0,0,0,,,,0,0,,0,4,4,100.0,2,3,66.7,1,16
3,1960,3,1960-09-25,23-233,DTX,,LAC,W 17-0,4,10,2.50,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,,,,,1,0.0,0,0
4,1960,5,1960-10-09,23-247,DTX,,OAK,L 19-20,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,2,50.0,,1,0.0,0,1
5,1960,6,1960-10-16,23-254,DTX,@,HOU,L 10-20,7,34,4.86,0,,1,9,9.00,0,0,0,,0,0,0,,,,0,0,,0,1,1,100.0,1,1,100.0,0,4
6,1960,7,1960-10-30,23-268,DTX,@,DEN,W 17-14,18,50,2.78,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,2,100.0,1,1,100.0,1,11
7,1960,8,1960-11-06,23-275,DTX,@,BUF,W 45-28,8,26,3.25,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,6,6,100.0,1,5,20.0,0,9
8,1960,9,1960-11-13,23-282,DTX,,DEN,W 34-7,6,12,2.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,4,4,100.0,2,3,66.7,0,10
9,1960,10,1960-11-18,23-287,DTX,@,BOS,L 14-42,6,23,3.83,1,,3,22,7.33,0,0,0,,0,0,0,,,,0,0,,0,2,2,100.0,,1,0.0,1,8
10,1960,11,1960-11-24,23-293,DTX,@,NYT,L 35-41,8,18,2.25,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,3,100.0,2,3,66.7,0,9
11,1960,12,1960-12-04,23-303,DTX,,HOU,W 24-0,18,87,4.83,0,,1,22,22.00,0,0,0,,0,0,0,,,,0,0,,0,3,3,100.0,1,3,33.3,0,6
12,1960,13,1960-12-11,23-310,DTX,,BOS,W 34-0,8,29,3.63,0,,2,24,12.00,0,0,0,,0,0,0,,,,0,0,,0,4,4,100.0,2,5,40.0,0,10
13,1960,14,1960-12-18,23-317,DTX,,BUF,W 24-7,10,18,1.80,1,,1,25,25.00,0,0,0,,0,0,0,,,,0,0,,0,3,3,100.0,1,3,33.3,1,12
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
