
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,2006,13,2006-12-10,24-079,BAL,@,KAN,W 20-10,0,0,,0,2,51,25.50,0,2,-2,-1.00,0,0,0
2,2006,14,2006-12-17,24-086,BAL,,CLE,W 27-17,0,0,,0,4,80,20.00,0,5,20,4.00,0,0,0
3,2006,15,2006-12-24,24-093,BAL,@,PIT,W 31-7,0,0,,0,1,24,24.00,0,3,6,2.00,0,0,0
4,2006,16,2006-12-31,24-100,BAL,,BUF,W 19-7,0,0,,0,2,39,19.50,0,3,13,4.33,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
5,2007,5,2007-10-07,25-015,BAL,@,SFO,W 9-7,0,0,,0,1,18,18.00,0,1,3,3.00,0,0,0
6,2007,9,2007-11-11,25-050,BAL,,CIN,L 7-21,0,0,,0,7,112,16.00,0,2,27,13.50,0,0,0
7,2007,10,2007-11-18,25-057,BAL,,CLE,L 30-33,0,0,,0,1,18,18.00,0,2,6,3.00,0,0,0
8,2007,11,2007-11-25,25-064,BAL,@,SDG,L 14-32,0,0,,0,0,0,,0,0,0,,0,0,0
9,2007,12,2007-12-03,25-072,BAL,,NWE,L 24-27,0,0,,0,0,0,,0,0,0,,0,0,0
10,2007,16,2007-12-30,25-099,BAL,,PIT,W 27-21,12,72,6.00,1,0,0,,0,0,0,,0,1,6
,,,10 Games,,,,,6-4-0,12,72,6.00,1,18,342,19.00,0,18,73,4.06,0,1,6
