
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1993,1,1993-09-05,22-005,KAN,@,TAM,W 27-3,,0,0,,0,0,0,,0,1,16,16.00,0
2,1993,2,1993-09-12,22-012,KAN,@,HOU,L 0-30,,0,0,,0,0,0,,0,4,83,20.75,0
3,1993,3,1993-09-20,22-020,KAN,,DEN,W 15-7,,0,0,,0,0,0,,0,1,44,44.00,0
4,1993,4,1993-10-03,22-033,KAN,,RAI,W 24-9,,0,0,,0,0,0,,0,1,44,44.00,0
5,1993,7,1993-10-31,22-061,KAN,@,MIA,L 10-30,,0,0,,0,0,0,,0,2,17,8.50,0
6,1993,8,1993-11-08,22-069,KAN,,GNB,W 23-16,,0,0,,0,0,0,,0,2,33,16.50,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
7,1994,1,1994-09-04,23-004,KAN,@,NOR,W 30-17,0,0,0,,0,1,0,0.00,0,1,18,18.00,0
8,1994,2,1994-09-11,23-011,KAN,,SFO,W 24-17,0,0,0,,0,0,0,,0,3,78,26.00,0
9,1994,5,1994-10-09,23-039,KAN,@,SDG,L 6-20,,0,0,,0,0,0,,0,0,0,,0
10,1994,6,1994-10-17,23-047,KAN,@,DEN,W 31-28,0,0,0,,0,0,0,,0,5,155,31.00,0
11,1994,7,1994-10-23,23-053,KAN,,SEA,W 38-23,0,0,0,,0,0,0,,0,2,40,20.00,0
12,1994,8,1994-10-30,23-060,KAN,@,BUF,L 10-44,0,0,0,,0,0,0,,0,5,96,19.20,0
13,1994,9,1994-11-06,23-067,KAN,,RAI,W 13-3,0,0,0,,0,0,0,,0,2,32,16.00,0
14,1994,10,1994-11-13,23-074,KAN,,SDG,L 13-14,2,2,11,5.50,0,0,0,,0,2,34,17.00,0
15,1994,11,1994-11-20,23-081,KAN,,CLE,W 20-13,0,0,0,,0,0,0,,0,1,19,19.00,0
,,,15 Games,,,,,10-5-0,2,2,11,5.50,0,1,0,0.00,0,32,709,22.16,0
