
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1983,1,1983-09-04,22-341,DEN,@,PIT,W 14-10,0,0,,0,,0,0,,0,,
2,1983,2,1983-09-11,22-348,DEN,@,BAL,W 17-10,0,0,,0,,0,0,,0,,
3,1983,3,1983-09-18,22-355,DEN,,PHI,L 10-13,0,0,,0,,0,0,,0,,
4,1983,4,1983-09-25,22-362,DEN,,RAI,L 7-22,0,0,,0,,0,0,,0,,
5,1983,5,1983-10-02,23-004,DEN,@,CHI,L 14-31,0,0,,0,,0,0,,0,,
6,1983,6,1983-10-09,23-011,DEN,@,HOU,W 26-14,2,13,6.50,0,,0,0,,0,0,0
7,1983,7,1983-10-16,23-018,DEN,,CIN,W 24-17,0,0,,0,,0,0,,0,,
8,1983,8,1983-10-23,23-025,DEN,,SDG,W 14-6,0,0,,0,,0,0,,0,,
9,1983,9,1983-10-30,23-032,DEN,,KAN,W 27-24,0,0,,0,,0,0,,0,,
10,1983,10,1983-11-06,23-039,DEN,@,SEA,L 19-27,0,0,,0,,0,0,,0,,
11,1983,11,1983-11-13,23-046,DEN,@,RAI,L 20-22,0,0,,0,,0,0,,0,,
12,1983,12,1983-11-20,23-053,DEN,,SEA,W 38-27,0,0,,0,,0,0,,0,,
13,1983,13,1983-11-27,23-060,DEN,@,SDG,L 7-31,0,0,,0,,0,0,,0,,
14,1983,14,1983-12-04,23-067,DEN,,CLE,W 27-6,3,15,5.00,0,,2,31,15.50,0,0,0
15,1983,15,1983-12-11,23-074,DEN,,BAL,W 21-19,0,0,,0,,4,79,19.75,1,1,6
16,1983,16,1983-12-18,23-081,DEN,@,KAN,L 17-48,3,24,8.00,0,,1,9,9.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
17,1984,1,1984-09-02,23-340,DEN,,CIN,W 20-17,1,2,2.00,0,,1,10,10.00,0,0,0
18,1984,11,1984-11-11,24-044,DEN,@,SDG,W 16-13,0,0,,0,,0,0,,0,,
19,1984,12,1984-11-18,24-051,DEN,,MIN,W 42-21,4,5,1.25,0,,0,0,,0,0,0
20,1984,13,1984-11-25,24-058,DEN,,SEA,L 24-27,0,0,,0,,1,12,12.00,0,0,0
21,1984,14,1984-12-02,24-065,DEN,@,KAN,L 13-16,0,0,,0,,0,0,,0,,
22,1984,15,1984-12-09,24-072,DEN,,SDG,W 16-13,0,0,,0,,0,0,,0,,
23,1984,16,1984-12-15,24-078,DEN,@,SEA,W 31-14,0,0,,0,,0,0,,0,,
,,,23 Games,,,,,14-9-0,13,59,4.54,0,,9,141,15.67,1,1,6
