
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
28,2013,13,2013-12-08,23-299,WAS,,KAN,L 10-45,*,12,26,46.15,164,1,1,63.6,6.31,5.35,4,29,7.25,0,,0,0,0.0,1,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
29,2014,1,2014-09-07,24-207,WAS,@,HOU,L 6-17,*,29,37,78.38,267,0,0,96.7,7.22,7.22,3,2,0.67,0,,0,0,0.0,0,0
30,2014,2,2014-09-14,24-214,WAS,,JAX,W 41-10,*,2,3,66.67,38,0,0,109.7,12.67,12.67,2,22,11.00,0,,0,0,0.0,0,0
31,2014,9,2014-11-02,24-263,WAS,@,MIN,L 26-29,*,18,28,64.29,251,1,1,90.0,8.96,8.07,7,24,3.43,0,,0,0,0.0,0,0
32,2014,10,2014-11-16,24-277,WAS,,TAM,L 7-27,*,23,32,71.88,207,1,2,73.3,6.47,4.28,6,41,6.83,0,,0,0,0.0,0,0
33,2014,11,2014-11-23,24-284,WAS,@,SFO,L 13-17,*,11,19,57.89,106,0,0,73.6,5.58,5.58,4,11,2.75,0,,0,0,0.0,0,0
34,2014,13,2014-12-07,24-298,WAS,,STL,L 0-24,,3,4,75.00,33,0,0,99.0,8.25,8.25,0,0,,0,,0,0,0.0,0,0
35,2014,14,2014-12-14,24-305,WAS,@,NYG,L 13-24,,18,27,66.67,236,1,0,106.4,8.74,9.48,5,46,9.20,0,,0,0,0.0,0,0
36,2014,15,2014-12-20,24-311,WAS,,PHI,W 27-24,*,16,23,69.57,220,0,1,81.8,9.57,7.61,5,11,2.20,0,,0,0,0.0,0,0
37,2014,16,2014-12-28,24-319,WAS,,DAL,L 17-44,*,27,41,65.85,336,1,2,78.9,8.20,6.49,6,19,3.17,1,,1,6,0.0,0,0
,,,37 Games,,,,,14-23-0,,679,1063,63.88,8097,40,23,90.6,7.62,7.40,244,1480,6.07,8,1,8,50,0.0,2,0
