
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,2007,3,2007-09-23,23-030,PHI,,DET,W 56-21,,0,0,,0,0,0,,,,3,-2,-0.67,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
2,2008,1,2008-09-07,24-014,PHI,,STL,W 38-3,,5,6,83.33,53,0,0,103.5,8.83,8.83,3,-3,-1.00,0,0,0,0.0,0,0
3,2008,3,2008-09-21,24-028,PHI,,PIT,W 15-6,,2,3,66.67,18,0,1,43.1,6.00,-9.00,0,0,,0,0,0,0.0,0,0
4,2008,11,2008-11-23,24-091,PHI,@,BAL,L 7-36,,10,23,43.48,73,0,2,15.3,3.17,-0.74,3,12,4.00,0,0,0,0.0,0,0
5,2008,12,2008-11-27,24-095,PHI,,ARI,W 48-20,,0,0,,0,0,0,,,,3,-3,-1.00,0,0,0,0.0,0,0
6,2008,14,2008-12-15,24-113,PHI,,CLE,W 30-10,,0,2,0.00,0,0,1,0.0,0.00,-22.50,2,-2,-1.00,0,0,0,0.0,0,0
7,2008,16,2008-12-28,24-126,PHI,,DAL,W 44-6,,0,0,,0,0,0,,,,2,-2,-1.00,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
8,2009,1,2009-09-13,25-020,PHI,@,CAR,W 38-10,,7,11,63.64,23,0,0,67.6,2.09,2.09,3,4,1.33,0,0,0,0.0,0,0
9,2009,2,2009-09-20,25-027,PHI,,NOR,L 22-48,*,31,51,60.78,391,2,3,73.2,7.67,5.80,1,-6,-6.00,0,0,0,0.0,0,0
10,2009,3,2009-09-27,25-034,PHI,,KAN,W 34-14,*,24,34,70.59,327,2,0,120.6,9.62,10.79,1,1,1.00,1,1,6,0.0,0,0
11,2009,4,2009-10-11,25-048,PHI,,TAM,W 33-14,,,,,,,,,,,,,,,,,,,
12,2009,12,2009-12-06,25-104,PHI,@,ATL,W 34-7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
13,2010,1,2010-09-12,26-019,PHI,,GNB,L 20-27,*,5,10,50.00,24,0,0,56.2,2.40,2.40,0,0,,0,0,0,0.0,0,0
14,2010,4,2010-10-03,26-040,PHI,,WAS,L 12-17,,22,35,62.86,201,1,1,76.0,5.74,5.03,2,21,10.50,0,0,0,0.0,0,0
15,2010,5,2010-10-10,26-047,PHI,@,SFO,W 27-24,*,21,31,67.74,253,1,0,103.3,8.16,8.81,3,17,5.67,0,0,0,0.0,0,0
16,2010,6,2010-10-17,26-054,PHI,,ATL,W 31-17,*,23,29,79.31,326,3,1,133.6,11.24,11.76,2,1,0.50,0,0,0,0.0,1,0
17,2010,7,2010-10-24,26-061,PHI,@,TEN,L 19-37,*,26,48,54.17,231,1,2,56.9,4.81,3.35,3,18,6.00,0,0,0,0.0,0,0
18,2010,9,2010-11-15,26-083,PHI,@,WAS,W 59-28,,0,0,,0,0,0,,,,1,-1,-1.00,0,0,0,0.0,0,0
19,2010,16,2011-01-02,26-131,PHI,,DAL,L 13-14,*,18,36,50.00,162,1,3,37.0,4.50,1.31,4,9,2.25,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
20,2011,1,2011-09-11,27-018,ARI,,CAR,W 28-21,*,18,27,66.67,309,2,0,130.0,11.44,12.93,4,-1,-0.25,0,0,0,0.0,1,0
21,2011,2,2011-09-18,27-025,ARI,@,WAS,L 21-22,*,17,30,56.67,251,2,1,92.5,8.37,8.20,0,0,,0,0,0,0.0,0,0
22,2011,3,2011-09-25,27-032,ARI,@,SEA,L 10-13,*,25,39,64.10,252,1,2,69.6,6.46,4.67,3,16,5.33,0,0,0,0.0,0,0
23,2011,4,2011-10-02,27-039,ARI,,NYG,L 27-31,*,20,34,58.82,237,0,1,67.9,6.97,5.65,2,1,0.50,0,0,0,0.0,0,0
24,2011,5,2011-10-09,27-046,ARI,@,MIN,L 10-34,*,21,42,50.00,232,0,2,46.9,5.52,3.38,2,10,5.00,0,0,0,0.0,0,0
25,2011,6,2011-10-23,27-060,ARI,,PIT,L 20-32,*,18,34,52.94,272,2,1,86.9,8.00,7.85,2,14,7.00,0,0,0,0.0,0,0
26,2011,7,2011-10-30,27-067,ARI,@,BAL,L 27-30,*,10,21,47.62,153,1,1,68.2,7.29,6.10,1,5,5.00,0,0,0,0.0,0,0
27,2011,12,2011-12-04,27-102,ARI,,DAL,W 19-13,*,16,25,64.00,247,1,0,109.9,9.88,10.68,3,20,6.67,0,0,0,0.0,0,0
28,2011,13,2011-12-11,27-109,ARI,,SFO,W 21-19,*,1,1,100.00,2,0,0,79.2,2.00,2.00,0,0,,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
29,2012,1,2012-09-09,28-016,ARI,,SEA,W 20-16,,6,8,75.00,66,1,0,138.5,8.25,10.75,1,-1,-1.00,0,0,0,0.0,0,0
30,2012,2,2012-09-16,28-023,ARI,@,NWE,W 20-18,*,15,27,55.56,140,1,0,82.3,5.19,5.93,5,17,3.40,1,1,6,0.0,0,0
31,2012,3,2012-09-23,28-030,ARI,,PHI,W 27-6,*,17,24,70.83,222,2,0,127.4,9.25,10.92,4,16,4.00,0,0,0,0.0,0,0
32,2012,4,2012-09-30,28-037,ARI,,MIA,W 24-21,*,29,48,60.42,324,3,2,84.0,6.75,6.13,0,0,,0,0,0,0.0,0,0
33,2012,5,2012-10-04,28-041,ARI,@,STL,L 3-17,*,28,50,56.00,289,0,0,72.8,5.78,5.78,1,2,2.00,0,0,0,0.0,0,0
34,2012,6,2012-10-14,28-051,ARI,,BUF,L 16-19,*,14,26,53.85,128,1,1,64.3,4.92,3.96,5,66,13.20,0,0,0,0.0,0,0
,,,34 Games,,,,,20-14-0,,449,755,59.47,5206,28,25,78.9,6.90,6.15,69,229,3.32,2,2,12,0.0,2,0
