
10,2002,5,2002-10-06,29-089,CLE,,BAL,L 21-26,,13,23,56.52,180,2,2,74.5,7.83,5.65,2,9,4.50,0,0,0
11,2002,16,2002-12-29,29-173,CLE,,ATL,W 24-16,,7,14,50.00,86,1,2,53.6,6.14,1.14,4,-1,-0.25,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
12,2003,1,2003-09-07,30-060,CLE,,IND,L 6-9,*,20,29,68.97,182,0,2,57.0,6.28,3.17,0,0,,0,0,0
13,2003,2,2003-09-14,30-067,CLE,@,BAL,L 13-33,*,17,37,45.95,147,1,2,43.4,3.97,2.08,2,6,3.00,0,0,0
14,2003,3,2003-09-21,30-074,CLE,@,SFO,W 13-12,*,25,38,65.79,222,2,1,87.8,5.84,5.71,2,1,0.50,0,0,0
15,2003,7,2003-10-19,30-102,CLE,,SDG,L 20-26,,11,19,57.89,90,2,0,105.2,4.74,6.84,0,0,,0,0,0
16,2003,8,2003-10-26,30-109,CLE,@,NWE,L 3-9,,15,25,60.00,115,0,1,54.6,4.60,2.80,0,0,,0,0,0
17,2003,9,2003-11-09,30-123,CLE,@,KAN,L 20-41,*,19,27,70.37,149,1,1,80.6,5.52,4.59,1,2,2.00,0,0,0
18,2003,10,2003-11-16,30-130,CLE,,ARI,W 44-6,*,29,35,82.86,392,3,0,141.9,11.20,12.91,3,-2,-0.67,0,0,0
19,2003,11,2003-11-23,30-137,CLE,,PIT,L 6-13,*,25,44,56.82,234,0,2,52.7,5.32,3.27,0,0,,0,0,0
20,2003,12,2003-11-30,30-144,CLE,@,SEA,L 7-34,*,22,31,70.97,186,0,1,72.8,6.00,4.55,0,0,,0,0,0
21,2003,13,2003-12-08,30-152,CLE,,STL,L 20-26,*,10,17,58.82,80,1,2,50.7,4.71,0.59,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
22,2004,9,2004-11-14,31-128,CLE,,PIT,L 10-24,,5,9,55.56,64,1,1,75.5,7.11,4.33,0,0,,0,0,0
23,2004,10,2004-11-21,31-135,CLE,,NYJ,L 7-10,,4,10,40.00,32,0,0,48.7,3.20,3.20,0,0,,0,0,0
24,2004,11,2004-11-28,31-142,CLE,@,CIN,L 48-58,*,30,39,76.92,413,5,2,128.5,10.59,10.85,1,0,0.00,0,0,0
25,2004,16,2005-01-02,31-177,CLE,@,HOU,W 22-14,*,20,29,68.97,228,1,2,75.1,7.86,5.45,2,-2,-1.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
26,2005,2,2005-09-18,32-071,BUF,@,TAM,L 3-19,,2,3,66.67,-1,0,0,70.1,-0.33,-0.33,0,0,,0,0,0
27,2005,4,2005-10-02,32-085,BUF,@,NOR,L 7-19,,3,6,50.00,28,0,0,63.2,4.67,4.67,1,0,0.00,0,0,0
28,2005,5,2005-10-09,32-092,BUF,,MIA,W 20-14,*,20,26,76.92,169,1,0,106.1,6.50,7.27,4,11,2.75,0,0,0
29,2005,6,2005-10-16,32-099,BUF,,NYJ,W 27-17,*,18,26,69.23,172,2,2,80.9,6.62,4.69,3,-2,-0.67,0,0,0
30,2005,7,2005-10-23,32-106,BUF,@,OAK,L 17-38,*,19,27,70.37,159,2,0,110.0,5.89,7.37,1,0,0.00,0,0,0
31,2005,8,2005-10-30,32-113,BUF,@,NWE,L 16-21,*,20,33,60.61,263,1,1,83.3,7.97,7.21,1,-1,-1.00,0,0,0
32,2005,9,2005-11-13,32-127,BUF,,KAN,W 14-3,*,4,6,66.67,25,0,0,75.0,4.17,4.17,1,-7,-7.00,0,0,0
33,2005,14,2005-12-17,32-161,BUF,,DEN,L 17-28,*,22,35,62.86,202,1,0,88.0,5.77,6.34,1,2,2.00,0,0,0
34,2005,15,2005-12-24,32-168,BUF,@,CIN,W 37-27,*,24,31,77.42,308,1,1,105.3,9.94,9.13,2,1,0.50,1,1,6
35,2005,16,2006-01-01,32-176,BUF,@,NYJ,L 26-30,*,23,37,62.16,184,2,4,53.0,4.97,1.19,4,7,1.75,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
36,2007,3,2007-09-23,34-076,MIN,@,KAN,L 10-13,*,14,28,50.00,169,0,0,68.9,6.04,6.04,0,0,,0,0,0
37,2007,4,2007-09-30,34-083,MIN,,GNB,L 16-23,*,21,39,53.85,258,1,1,72.4,6.62,5.97,1,0,0.00,0,0,0
38,2007,7,2007-10-28,34-111,MIN,,PHI,L 16-23,*,7,16,43.75,88,1,0,82.3,5.50,6.75,0,0,,0,0,0
,,,38 Games,,,,,11-27-0,,565,893,63.27,5916,39,38,79.2,6.62,5.58,44,30,0.68,1,1,6
