
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
1,1963,1,1963-09-14,22-132,RAM,,DET,L 2-23,4,21,5.25,0,,0,0,,0,6,12,50.00,72,0,3,29.2,6.00,-5.25,0,0
2,1963,5,1963-10-13,22-161,RAM,,CHI,L 14-52,5,25,5.00,0,,0,0,,0,5,7,71.43,68,0,1,62.5,9.71,3.29,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
3,1964,2,1964-09-19,23-137,RAM,,DET,T 17-17,6,25,4.17,0,,1,7,7.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0
4,1964,3,1964-09-27,23-145,RAM,,MIN,W 22-13,9,61,6.78,0,,3,53,17.67,0,0,0,,0,0,0,,,,0,0
5,1964,4,1964-10-04,23-152,RAM,@,BAL,L 20-35,9,-4,-0.44,0,,4,32,8.00,0,0,0,,0,0,0,,,,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
6,1965,1,1965-09-19,24-137,RAM,@,DET,L 0-20,1,2,2.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0
7,1965,2,1965-09-25,24-143,RAM,,CHI,W 30-28,7,32,4.57,0,,8,82,10.25,1,0,0,,0,0,0,,,,1,6
8,1965,3,1965-10-03,24-151,RAM,,MIN,L 35-38,8,23,2.88,0,,4,61,15.25,1,0,0,,0,0,0,,,,1,6
9,1965,4,1965-10-10,24-158,RAM,@,CHI,L 6-31,3,11,3.67,0,,2,2,1.00,0,0,0,,0,0,0,,,,0,0
10,1965,5,1965-10-17,24-165,RAM,,SFO,L 21-45,1,1,1.00,1,,2,6,3.00,0,0,0,,0,0,0,,,,1,6
11,1965,6,1965-10-24,24-172,RAM,@,BAL,L 20-35,0,0,,0,,1,5,5.00,0,0,0,,0,0,0,,,,0,0
12,1965,7,1965-10-31,24-179,RAM,,DET,L 7-31,0,0,,0,,4,24,6.00,0,1,1,100.00,14,0,0,118.7,14.00,14.00,0,0
13,1965,8,1965-11-07,24-186,RAM,@,MIN,L 13-24,0,0,,0,,1,30,30.00,0,0,0,,0,0,0,,,,0,0
14,1965,9,1965-11-14,24-193,RAM,@,GNB,L 3-6,5,13,2.60,0,,0,0,,0,0,0,,0,0,0,,,,0,0
,,,14 Games,,,,,2-11-1,58,210,3.62,1,,30,302,10.07,2,12,21,57.14,154,0,4,40.7,7.33,-1.24,3,18
