
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1985,5,1985-10-06,21-315,CLE,,NWE,W 24-20,,9,15,60.00,104,0,1,53.2,6.93,3.93,6,-10,-1.67,0,,0,0,,0,0,0
2,1985,6,1985-10-13,21-322,CLE,@,HOU,W 21-6,*,8,19,42.11,208,1,1,78.4,10.95,9.63,2,-2,-1.00,0,,0,0,,0,0,0
3,1985,7,1985-10-20,21-329,CLE,,RAI,L 20-21,*,10,22,45.45,140,1,0,81.6,6.36,7.27,1,10,10.00,0,,0,0,,0,0,0
4,1985,8,1985-10-27,21-336,CLE,,WAS,L 7-14,*,7,17,41.18,84,0,2,17.4,4.94,-0.35,2,-2,-1.00,0,,0,0,,0,0,0
5,1985,9,1985-11-03,21-343,CLE,@,PIT,L 9-10,*,13,19,68.42,96,0,0,80.2,5.05,5.05,4,-11,-2.75,0,,0,0,,0,0,0
6,1985,10,1985-11-10,21-350,CLE,@,CIN,L 10-27,*,16,32,50.00,229,1,2,57.9,7.16,4.97,1,0,0.00,0,,0,0,,0,0,0
7,1985,11,1985-11-17,21-357,CLE,,BUF,W 17-7,*,12,25,48.00,103,1,0,72.6,4.12,4.92,1,-2,-2.00,0,,0,0,,0,0,0
8,1985,12,1985-11-24,21-364,CLE,,CIN,W 24-6,,1,1,100.00,-3,0,0,79.2,-3.00,-3.00,0,0,,0,,0,0,,0,0,0
9,1985,13,1985-12-01,22-006,CLE,@,NYG,W 35-33,*,6,16,37.50,86,0,0,55.7,5.38,5.38,3,-1,-0.33,0,,0,0,,0,0,0
10,1985,14,1985-12-08,22-013,CLE,@,SEA,L 13-31,*,18,31,58.06,249,1,0,94.7,8.03,8.68,0,0,,0,,0,0,,0,0,0
11,1985,15,1985-12-15,22-020,CLE,,HOU,W 28-21,*,14,28,50.00,161,3,0,103.4,5.75,7.89,3,-1,-0.33,1,,0,0,,0,1,6
12,1985,16,1985-12-22,22-027,CLE,@,NYJ,L 10-37,*,10,23,43.48,121,0,1,42.1,5.26,3.30,3,7,2.33,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
13,1986,1,1986-09-07,22-286,CLE,@,CHI,L 31-41,*,23,40,57.50,289,1,1,78.0,7.23,6.60,0,0,,0,,1,1,1.00,0,0,0
14,1986,2,1986-09-14,22-293,CLE,@,HOU,W 23-20,*,11,26,42.31,180,1,0,79.0,6.92,7.69,2,10,5.00,0,,0,0,,0,0,0
15,1986,3,1986-09-18,22-297,CLE,,CIN,L 13-30,*,28,40,70.00,293,0,0,90.9,7.33,7.33,0,0,,0,,0,0,,0,0,0
16,1986,4,1986-09-28,22-307,CLE,,DET,W 24-21,*,17,27,62.96,139,0,0,76.0,5.15,5.15,1,-2,-2.00,0,,0,0,,0,0,0
17,1986,5,1986-10-05,22-314,CLE,@,PIT,W 27-24,*,14,23,60.87,186,1,0,101.0,8.09,8.96,5,-3,-0.60,0,,0,0,,0,0,0
18,1986,6,1986-10-12,22-321,CLE,,KAN,W 20-7,*,22,35,62.86,287,2,1,95.8,8.20,8.06,1,-2,-2.00,0,,0,0,,0,0,0
19,1986,7,1986-10-19,22-328,CLE,,GNB,L 14-17,*,28,36,77.78,222,2,1,99.3,6.17,6.03,1,0,0.00,0,,0,0,,0,0,0
20,1986,8,1986-10-26,22-335,CLE,@,MIN,W 23-20,*,9,18,50.00,101,0,1,44.0,5.61,3.11,1,-1,-1.00,0,,0,0,,0,0,0
21,1986,9,1986-11-02,22-342,CLE,@,IND,W 24-9,*,15,25,60.00,238,3,0,131.3,9.52,11.92,3,-2,-0.67,0,,0,0,,0,0,0
22,1986,10,1986-11-10,22-350,CLE,,MIA,W 26-16,*,32,50,64.00,401,0,0,88.8,8.02,8.02,0,0,,0,,0,0,,0,0,0
23,1986,11,1986-11-16,22-356,CLE,@,RAI,L 14-27,*,15,34,44.12,188,0,2,37.4,5.53,2.88,1,2,2.00,0,,0,0,,0,0,0
24,1986,12,1986-11-23,22-363,CLE,,PIT,W 37-31,*,28,46,60.87,414,2,1,95.7,9.00,8.89,1,-1,-1.00,0,,0,0,,0,0,0
25,1986,13,1986-11-30,23-005,CLE,,HOU,W 13-10,*,16,41,39.02,172,1,3,29.7,4.20,1.39,2,12,6.00,0,,0,0,,0,0,0
26,1986,14,1986-12-07,23-012,CLE,@,BUF,W 21-17,*,18,33,54.55,240,1,0,87.9,7.27,7.88,4,-4,-1.00,0,,0,0,,0,0,0
27,1986,15,1986-12-14,23-019,CLE,@,CIN,W 34-3,*,13,29,44.83,246,1,0,86.3,8.48,9.17,1,-7,-7.00,0,,0,0,,0,0,0
28,1986,16,1986-12-21,23-026,CLE,,SDG,W 47-17,*,21,28,75.00,258,2,0,126.8,9.21,10.64,1,17,17.00,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
29,1987,1,1987-09-13,23-292,CLE,@,NOR,L 21-28,*,28,39,71.79,314,2,1,101.9,8.05,7.92,1,3,3.00,1,,0,0,,0,1,6
30,1987,2,1987-09-20,23-299,CLE,,PIT,W 34-10,*,17,29,58.62,174,2,1,84.6,6.00,5.83,1,3,3.00,0,,0,0,,0,0,0
31,1987,6,1987-10-26,23-335,CLE,,RAM,W 30-17,*,19,30,63.33,223,1,1,83.1,7.43,6.60,2,3,1.50,0,,0,0,,0,0,0
32,1987,7,1987-11-01,23-341,CLE,@,SDG,L 24-27,*,24,42,57.14,298,2,2,75.3,7.10,5.90,1,-1,-1.00,0,,0,0,,0,0,0
33,1987,8,1987-11-08,23-348,CLE,,ATL,W 38-3,*,13,23,56.52,192,2,0,113.0,8.35,10.09,1,7,7.00,0,,0,0,,0,0,0
34,1987,9,1987-11-15,23-355,CLE,,BUF,W 27-21,*,24,34,70.59,346,2,1,110.7,10.18,10.03,3,-2,-0.67,0,,0,0,,0,0,0
35,1987,10,1987-11-22,23-362,CLE,@,HOU,W 40-7,*,15,26,57.69,257,2,0,117.0,9.88,11.42,0,0,,0,,0,0,,0,0,0
36,1987,11,1987-11-29,24-004,CLE,@,SFO,L 24-38,*,26,37,70.27,275,1,1,89.4,7.43,6.76,3,10,3.33,0,,0,0,,0,0,0
37,1987,12,1987-12-06,24-011,CLE,,IND,L 7-9,*,16,35,45.71,178,1,0,70.9,5.09,5.66,1,1,1.00,0,,0,0,,0,0,0
