
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1974,9,1974-11-10,23-061,SDG,@,KAN,W 14-7,,6,15,40.00,120,1,2,51.4,8.00,3.33,1,3,3.00,0
2,1974,11,1974-11-24,23-075,SDG,@,GNB,L 0-34,,8,23,34.78,95,0,1,30.2,4.13,2.17,1,9,9.00,0
3,1974,12,1974-12-01,23-082,SDG,@,NYJ,L 14-27,*,10,23,43.48,147,0,2,28.7,6.39,2.48,1,7,7.00,0
4,1974,13,1974-12-08,23-089,SDG,,CHI,W 28-21,*,9,19,47.37,156,2,1,88.9,8.21,7.95,1,-2,-2.00,0
5,1974,14,1974-12-15,23-096,SDG,,DEN,W 17-0,*,16,29,55.17,201,0,2,48.2,6.93,3.83,2,-1,-0.50,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
6,1975,1,1975-09-21,24-011,SDG,,PIT,L 0-37,,3,5,60.00,26,0,1,34.2,5.20,-3.80,0,0,,0
7,1975,2,1975-09-28,24-018,SDG,@,HOU,L 17-33,,3,8,37.50,59,1,1,64.1,7.38,4.25,0,0,,0
8,1975,5,1975-10-19,24-039,SDG,,KAN,L 10-12,,5,12,41.67,44,1,1,45.1,3.67,1.58,0,0,,0
9,1975,6,1975-10-26,24-046,SDG,@,OAK,L 0-25,*,2,6,33.33,9,0,0,42.4,1.50,1.50,1,1,1.00,0
10,1975,10,1975-11-23,24-074,SDG,@,MIN,L 13-28,*,15,23,65.22,174,2,1,98.8,7.57,7.35,2,22,11.00,0
11,1975,11,1975-11-30,24-081,SDG,@,DEN,L 10-13,*,8,24,33.33,72,0,1,25.0,3.00,1.13,3,13,4.33,0
12,1975,13,1975-12-15,24-096,SDG,,NYJ,W 24-16,,2,5,40.00,23,0,0,54.6,4.60,4.60,2,14,7.00,0
13,1975,14,1975-12-21,24-102,SDG,@,CIN,L 17-47,*,11,27,40.74,118,1,0,66.6,4.37,5.11,3,6,2.00,0
,,,13 Games,,,,,4-9-0,,98,219,44.75,1244,8,13,50.5,5.68,3.74,17,72,4.24,0
