
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1989,7,1989-10-22,26-322,BUF,,NYJ,W 34-3,,0,0,,0,0,0,,,,1,-3,-3.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
2,1991,9,1991-10-27,28-327,PHO,,MIN,L 0-28,,3,5,60.00,29,0,0,76.2,5.80,5.80,0,0,,0
3,1991,11,1991-11-10,28-341,PHO,,NYG,L 14-21,,2,3,66.67,57,1,1,109.7,19.00,10.67,0,0,,0
4,1991,12,1991-11-17,28-348,PHO,@,SFO,L 10-14,*,14,26,53.85,156,1,0,84.8,6.00,6.77,3,9,3.00,0
5,1991,13,1991-11-24,28-355,PHO,,PHI,L 14-34,*,19,39,48.72,193,1,4,32.3,4.95,0.85,4,16,4.00,0
6,1991,14,1991-12-08,29-004,PHO,,WAS,L 14-20,*,11,21,52.38,111,0,2,28.2,5.29,1.00,0,0,,0
7,1991,16,1991-12-22,29-018,PHO,,NOR,L 3-27,,12,24,50.00,128,0,3,26.4,5.33,-0.29,2,-2,-1.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
8,1992,6,1992-10-11,29-312,SEA,@,DAL,L 0-27,,3,10,30.00,33,0,1,1.2,3.30,-1.20,1,0,0.00,0
9,1992,7,1992-10-18,29-319,SEA,,RAI,L 0-19,*,17,41,41.46,238,0,1,50.7,5.80,4.71,3,11,3.67,0
10,1992,8,1992-10-25,29-326,SEA,@,NYG,L 10-23,*,22,32,68.75,130,1,1,73.7,4.06,3.28,1,5,5.00,0
11,1992,9,1992-11-08,29-340,SEA,,WAS,L 3-16,*,9,24,37.50,75,0,2,11.6,3.13,-0.63,1,4,4.00,0
12,1992,10,1992-11-15,29-347,SEA,@,RAI,L 3-20,*,6,12,50.00,65,0,1,31.6,5.42,1.67,1,4,4.00,0
13,1992,12,1992-11-30,29-362,SEA,,DEN,W 16-13,,12,21,57.14,164,1,0,98.1,7.81,8.76,0,0,,0
14,1992,13,1992-12-06,30-002,SEA,@,PIT,L 14-20,*,13,28,46.43,179,2,1,76.3,6.39,6.21,3,16,5.33,0
15,1992,14,1992-12-13,30-009,SEA,,PHI,L 17-20,*,9,31,29.03,66,1,2,23.5,2.13,-0.13,1,4,4.00,0
16,1992,15,1992-12-20,30-016,SEA,@,DEN,L 6-10,*,13,24,54.17,135,0,0,70.7,5.63,5.63,3,27,9.00,0
17,1992,16,1992-12-27,30-023,SEA,,SDG,L 14-31,*,17,32,53.13,222,1,2,59.6,6.94,4.75,2,8,4.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
18,1993,3,1993-09-19,30-289,SEA,@,NWE,W 17-14,,3,5,60.00,39,0,1,45.0,7.80,-1.20,1,-1,-1.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
19,1994,16,1994-12-24,32-020,SEA,@,CLE,L 9-35,,7,11,63.64,80,1,0,115.7,7.27,9.09,1,10,10.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
20,1996,16,1996-12-22,34-018,SEA,@,OAK,W 28-21,*,0,2,0.00,0,0,0,39.6,0.00,0.00,0,0,,0
,,,20 Games,,,,,4-16-0,,192,391,49.10,2100,10,22,50.5,5.37,3.35,28,108,3.86,0
