
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2000,5,2000-10-08,24-198,NOR,@,CHI,W 31-10,,0,0,,0,0,0,,,,3,-2,-0.67,0,0,0,0,,0,0,0
2,2000,9,2000-11-05,24-226,NOR,,SFO,W 31-15,,0,0,,0,0,0,,,,2,-2,-1.00,0,0,0,0,,0,0,0
3,2000,11,2000-11-19,24-240,NOR,,OAK,L 22-31,,14,22,63.64,187,2,1,101.9,8.50,8.27,7,5,0.71,0,0,0,0,,0,0,0
4,2000,12,2000-11-26,24-247,NOR,@,STL,W 31-24,*,17,29,58.62,190,1,2,61.0,6.55,4.14,7,34,4.86,2,0,0,0,,0,2,12
5,2000,13,2000-12-03,24-254,NOR,,DEN,L 23-38,*,30,48,62.50,441,2,2,89.0,9.19,8.15,3,13,4.33,0,0,0,0,,0,0,0
6,2000,14,2000-12-10,24-261,NOR,@,SFO,W 31-27,*,12,29,41.38,203,2,0,88.7,7.00,8.38,11,108,9.82,0,0,0,0,,0,0,0
7,2000,15,2000-12-17,24-268,NOR,,ATL,W 23-7,*,24,35,68.57,285,0,0,93.2,8.14,8.14,5,7,1.40,0,0,0,0,,0,0,0
8,2000,16,2000-12-24,24-275,NOR,,STL,L 21-26,*,16,31,51.61,208,2,1,81.1,6.71,6.55,3,7,2.33,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
9,2001,1,2001-09-09,25-169,NOR,@,BUF,W 24-6,*,18,29,62.07,209,3,0,118.3,7.21,9.28,5,10,2.00,0,0,0,0,,0,0,0
10,2001,2,2001-09-30,25-190,NOR,@,NYG,L 13-21,*,28,54,51.85,291,1,1,66.2,5.39,4.93,4,17,4.25,0,0,0,0,,0,0,0
11,2001,3,2001-10-07,25-197,NOR,,MIN,W 28-15,*,15,30,50.00,210,0,1,59.0,7.00,5.50,6,24,4.00,0,0,0,0,,0,0,0
12,2001,4,2001-10-14,25-204,NOR,@,CAR,W 27-25,*,14,40,35.00,180,2,1,56.2,4.50,4.38,7,49,7.00,0,0,0,0,,0,0,0
13,2001,5,2001-10-21,25-211,NOR,,ATL,L 13-20,*,23,39,58.97,249,1,1,75.7,6.38,5.74,3,12,4.00,0,0,0,0,,0,0,0
14,2001,6,2001-10-28,25-218,NOR,@,STL,W 34-31,*,20,31,64.52,254,3,0,122.2,8.19,10.13,7,1,0.14,0,0,0,0,,0,0,0
15,2001,7,2001-11-04,25-225,NOR,,NYJ,L 9-16,*,12,28,42.86,164,0,2,32.4,5.86,2.64,8,50,6.25,0,1,0,0,,0,0,0
16,2001,8,2001-11-11,25-232,NOR,@,SFO,L 27-28,*,22,37,59.46,347,2,0,108.7,9.38,10.46,4,16,4.00,0,0,0,0,,0,0,0
17,2001,9,2001-11-18,25-239,NOR,,IND,W 34-20,*,19,22,86.36,249,2,0,144.1,11.32,13.14,4,26,6.50,1,0,0,0,,0,1,6
18,2001,10,2001-11-25,25-246,NOR,@,NWE,L 17-34,*,16,39,41.03,307,1,2,56.2,7.87,6.08,7,65,9.29,0,0,0,0,,0,0,0
19,2001,11,2001-12-02,25-253,NOR,,CAR,W 27-23,*,26,40,65.00,330,3,1,105.2,8.25,8.63,5,18,3.60,0,0,0,0,,0,0,0
20,2001,12,2001-12-09,25-260,NOR,@,ATL,W 28-10,*,20,30,66.67,279,1,0,107.5,9.30,9.97,5,19,3.80,0,0,0,0,,0,0,0
21,2001,13,2001-12-17,25-268,NOR,,STL,L 21-34,*,23,40,57.50,269,3,2,82.2,6.73,5.98,3,6,2.00,0,0,0,0,,0,0,0
22,2001,14,2001-12-23,25-274,NOR,@,TAM,L 21-48,*,21,38,55.26,248,3,4,62.1,6.53,3.37,3,15,5.00,0,0,0,0,,0,0,0
23,2001,15,2001-12-30,25-281,NOR,,WAS,L 10-40,*,14,28,50.00,127,1,3,35.0,4.54,0.43,5,24,4.80,0,0,0,0,,0,0,0
24,2001,16,2002-01-06,25-288,NOR,,SFO,L 0-38,*,21,33,63.64,119,0,4,30.6,3.61,-1.85,4,6,1.50,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
25,2002,1,2002-09-08,26-168,NOR,@,TAM,W 26-20,*,24,42,57.14,260,2,1,81.4,6.19,6.07,3,9,3.00,0,0,0,0,,0,0,0
26,2002,2,2002-09-15,26-175,NOR,,GNB,W 35-20,*,16,28,57.14,217,2,2,76.0,7.75,5.96,5,13,2.60,0,0,0,0,,0,0,0
27,2002,3,2002-09-22,26-182,NOR,@,CHI,W 29-23,*,22,34,64.71,233,3,1,101.7,6.85,7.29,7,28,4.00,1,0,0,0,,0,1,6
28,2002,4,2002-09-29,26-189,NOR,@,DET,L 21-26,*,27,48,56.25,269,2,2,68.8,5.60,4.56,4,49,12.25,0,0,0,0,,0,0,0
29,2002,5,2002-10-06,26-196,NOR,,PIT,W 32-29,*,13,23,56.52,205,1,0,100.8,8.91,9.78,3,0,0.00,0,0,0,0,,0,0,0
30,2002,6,2002-10-13,26-203,NOR,@,WAS,W 43-27,*,12,23,52.17,205,3,1,104.2,8.91,9.57,4,-3,-0.75,0,0,0,0,,0,0,0
31,2002,7,2002-10-20,26-210,NOR,,SFO,W 35-27,*,23,35,65.71,254,3,0,115.7,7.26,8.97,4,26,6.50,1,0,0,0,,0,1,6
32,2002,8,2002-10-27,26-217,NOR,,ATL,L 35-37,*,16,35,45.71,192,2,2,58.3,5.49,4.06,6,38,6.33,0,0,0,0,,0,0,0
33,2002,9,2002-11-10,26-231,NOR,@,CAR,W 34-24,*,20,37,54.05,259,1,0,85.3,7.00,7.54,4,26,6.50,0,0,0,0,,0,0,0
34,2002,10,2002-11-17,26-238,NOR,@,ATL,L 17-24,*,20,31,64.52,279,2,1,101.4,9.00,8.84,5,26,5.20,0,0,0,0,,0,0,0
35,2002,11,2002-11-24,26-245,NOR,,CLE,L 15-24,*,23,40,57.50,318,0,3,51.9,7.95,4.58,3,9,3.00,0,0,0,0,,0,0,0
36,2002,12,2002-12-01,26-252,NOR,,TAM,W 23-20,*,9,25,36.00,155,2,0,84.6,6.20,7.80,2,5,2.50,0,0,0,0,,0,0,0
37,2002,13,2002-12-08,26-259,NOR,@,BAL,W 37-25,*,9,25,36.00,123,1,0,65.9,4.92,5.72,3,11,3.67,0,0,0,0,,0,0,0
