
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,2007,12,2007-12-02,22-115,OAK,,DEN,W 34-20,,4,7,57.14,56,0,0,83.0,8.00,8.00,3,4,1.33,0,0,0,0.0,0,0
2,2007,14,2007-12-16,22-129,OAK,,IND,L 14-21,,2,5,40.00,10,0,0,47.9,2.00,2.00,0,0,,0,0,0,0.0,0,0
3,2007,15,2007-12-23,22-136,OAK,@,JAX,L 11-49,,7,23,30.43,83,1,3,17.4,3.61,-1.39,2,0,0.00,0,0,0,0.0,0,0
4,2007,16,2007-12-30,22-143,OAK,,SDG,L 17-30,*,23,31,74.19,224,1,1,91.3,7.23,6.42,0,0,,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
5,2008,1,2008-09-08,23-030,OAK,,DEN,L 14-41,*,17,26,65.38,180,2,0,111.1,6.92,8.46,3,7,2.33,0,0,0,0.0,1,0
6,2008,2,2008-09-14,23-036,OAK,@,KAN,W 23-8,*,6,17,35.29,55,0,0,45.0,3.24,3.24,1,3,3.00,0,0,0,0.0,0,0
7,2008,3,2008-09-21,23-043,OAK,@,BUF,L 23-24,*,9,19,47.37,156,1,0,93.3,8.21,9.26,1,1,1.00,1,1,6,0.0,0,0
8,2008,4,2008-09-28,23-050,OAK,,SDG,L 18-28,*,22,37,59.46,277,1,1,80.6,7.49,6.81,2,4,2.00,0,0,0,0.0,0,0
9,2008,5,2008-10-12,23-064,OAK,@,NOR,L 3-34,*,13,35,37.14,159,0,1,40.1,4.54,3.26,1,11,11.00,0,0,0,0.0,0,0
10,2008,6,2008-10-19,23-071,OAK,,NYJ,W 16-13,*,17,30,56.67,203,1,0,88.6,6.77,7.43,0,0,,0,0,0,0.0,0,0
11,2008,7,2008-10-26,23-078,OAK,@,BAL,L 10-29,*,15,33,45.45,228,1,1,66.2,6.91,6.15,1,13,13.00,0,0,0,0.0,0,0
12,2008,8,2008-11-02,23-085,OAK,,ATL,L 0-24,*,6,19,31.58,31,0,1,19.0,1.63,-0.74,2,46,23.00,0,0,0,0.0,0,0
13,2008,10,2008-11-16,23-099,OAK,@,MIA,L 15-17,*,15,22,68.18,156,0,0,88.4,7.09,7.09,0,0,,0,0,0,0.0,0,0
14,2008,11,2008-11-23,23-106,OAK,@,DEN,W 31-10,*,10,11,90.91,152,1,0,149.1,13.82,15.64,3,3,1.00,0,0,0,0.0,0,0
15,2008,12,2008-11-30,23-113,OAK,,KAN,L 13-20,*,10,28,35.71,132,0,0,51.5,4.71,4.71,2,37,18.50,0,0,0,0.0,0,0
16,2008,13,2008-12-04,23-117,OAK,@,SDG,L 7-34,*,9,13,69.23,68,0,2,42.0,5.23,-1.69,0,0,,0,0,0,0.0,0,0
17,2008,14,2008-12-14,23-127,OAK,,NWE,L 26-49,*,17,32,53.13,242,2,1,85.7,7.56,7.41,0,0,,0,0,0,0.0,0,0
18,2008,15,2008-12-21,23-134,OAK,,HOU,W 27-16,*,18,25,72.00,236,2,0,128.1,9.44,11.04,0,0,,0,0,0,0.0,0,0
19,2008,16,2008-12-28,23-141,OAK,@,TAM,W 31-24,*,14,21,66.67,148,2,1,98.9,7.05,6.81,1,2,2.00,0,0,0,0.0,1,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
20,2009,1,2009-09-14,24-036,OAK,,SDG,L 20-24,*,12,30,40.00,208,1,2,47.6,6.93,4.60,2,6,3.00,0,0,0,0.0,0,0
21,2009,2,2009-09-20,24-042,OAK,@,KAN,W 13-10,*,7,24,29.17,109,0,0,46.0,4.54,4.54,3,-3,-1.00,0,0,0,0.0,0,0
22,2009,3,2009-09-27,24-049,OAK,,DEN,L 3-23,*,12,21,57.14,61,0,2,22.6,2.90,-1.38,3,22,7.33,0,0,0,0.0,0,0
23,2009,4,2009-10-04,24-056,OAK,@,HOU,L 6-29,*,12,33,36.36,128,0,0,48.5,3.88,3.88,0,0,,0,0,0,0.0,0,0
24,2009,5,2009-10-11,24-063,OAK,@,NYG,L 7-44,*,8,13,61.54,100,0,0,85.4,7.69,7.69,2,5,2.50,0,0,0,0.0,0,0
25,2009,6,2009-10-18,24-070,OAK,,PHI,W 13-9,*,17,28,60.71,224,1,2,68.2,8.00,5.50,5,8,1.60,0,0,0,0.0,0,0
26,2009,7,2009-10-25,24-077,OAK,,NYJ,L 0-38,*,6,11,54.55,61,0,2,31.1,5.55,-2.64,0,0,,0,0,0,0.0,0,0
27,2009,8,2009-11-01,24-084,OAK,@,SDG,L 16-24,*,14,22,63.64,109,0,1,56.8,4.95,2.91,1,1,1.00,0,0,0,0.0,0,0
28,2009,9,2009-11-15,24-098,OAK,,KAN,L 10-16,*,8,23,34.78,64,0,0,43.6,2.78,2.78,0,0,,0,0,0,0.0,0,0
29,2009,13,2009-12-13,24-126,OAK,,WAS,L 13-34,,10,16,62.50,74,0,1,47.4,4.63,1.81,0,0,,0,0,0,0.0,0,0
30,2009,14,2009-12-20,24-133,OAK,@,DEN,W 20-19,,5,11,45.45,47,1,0,88.1,4.27,6.09,0,0,,0,0,0,0.0,0,0
31,2009,16,2010-01-03,24-147,OAK,,BAL,L 13-21,,9,14,64.29,102,0,1,56.3,7.29,4.07,2,5,2.50,0,0,0,0.0,0,0
,,,31 Games,,,,,9-22-0,,354,680,52.06,4083,18,23,65.2,6.00,5.01,40,175,4.38,1,1,6,0.0,2,0
