
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck
1,1976,1,1976-09-12,24-216,DAL,,PHI,W 27-7,,5,7,71.43,25,0,0,76.5,3.57,3.57,0,0,,0,,0,0,,0,0,0,3,129,43.00,0
2,1976,2,1976-09-19,24-223,DAL,@,NOR,W 24-6,,0,0,,0,0,0,,,,1,-1,-1.00,0,,0,0,,0,0,0,3,108,36.00,0
3,1976,3,1976-09-26,24-230,DAL,,BAL,W 30-27,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,4,149,37.25,0
4,1976,4,1976-10-03,24-237,DAL,@,SEA,W 28-13,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,1,0,0.00,0
5,1976,5,1976-10-10,24-244,DAL,@,NYG,W 24-14,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,3,146,48.67,1
6,1976,6,1976-10-17,24-251,DAL,@,STL,L 17-21,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,6,262,43.67,0
7,1976,7,1976-10-24,24-258,DAL,,CHI,W 31-21,,7,10,70.00,145,2,2,112.5,14.50,9.50,3,13,4.33,0,,0,0,,0,0,0,4,149,37.25,0
8,1976,8,1976-10-31,24-265,DAL,@,WAS,W 20-7,,0,2,0.00,0,0,0,39.6,0.00,0.00,1,-3,-3.00,0,,0,0,,0,0,0,7,243,34.71,0
9,1976,9,1976-11-07,24-272,DAL,,NYG,W 9-3,,0,0,,0,0,0,,,,1,8,8.00,0,,0,0,,0,0,0,3,109,36.33,1
10,1976,10,1976-11-15,24-280,DAL,,BUF,W 17-10,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,9,372,41.33,0
11,1976,11,1976-11-21,24-286,DAL,@,ATL,L 10-17,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,6,221,36.83,0
12,1976,12,1976-11-25,24-290,DAL,,STL,W 19-14,,1,1,100.00,43,0,0,118.7,43.00,43.00,0,0,,0,,0,0,,0,0,0,5,183,36.60,0
13,1976,13,1976-12-05,24-300,DAL,@,PHI,W 26-7,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,8,317,39.63,0
14,1976,14,1976-12-12,24-307,DAL,,WAS,L 14-27,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,8,302,37.75,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Punting,Punting,Punting,Punting
