
25,2003,13,2003-12-07,27-164,NYJ,@,BUF,L 6-17,*,15,29,51.72,155,0,1,53.1,5.34,3.79,1,4,4.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
26,2003,14,2003-12-14,27-171,NYJ,,PIT,W 6-0,*,15,25,60.00,144,0,0,76.1,5.76,5.76,5,-1,-0.20,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
27,2003,15,2003-12-20,27-177,NYJ,,NWE,L 16-21,*,24,43,55.81,229,0,5,31.2,5.33,0.09,4,20,5.00,2,0,0,0,,0,2,12,0.0,0,0,0,0,,0
28,2003,16,2003-12-28,27-185,NYJ,@,MIA,L 21-23,*,22,28,78.57,221,1,0,111.5,7.89,8.61,0,0,,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast,Pnt,Yds,Y/P,Blck
29,2004,1,2004-09-12,28-078,NYJ,,CIN,W 31-24,*,20,27,74.07,224,2,0,123.1,8.30,9.78,2,-2,-1.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
30,2004,2,2004-09-19,28-085,NYJ,@,SDG,W 34-28,*,22,29,75.86,258,2,0,125.4,8.90,10.28,2,1,0.50,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
31,2004,3,2004-10-03,28-099,NYJ,@,MIA,W 17-9,*,14,24,58.33,143,0,1,58.2,5.96,4.08,6,3,0.50,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
32,2004,4,2004-10-10,28-106,NYJ,,BUF,W 16-14,*,31,42,73.81,304,1,1,91.8,7.24,6.64,0,0,,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
33,2004,5,2004-10-17,28-113,NYJ,,SFO,W 22-14,*,20,30,66.67,222,0,0,88.5,7.40,7.40,4,18,4.50,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
34,2004,6,2004-10-24,28-120,NYJ,@,NWE,L 7-13,*,19,30,63.33,162,0,0,77.4,5.40,5.40,3,15,5.00,1,0,0,0,,0,1,6,0.0,0,0,0,0,,0
35,2004,7,2004-11-01,28-128,NYJ,,MIA,W 41-14,*,11,19,57.89,189,3,0,131.4,9.95,13.11,2,22,11.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
36,2004,8,2004-11-07,28-134,NYJ,@,BUF,L 17-22,*,7,15,46.67,141,1,1,74.6,9.40,7.73,2,14,7.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
37,2004,12,2004-12-05,28-162,NYJ,,HOU,W 29-7,*,20,27,74.07,155,2,1,97.0,5.74,5.56,2,16,8.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
38,2004,13,2004-12-12,28-169,NYJ,@,PIT,L 6-17,*,17,31,54.84,189,0,3,33.6,6.10,1.74,4,16,4.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
39,2004,14,2004-12-19,28-176,NYJ,,SEA,W 37-14,*,18,24,75.00,253,3,0,148.1,10.54,13.04,1,-1,-1.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
40,2004,15,2004-12-26,28-183,NYJ,,NWE,L 7-23,*,22,36,61.11,252,1,2,68.3,7.00,5.06,3,7,2.33,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
41,2004,16,2005-01-02,28-190,NYJ,@,STL,L 29-32,*,21,36,58.33,181,1,0,80.9,5.03,5.58,3,17,5.67,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast,Pnt,Yds,Y/P,Blck
42,2005,1,2005-09-11,29-077,NYJ,@,KAN,L 7-27,*,21,34,61.76,264,0,1,73.7,7.76,6.44,2,0,0.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
43,2005,2,2005-09-18,29-084,NYJ,,MIA,W 17-7,*,19,30,63.33,190,2,0,103.5,6.33,7.67,1,12,12.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
44,2005,3,2005-09-25,29-091,NYJ,,JAX,L 20-26,*,9,19,47.37,76,0,2,18.6,4.00,-0.74,3,15,5.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast,Pnt,Yds,Y/P,Blck
45,2006,1,2006-09-10,30-076,NYJ,@,TEN,W 23-16,*,24,33,72.73,319,2,0,123.2,9.67,10.88,2,7,3.50,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
46,2006,2,2006-09-17,30-083,NYJ,,NWE,L 17-24,*,22,37,59.46,306,2,1,92.8,8.27,8.14,2,2,1.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
47,2006,3,2006-09-24,30-090,NYJ,@,BUF,W 28-20,*,19,29,65.52,183,1,0,94.5,6.31,7.00,3,8,2.67,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
48,2006,4,2006-10-01,30-097,NYJ,,IND,L 28-31,*,17,23,73.91,207,1,1,97.6,9.00,7.91,1,5,5.00,0,1,0,7,,0,0,0,0.0,0,0,0,0,,0
49,2006,5,2006-10-08,30-104,NYJ,@,JAX,L 0-41,*,10,17,58.82,71,0,3,28.9,4.18,-3.76,2,17,8.50,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
50,2006,6,2006-10-15,30-111,NYJ,,MIA,W 20-17,*,17,29,58.62,175,2,0,99.1,6.03,7.41,1,-1,-1.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
51,2006,7,2006-10-22,30-118,NYJ,,DET,W 31-24,*,16,22,72.73,189,1,1,94.7,8.59,7.45,5,2,0.40,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
52,2006,8,2006-10-29,30-125,NYJ,@,CLE,L 13-20,*,11,28,39.29,108,0,2,21.1,3.86,0.64,3,9,3.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
53,2006,9,2006-11-12,30-139,NYJ,@,NWE,W 17-14,*,22,33,66.67,168,1,1,76.3,5.09,4.33,2,4,2.00,0,0,0,0,,0,0,0,0.0,0,0,1,29,29.00,0
54,2006,10,2006-11-19,30-146,NYJ,,CHI,L 0-10,*,19,35,54.29,162,0,2,42.8,4.63,2.06,0,0,,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
55,2006,11,2006-11-26,30-153,NYJ,,HOU,W 26-11,*,24,31,77.42,286,1,0,115.8,9.23,9.87,1,2,2.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
56,2006,12,2006-12-03,30-160,NYJ,@,GNB,W 38-10,*,25,35,71.43,263,2,2,88.2,7.51,6.09,0,0,,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
57,2006,13,2006-12-10,30-167,NYJ,,BUF,L 13-31,*,22,35,62.86,182,1,2,61.8,5.20,3.20,3,17,5.67,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
58,2006,14,2006-12-17,30-174,NYJ,@,MIN,W 26-13,*,29,39,74.36,339,1,1,98.1,8.69,8.05,3,11,3.67,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
59,2006,15,2006-12-25,30-182,NYJ,@,MIA,W 13-10,*,14,29,48.28,237,1,0,87.9,8.17,8.86,4,26,6.50,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
60,2006,16,2006-12-31,30-188,NYJ,,OAK,W 23-3,*,22,30,73.33,157,1,0,96.1,5.23,5.90,3,0,0.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast,Pnt,Yds,Y/P,Blck
61,2007,1,2007-09-09,31-075,NYJ,,NWE,L 14-38,*,16,21,76.19,167,2,0,130.5,7.95,9.86,1,3,3.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
62,2007,3,2007-09-23,31-089,NYJ,,MIA,W 31-28,*,15,22,68.18,124,2,0,112.7,5.64,7.45,4,-1,-0.25,1,0,0,0,,0,1,6,0.0,0,0,0,0,,0
63,2007,4,2007-09-30,31-096,NYJ,@,BUF,L 14-17,*,32,39,82.05,291,1,2,84.9,7.46,5.67,1,1,1.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
64,2007,5,2007-10-07,31-103,NYJ,@,NYG,L 24-35,*,21,36,58.33,229,1,3,51.7,6.36,3.17,2,6,3.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
65,2007,6,2007-10-14,31-110,NYJ,,PHI,L 9-16,*,11,21,52.38,128,0,1,51.3,6.10,3.95,4,2,0.50,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
66,2007,7,2007-10-21,31-117,NYJ,@,CIN,L 31-38,*,20,31,64.52,272,3,1,111.2,8.77,9.26,3,7,2.33,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
67,2007,8,2007-10-28,31-124,NYJ,,BUF,L 3-13,*,13,20,65.00,106,0,0,78.3,5.30,5.30,2,5,2.50,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
68,2007,14,2007-12-16,31-173,NYJ,@,NWE,L 10-20,,25,38,65.79,184,0,0,77.1,4.84,4.84,1,4,4.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
69,2007,15,2007-12-23,31-180,NYJ,@,TEN,L 6-10,*,26,32,81.25,264,1,2,85.4,8.25,6.06,2,5,2.50,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast,Pnt,Yds,Y/P,Blck
70,2008,1,2008-09-07,32-073,MIA,,NYJ,L 14-20,*,26,43,60.47,251,2,1,82.6,5.84,5.72,0,0,,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
71,2008,2,2008-09-14,32-080,MIA,@,ARI,L 10-31,*,10,20,50.00,112,0,0,67.1,5.60,5.60,1,6,6.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
72,2008,3,2008-09-21,32-087,MIA,@,NWE,W 38-13,*,17,20,85.00,226,0,0,113.7,11.30,11.30,0,0,,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
73,2008,4,2008-10-05,32-101,MIA,,SDG,W 17-10,*,22,29,75.86,228,1,0,109.6,7.86,8.55,3,3,1.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
74,2008,5,2008-10-12,32-108,MIA,@,HOU,L 28-29,*,19,25,76.00,284,2,1,122.7,11.36,11.16,0,0,,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
75,2008,6,2008-10-19,32-115,MIA,,BAL,L 13-27,*,24,35,68.57,295,1,1,92.0,8.43,7.71,4,25,6.25,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
76,2008,7,2008-10-26,32-122,MIA,,BUF,W 25-16,*,22,30,73.33,314,1,0,117.9,10.47,11.13,4,-5,-1.25,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
77,2008,8,2008-11-02,32-129,MIA,@,DEN,W 26-17,*,23,40,57.50,281,0,1,68.9,7.03,5.90,2,-1,-0.50,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
78,2008,9,2008-11-09,32-136,MIA,,SEA,W 21-19,*,22,36,61.11,209,1,1,74.9,5.81,5.11,2,1,0.50,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
79,2008,10,2008-11-16,32-143,MIA,,OAK,W 17-15,*,16,22,72.73,174,0,0,95.6,7.91,7.91,1,7,7.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
80,2008,11,2008-11-23,32-150,MIA,,NWE,L 28-48,*,24,41,58.54,341,3,1,99.7,8.32,8.68,1,7,7.00,1,0,0,0,,0,1,6,0.0,0,0,0,0,,0
81,2008,12,2008-11-30,32-157,MIA,@,STL,W 16-12,*,13,23,56.52,166,0,0,79.3,7.22,7.22,3,15,5.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
82,2008,13,2008-12-07,32-164,MIA,@,BUF,W 16-3,*,23,29,79.31,181,1,0,104.2,6.24,6.93,3,0,0.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
83,2008,14,2008-12-14,32-171,MIA,,SFO,W 14-9,*,12,19,63.16,156,2,0,124.0,8.21,10.32,3,4,1.33,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
84,2008,15,2008-12-21,32-178,MIA,@,KAN,W 38-31,*,26,34,76.47,235,3,1,111.8,6.91,7.35,2,-2,-1.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
85,2008,16,2008-12-28,32-185,MIA,@,NYJ,W 24-17,*,22,30,73.33,200,2,0,113.2,6.67,8.00,1,2,2.00,0,0,0,0,,0,0,0,0.0,1,0,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast,Pnt,Yds,Y/P,Blck
86,2009,1,2009-09-13,33-079,MIA,@,ATL,L 7-19,*,21,29,72.41,176,1,1,84.8,6.07,5.21,0,0,,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
87,2009,2,2009-09-21,33-087,MIA,,IND,L 23-27,*,22,33,66.67,183,0,1,68.1,5.55,4.18,1,4,4.00,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
88,2009,3,2009-09-27,33-093,MIA,@,SDG,L 13-23,*,8,12,66.67,54,0,0,76.4,4.50,4.50,2,3,1.50,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast,Pnt,Yds,Y/P,Blck
89,2010,9,2010-11-14,34-141,MIA,,TEN,W 29-17,*,1,2,50.00,19,0,0,83.3,9.50,9.50,0,0,,0,0,0,0,,0,0,0,0.0,0,0,0,0,,0
,,,89 Games,,,,,44-45-0,,1632,2471,66.05,17823,102,64,90.1,7.21,6.87,180,465,2.58,7,1,0,7,,0,7,42,0.0,1,0,1,29,29.00,0
