
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1980,14,1980-12-07,25-322,KAN,,DEN,W 31-14,*,12,18,66.67,142,2,1,104.4,7.89,7.61,4,6,1.50,0,,0,0,,0,0,0
2,1980,15,1980-12-14,25-329,KAN,@,PIT,L 16-21,*,8,23,34.78,84,0,1,28.2,3.65,1.70,3,2,0.67,0,,0,0,,0,0,0
3,1980,16,1980-12-21,25-336,KAN,@,BAL,W 38-28,*,17,28,60.71,316,3,0,135.4,11.29,13.43,1,0,0.00,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
4,1981,1,1981-09-06,26-229,KAN,@,PIT,W 37-33,*,14,26,53.85,242,2,1,95.4,9.31,9.12,2,-8,-4.00,0,,0,0,,0,0,0
5,1981,2,1981-09-13,26-236,KAN,,TAM,W 19-10,*,12,25,48.00,99,0,0,58.6,3.96,3.96,5,24,4.80,0,,0,0,,0,0,0
6,1981,3,1981-09-20,26-243,KAN,,SDG,L 31-42,*,22,41,53.66,303,1,5,46.1,7.39,2.39,0,0,,0,,0,0,,0,0,0
7,1981,4,1981-09-27,26-250,KAN,@,SEA,W 20-14,*,16,25,64.00,239,0,0,95.2,9.56,9.56,2,3,1.50,1,,0,0,,0,1,6
8,1981,5,1981-10-04,26-257,KAN,@,NWE,L 17-33,*,9,20,45.00,108,0,3,22.5,5.40,-1.35,2,25,12.50,0,,0,0,,0,0,0
9,1981,6,1981-10-11,26-264,KAN,,OAK,W 27-0,*,15,23,65.22,287,2,0,137.4,12.48,14.22,1,2,2.00,0,,0,0,,0,0,0
10,1981,7,1981-10-18,26-271,KAN,,DEN,W 28-14,*,6,12,50.00,100,1,2,66.7,8.33,2.50,4,-8,-2.00,0,,0,0,,0,0,0
11,1981,8,1981-10-25,26-278,KAN,@,OAK,W 28-17,*,8,25,32.00,132,0,3,11.2,5.28,-0.12,1,0,0.00,0,,0,0,,0,0,0
12,1981,9,1981-11-01,26-285,KAN,@,SDG,L 20-22,*,13,22,59.09,190,1,0,102.5,8.64,9.55,3,14,4.67,0,,0,0,,0,0,0
13,1981,10,1981-11-08,26-292,KAN,,CHI,L 13-16,*,5,14,35.71,25,0,0,44.3,1.79,1.79,2,24,12.00,0,,0,0,,0,0,0
14,1981,11,1981-11-15,26-299,KAN,,HOU,W 23-10,*,6,11,54.55,39,0,0,62.3,3.55,3.55,1,4,4.00,0,,0,0,,0,0,0
15,1981,12,1981-11-22,26-306,KAN,,SEA,W 40-13,*,17,22,77.27,181,2,0,131.1,8.23,10.05,1,9,9.00,0,,0,0,,0,0,0
16,1981,13,1981-11-26,26-310,KAN,@,DET,L 10-27,*,4,8,50.00,38,0,2,24.0,4.75,-6.50,0,0,,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
17,1982,1,1982-09-12,27-235,KAN,@,BUF,L 9-14,*,14,30,46.67,149,0,1,47.8,4.97,3.47,1,4,4.00,0,,0,0,,0,0,0
18,1982,2,1982-09-19,27-242,KAN,,SDG,W 19-12,*,22,30,73.33,203,0,1,77.5,6.77,5.27,7,11,1.57,0,,0,0,,0,0,0
19,1982,3,1982-11-21,27-305,KAN,@,NOR,L 17-27,*,6,11,54.55,114,1,1,83.1,10.36,8.09,0,0,,0,,0,0,,0,0,0
20,1982,6,1982-12-12,27-326,KAN,,RAI,L 16-21,,9,15,60.00,134,0,0,89.3,8.93,8.93,0,0,,0,,0,0,,0,0,0
21,1982,7,1982-12-19,27-333,KAN,@,DEN,W 37-16,*,12,26,46.15,188,2,1,80.3,7.23,7.04,1,0,0.00,0,,0,0,,0,0,0
22,1982,8,1982-12-26,27-340,KAN,,SFO,L 13-26,*,14,30,46.67,181,1,1,63.3,6.03,5.20,3,13,4.33,0,,0,0,,0,0,0
23,1982,9,1983-01-02,27-347,KAN,,NYJ,W 37-13,*,18,27,66.67,223,3,1,113.7,8.26,8.81,1,12,12.00,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
24,1983,1,1983-09-04,28-227,KAN,,SEA,W 17-13,*,19,32,59.38,247,1,0,94.1,7.72,8.34,1,11,11.00,0,,0,0,,0,0,0
25,1983,2,1983-09-12,28-235,KAN,,SDG,L 14-17,*,23,30,76.67,188,1,1,89.3,6.27,5.43,1,6,6.00,0,,0,0,,0,0,0
26,1983,3,1983-09-18,28-241,KAN,@,WAS,L 12-27,*,20,46,43.48,330,0,2,50.1,7.17,5.22,1,0,0.00,0,,0,0,,0,0,0
27,1983,4,1983-09-25,28-248,KAN,@,MIA,L 6-14,*,10,22,45.45,105,0,4,20.3,4.77,-3.41,1,0,0.00,0,,0,0,,0,0,0
28,1983,5,1983-10-02,28-255,KAN,,STL,W 38-14,*,17,32,53.13,173,1,1,66.3,5.41,4.63,1,8,8.00,0,,0,0,,0,0,0
29,1983,6,1983-10-09,28-262,KAN,@,RAI,L 20-21,*,25,45,55.56,272,1,0,81.0,6.04,6.49,3,3,1.00,0,,0,0,,0,0,0
30,1983,7,1983-10-16,28-269,KAN,,NYG,W 38-17,*,25,36,69.44,342,4,1,125.0,9.50,10.47,1,0,0.00,0,,0,0,,0,0,0
31,1983,8,1983-10-23,28-276,KAN,@,HOU,W 13-10,*,25,43,58.14,264,1,0,83.9,6.14,6.60,0,0,,0,,0,0,,0,0,0
32,1983,9,1983-10-30,28-283,KAN,@,DEN,L 24-27,*,27,52,51.92,365,1,2,65.0,7.02,5.67,1,9,9.00,0,,0,0,,0,0,0
33,1983,10,1983-11-06,28-290,KAN,,RAI,L 20-28,*,24,45,53.33,292,1,2,62.5,6.49,4.93,1,0,0.00,0,,0,0,,0,0,0
34,1983,11,1983-11-13,28-297,KAN,,CIN,W 20-15,*,23,34,67.65,244,1,0,98.2,7.18,7.76,2,4,2.00,1,,0,0,,0,1,6
35,1983,12,1983-11-20,28-304,KAN,@,DAL,L 21-41,*,23,40,57.50,337,2,2,80.9,8.43,7.18,1,2,2.00,0,,0,0,,0,0,0
