
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1968,1,1968-09-08,22-278,BOS,@,BUF,W 16-7,,0,0,,0,0,0,,,,1,-12,-12.00,0
2,1968,2,1968-09-22,22-292,BOS,,NYJ,L 31-47,,3,7,42.86,73,0,0,81.2,10.43,10.43,0,0,,0
3,1968,4,1968-10-06,22-306,BOS,@,OAK,L 10-41,,1,2,50.00,21,0,1,47.9,10.50,-12.00,2,6,3.00,0
4,1968,5,1968-10-13,22-313,BOS,,HOU,L 0-16,,1,5,20.00,13,0,0,39.6,2.60,2.60,0,0,,0
5,1968,7,1968-10-27,22-327,BOS,@,NYJ,L 14-48,,4,8,50.00,146,2,0,135.4,18.25,23.25,0,0,,0
6,1968,8,1968-11-03,22-334,BOS,,DEN,L 14-35,*,11,32,34.38,119,1,4,17.1,3.72,-1.28,1,4,4.00,0
7,1968,9,1968-11-10,22-341,BOS,,SDG,L 17-27,*,12,36,33.33,107,1,3,16.9,2.97,-0.22,3,10,3.33,0
8,1968,10,1968-11-17,22-348,BOS,@,KAN,L 17-31,*,21,48,43.75,212,2,2,53.5,4.42,3.38,4,12,3.00,0
9,1968,11,1968-11-24,22-355,BOS,,MIA,L 10-34,*,12,27,44.44,228,1,2,55.8,8.44,5.85,3,33,11.00,0
10,1968,12,1968-12-01,22-362,BOS,,CIN,W 33-14,*,12,25,48.00,142,3,1,88.7,5.68,6.28,3,10,3.33,0
11,1968,13,1968-12-08,23-003,BOS,@,MIA,L 7-38,*,6,16,37.50,46,0,2,6.2,2.88,-2.75,5,15,3.00,0
12,1968,14,1968-12-15,23-010,BOS,@,HOU,L 17-45,*,7,20,35.00,92,2,1,62.9,4.60,4.35,3,2,0.67,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
13,1969,14,1969-12-14,24-009,BUF,@,SDG,L 6-45,,2,2,100.00,20,1,0,147.9,10.00,20.00,2,14,7.00,0
,,,13 Games,,,,,2-11-0,,92,228,40.35,1219,13,16,47.8,5.35,3.33,27,94,3.48,0
