
13,2006,9,2006-11-12,26-098,SEA,,STL,W 24-22,*,15,23,65.22,161,2,0,114.6,7.00,8.74,2,30,15.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2006,10,2006-11-19,26-105,SEA,@,SFO,L 14-20,*,19,31,61.29,252,2,3,69.0,8.13,5.06,2,21,10.50,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
15,2006,14,2006-12-14,26-130,SEA,,SFO,L 14-24,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2006,15,2006-12-24,26-140,SEA,,SDG,L 17-20,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
17,2007,4,2007-09-30,27-055,SEA,@,SFO,W 23-3,,0,1,0.00,0,0,0,39.6,0.00,0.00,1,-1,-1.00,0,1,1,18,18.00,0,0,0,,0,0,0,0.0,0,0
18,2007,5,2007-10-07,27-062,SEA,@,PIT,L 0-21,,1,3,33.33,6,0,0,42.4,2.00,2.00,1,11,11.00,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2007,6,2007-10-14,27-069,SEA,,NOR,L 17-28,,0,0,,0,0,0,,,,0,0,,0,1,1,29,29.00,0,0,0,,0,0,0,0.0,0,0
20,2007,7,2007-10-21,27-076,SEA,,STL,W 33-6,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2007,9,2007-11-12,27-098,SEA,,SFO,W 24-0,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2007,10,2007-11-18,27-104,SEA,,CHI,W 30-23,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2007,13,2007-12-09,27-125,SEA,,ARI,W 42-21,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,,0,0,0,0.0,0,0
24,2007,14,2007-12-16,27-132,SEA,@,CAR,L 10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2007,15,2007-12-23,27-139,SEA,,BAL,W 27-6,,1,2,50.00,3,0,0,56.2,1.50,1.50,1,5,5.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
26,2007,16,2007-12-30,27-146,SEA,@,ATL,L 41-44,,17,22,77.27,206,2,1,116.9,9.36,9.14,1,2,2.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
27,2008,1,2008-09-07,28-032,SEA,@,BUF,L 10-34,,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0
28,2008,4,2008-10-05,28-060,SEA,@,NYG,L 6-44,,3,6,50.00,20,0,0,57.6,3.33,3.33,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
29,2008,6,2008-10-19,28-074,SEA,@,TAM,L 10-20,*,12,23,52.17,73,1,1,55.2,3.17,2.09,2,6,3.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
30,2008,7,2008-10-26,28-081,SEA,@,SFO,W 34-13,*,15,25,60.00,222,2,0,115.7,8.88,10.48,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
31,2008,8,2008-11-02,28-088,SEA,,PHI,L 7-26,*,13,29,44.83,169,1,0,75.2,5.83,6.52,1,2,2.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
32,2008,9,2008-11-09,28-095,SEA,@,MIA,L 19-21,*,21,38,55.26,185,1,0,77.2,4.87,5.39,2,9,4.50,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
33,2008,13,2008-12-07,28-123,SEA,,NWE,L 21-24,*,20,28,71.43,212,3,0,128.9,7.57,9.71,3,47,15.67,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
34,2008,14,2008-12-14,28-130,SEA,@,STL,W 23-20,*,15,25,60.00,226,0,0,89.7,9.04,9.04,2,3,1.50,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
35,2008,15,2008-12-21,28-137,SEA,,NYJ,W 13-3,*,18,25,72.00,175,1,0,104.6,7.00,7.80,3,-3,-1.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
36,2008,16,2008-12-28,28-144,SEA,@,ARI,L 21-34,*,24,43,55.81,250,2,2,68.9,5.81,4.65,3,14,4.67,0,0,0,0,,0,0,0,,0,0,0,0.0,1,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
37,2009,1,2009-09-13,29-038,SEA,,STL,W 28-0,,0,0,,0,0,0,,,,0,0,,0,1,1,24,24.00,0,0,0,,0,0,0,0.0,0,0
38,2009,2,2009-09-20,29-045,SEA,@,SFO,L 10-23,,15,23,65.22,127,1,1,75.8,5.52,4.43,4,1,0.25,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
39,2009,3,2009-09-27,29-052,SEA,,CHI,L 19-25,*,26,44,59.09,261,1,1,74.1,5.93,5.36,1,0,0.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
40,2009,4,2009-10-04,29-059,SEA,@,IND,L 17-34,*,33,45,73.33,257,1,0,94.4,5.71,6.16,4,8,2.00,1,0,0,0,,0,0,0,,0,1,6,0.0,0,0
41,2009,5,2009-10-11,29-066,SEA,,JAX,W 41-0,,0,0,,0,0,0,,,,3,-3,-1.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
42,2009,7,2009-11-01,29-087,SEA,@,DAL,L 17-38,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
43,2009,8,2009-11-08,29-094,SEA,,DET,W 32-20,,1,1,100.00,15,0,0,118.7,15.00,15.00,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
44,2009,9,2009-11-15,29-101,SEA,@,ARI,L 20-31,,1,1,100.00,16,0,0,118.7,16.00,16.00,0,0,,0,1,1,5,5.00,0,0,0,,0,0,0,0.0,0,0
45,2009,10,2009-11-22,29-108,SEA,@,MIN,L 9-35,,0,3,0.00,0,0,0,39.6,0.00,0.00,1,-9,-9.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
46,2009,11,2009-11-29,29-115,SEA,@,STL,W 27-17,,0,0,,0,0,0,,,,1,10,10.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
47,2009,12,2009-12-06,29-122,SEA,,SFO,W 20-17,,1,1,100.00,7,0,0,95.8,7.00,7.00,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
48,2009,13,2009-12-13,29-129,SEA,@,HOU,L 7-34,,0,1,0.00,0,0,0,39.6,0.00,0.00,2,-5,-2.50,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
49,2009,16,2010-01-03,29-150,SEA,,TEN,L 13-17,,1,1,100.00,17,0,0,118.7,17.00,17.00,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
50,2010,1,2010-09-12,30-037,CLE,@,TAM,L 14-17,,0,0,,0,0,0,,,,0,0,,0,1,1,9,9.00,0,0,0,,0,0,0,0.0,0,0
51,2010,2,2010-09-19,30-044,CLE,,KAN,L 14-16,*,16,31,51.61,229,1,1,73.2,7.39,6.58,1,4,4.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
52,2010,3,2010-09-26,30-051,CLE,@,BAL,L 17-24,*,18,24,75.00,141,1,0,103.0,5.88,6.71,1,0,0.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
53,2010,4,2010-10-03,30-058,CLE,,CIN,W 23-20,*,18,30,60.00,184,1,1,74.9,6.13,5.30,5,5,1.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
54,2010,5,2010-10-10,30-065,CLE,,ATL,L 10-20,*,11,15,73.33,139,1,0,124.0,9.27,10.60,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
55,2010,13,2010-12-12,30-128,CLE,@,BUF,L 6-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2010,15,2010-12-26,30-142,CLE,,BAL,L 10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2010,16,2011-01-02,30-149,CLE,,PIT,L 9-41,,1,1,100.00,1,0,0,79.2,1.00,1.00,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
58,2011,9,2011-11-13,31-099,CLE,,STL,L 12-13,,0,0,,0,0,0,,,,0,0,,0,1,1,21,21.00,0,0,0,,0,0,0,0.0,0,0
59,2011,12,2011-12-04,31-120,CLE,,BAL,L 10-24,,1,1,100.00,4,0,0,83.3,4.00,4.00,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
60,2011,13,2011-12-08,31-124,CLE,@,PIT,L 3-14,,1,1,100.00,13,0,0,118.7,13.00,13.00,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
61,2011,14,2011-12-18,31-134,CLE,@,ARI,L 17-20,*,18,31,58.06,226,1,0,91.6,7.29,7.94,3,21,7.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
62,2011,15,2011-12-24,31-140,CLE,@,BAL,L 14-20,*,19,33,57.58,147,1,1,66.1,4.45,3.70,1,5,5.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
63,2011,16,2012-01-01,31-148,CLE,,PIT,L 9-13,*,16,41,39.02,177,0,1,42.4,4.32,3.22,3,44,14.67,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
64,2013,4,2013-10-06,33-061,GNB,,DET,W 22-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2013,8,2013-11-04,33-090,GNB,,CHI,L 20-27,,11,19,57.89,114,0,1,53.4,6.00,3.63,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
66,2013,9,2013-11-10,33-096,GNB,,PHI,L 13-27,*,5,5,100.00,25,0,0,87.5,5.00,5.00,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,66 Games,,,,,25-41-0,,468,788,59.39,4947,31,19,80.8,6.28,5.98,68,293,4.31,1,8,6,106,17.67,0,1,0,0.00,0,1,6,0.0,1,0
