
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1980,16,1980-12-21,22-062,SEA,,DEN,L 17-25,,0,2,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
2,1981,7,1981-10-18,22-363,SEA,,NYG,L 0-32,,5,9,55.56,50,0,0,71.5,5.56,5.56,0,0,,0,,0,0,,0,0,0
3,1981,9,1981-11-01,23-012,SEA,@,GNB,L 24-34,,2,5,40.00,25,0,1,16.7,5.00,-4.00,0,0,,0,,0,0,,0,0,0
4,1981,11,1981-11-16,23-027,SEA,,SDG,W 44-23,,0,0,,0,0,0,,,,0,0,,0,,,,,,,
5,1981,13,1981-11-29,23-040,SEA,,OAK,L 31-32,,5,11,45.45,79,1,0,100.2,7.18,9.00,0,0,,0,,0,0,,0,0,0
6,1981,14,1981-12-06,23-047,SEA,,NYJ,W 27-23,*,20,26,76.92,264,2,3,94.6,10.15,6.50,5,30,6.00,1,,0,0,,0,1,6
7,1981,15,1981-12-13,23-054,SEA,@,DEN,L 13-23,*,18,40,45.00,219,1,0,70.7,5.48,5.98,4,21,5.25,0,,0,0,,0,0,0
8,1981,16,1981-12-20,23-061,SEA,,CLE,W 42-21,*,14,21,66.67,206,3,1,118.3,9.81,10.52,2,5,2.50,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
9,1982,1,1982-09-12,23-327,SEA,,CLE,L 7-21,*,22,38,57.89,203,0,1,61.6,5.34,4.16,1,4,4.00,0,,0,0,,0,0,0
10,1982,2,1982-09-19,23-334,SEA,@,HOU,L 21-23,*,15,22,68.18,156,1,0,103.6,7.09,8.00,2,2,1.00,0,,0,0,,0,0,0
11,1982,9,1983-01-02,24-074,SEA,,DEN,W 13-11,,12,18,66.67,142,1,1,85.9,7.89,6.50,3,-9,-3.00,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
12,1983,8,1983-10-23,25-003,SEA,,PIT,L 21-27,,13,20,65.00,214,2,0,134.2,10.70,12.70,1,8,8.00,0,,0,0,,0,0,0
13,1983,9,1983-10-30,25-010,SEA,@,RAI,W 34-21,*,13,22,59.09,156,1,1,77.1,7.09,5.95,0,0,,0,,0,0,,0,0,0
14,1983,10,1983-11-06,25-017,SEA,,DEN,W 27-19,*,14,23,60.87,216,2,1,102.8,9.39,9.17,6,21,3.50,1,,0,0,,0,1,6
15,1983,11,1983-11-13,25-024,SEA,@,STL,L 28-33,*,13,26,50.00,216,3,1,100.8,8.31,8.88,0,0,,0,,0,0,,0,0,0
16,1983,12,1983-11-20,25-031,SEA,@,DEN,L 27-38,*,31,42,73.81,418,3,4,89.3,9.95,7.10,1,8,8.00,0,,0,0,,0,0,0
17,1983,13,1983-11-27,25-038,SEA,,KAN,W 51-48,*,16,31,51.61,280,3,1,101.5,9.03,9.52,3,9,3.00,0,,1,11,11.00,0,0,0
18,1983,14,1983-12-04,25-045,SEA,,DAL,L 10-35,*,16,30,53.33,253,0,2,53.9,8.43,5.43,2,0,0.00,0,,0,0,,0,0,0
19,1983,15,1983-12-11,25-052,SEA,@,NYG,W 17-12,*,18,28,64.29,156,2,1,87.8,5.57,5.39,1,-2,-2.00,0,,0,0,,0,0,0
20,1983,16,1983-12-18,25-059,SEA,,NWE,W 24-6,*,13,21,61.90,230,2,0,131.1,10.95,12.86,2,11,5.50,1,,0,0,,0,1,6
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
21,1984,1,1984-09-03,25-319,SEA,,CLE,W 33-0,*,14,28,50.00,179,3,1,91.2,6.39,6.93,3,9,3.00,0,,0,0,,0,0,0
22,1984,2,1984-09-09,25-325,SEA,,SDG,W 31-17,*,18,38,47.37,263,1,1,68.2,6.92,6.26,6,61,10.17,2,,0,0,,0,2,12
23,1984,3,1984-09-16,25-332,SEA,@,NWE,L 23-38,*,17,35,48.57,265,1,2,59.8,7.57,5.57,3,1,0.33,0,,0,0,,0,0,0
24,1984,4,1984-09-23,25-339,SEA,,CHI,W 38-9,*,6,16,37.50,146,1,0,92.2,9.13,10.38,3,18,6.00,1,,0,0,,0,1,6
25,1984,5,1984-09-30,25-346,SEA,@,MIN,W 20-12,*,17,27,62.96,222,1,3,61.6,8.22,3.96,4,23,5.75,0,,0,0,,0,0,0
26,1984,6,1984-10-07,25-353,SEA,@,RAI,L 14-28,*,5,12,41.67,74,1,1,55.6,6.17,4.08,2,7,3.50,0,,0,0,,0,0,0
27,1984,7,1984-10-14,25-360,SEA,,BUF,W 31-28,*,17,29,58.62,231,3,2,89.9,7.97,6.93,3,3,1.00,0,,0,0,,0,0,0
28,1984,8,1984-10-21,26-001,SEA,@,GNB,W 30-24,*,22,35,62.86,310,2,2,86.6,8.86,7.43,5,18,3.60,0,,0,0,,0,0,0
29,1984,9,1984-10-29,26-009,SEA,@,SDG,W 24-0,*,23,29,79.31,282,3,1,127.3,9.72,10.24,2,-3,-1.50,0,,0,0,,0,0,0
30,1984,10,1984-11-04,26-015,SEA,,KAN,W 45-0,*,12,20,60.00,138,2,1,93.3,6.90,6.65,1,0,0.00,0,,0,0,,0,0,0
31,1984,11,1984-11-12,26-023,SEA,,RAI,W 17-14,*,11,25,44.00,156,2,1,74.7,6.24,6.04,2,14,7.00,0,,0,0,,0,0,0
32,1984,12,1984-11-18,26-029,SEA,@,CIN,W 26-6,*,10,16,62.50,108,1,1,77.1,6.75,5.19,3,9,3.00,0,,0,0,,0,0,0
