
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2010,1,2010-09-13,23-097,KAN,,SDG,W 21-14,4,3,21,7.00,1,1,6,0.0,0,0
2,2010,2,2010-09-19,23-103,KAN,@,CLE,W 16-14,10,5,58,11.60,0,0,0,0.0,0,0
3,2010,3,2010-09-26,23-110,KAN,,SFO,W 31-10,5,4,44,11.00,1,1,6,0.0,0,0
4,2010,4,2010-10-10,23-124,KAN,@,IND,L 9-19,4,4,50,12.50,0,0,0,0.0,0,0
5,2010,5,2010-10-17,23-131,KAN,@,HOU,L 31-35,3,2,21,10.50,0,0,0,0.0,0,0
6,2010,6,2010-10-24,23-138,KAN,,JAX,W 42-20,3,3,42,14.00,0,0,0,0.0,0,0
7,2010,7,2010-10-31,23-145,KAN,,BUF,W 13-10,4,3,45,15.00,0,0,0,0.0,0,0
8,2010,8,2010-11-07,23-152,KAN,@,OAK,L 20-23,9,6,63,10.50,0,0,0,0.0,0,0
9,2010,9,2010-11-14,23-159,KAN,@,DEN,L 29-49,3,1,34,34.00,0,0,0,0.0,0,0
10,2010,11,2010-11-28,23-173,KAN,@,SEA,W 42-24,2,1,6,6.00,1,1,6,0.0,0,0
11,2010,12,2010-12-05,23-180,KAN,,DEN,W 10-6,7,4,54,13.50,0,0,0,0.0,0,0
12,2010,13,2010-12-12,23-187,KAN,@,SDG,L 0-31,2,2,13,6.50,0,0,0,0.0,0,0
13,2010,14,2010-12-19,23-194,KAN,@,STL,W 27-13,4,3,25,8.33,0,0,0,0.0,0,0
14,2010,15,2010-12-26,23-201,KAN,,TEN,W 34-14,7,5,63,12.60,0,0,0,0.0,0,0
15,2010,16,2011-01-02,23-208,KAN,,OAK,L 10-31,6,1,17,17.00,0,0,0,0.0,1,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
16,2012,1,2012-09-09,25-093,KAN,,ATL,L 24-40,6,3,37,12.33,0,0,0,0.0,0,0
17,2012,2,2012-09-16,25-100,KAN,@,BUF,L 17-35,4,1,9,9.00,0,0,0,0.0,0,0
18,2012,3,2012-09-23,25-107,KAN,@,NOR,W 27-24,3,2,12,6.00,0,0,0,0.0,0,0
19,2012,4,2012-09-30,25-114,KAN,,SDG,L 20-37,4,3,18,6.00,0,0,0,0.0,0,0
20,2012,5,2012-10-07,25-121,KAN,,BAL,L 6-9,1,0,0,,0,0,0,0.0,0,0
21,2012,6,2012-10-14,25-128,KAN,@,TAM,L 10-38,2,1,18,18.00,0,0,0,0.0,0,0
22,2012,7,2012-10-28,25-142,KAN,,OAK,L 16-26,8,4,57,14.25,0,0,0,0.0,0,0
23,2012,8,2012-11-01,25-146,KAN,@,SDG,L 13-31,,,,,,,,,,
24,2012,9,2012-11-12,25-157,KAN,@,PIT,L 13-16,6,3,68,22.67,0,0,0,0.0,0,0
25,2012,10,2012-11-18,25-163,KAN,,CIN,L 6-28,6,4,73,18.25,0,0,0,0.0,0,0
26,2012,11,2012-11-25,25-170,KAN,,DEN,L 9-17,2,2,40,20.00,0,0,0,0.0,0,0
27,2012,12,2012-12-02,25-177,KAN,,CAR,W 27-21,4,4,54,13.50,1,1,6,0.0,0,0
28,2012,13,2012-12-09,25-184,KAN,@,CLE,L 7-30,2,1,10,10.00,0,0,0,0.0,0,0
29,2012,14,2012-12-16,25-191,KAN,@,OAK,L 0-15,4,3,36,12.00,0,0,0,0.0,0,0
30,2012,16,2012-12-30,25-205,KAN,@,DEN,L 3-38,4,2,21,10.50,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
31,2013,15,2013-12-22,26-197,BUF,,MIA,W 19-0,,,,,,,,,,
32,2013,16,2013-12-29,26-204,BUF,@,NWE,L 20-34,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
33,2014,10,2014-11-16,27-161,SEA,@,KAN,L 20-24,1,1,1,1.00,1,1,6,0.0,0,0
34,2014,11,2014-11-23,27-168,SEA,,ARI,W 19-3,4,4,34,8.50,0,0,0,0.0,0,0
35,2014,12,2014-11-27,27-172,SEA,@,SFO,W 19-3,2,1,63,63.00,0,0,0,0.0,0,0
36,2014,13,2014-12-07,27-182,SEA,@,PHI,W 24-14,3,1,15,15.00,0,0,0,0.0,0,0
37,2014,14,2014-12-14,27-189,SEA,,SFO,W 17-7,2,0,0,,0,0,0,0.0,0,0
38,2014,16,2014-12-28,27-203,SEA,,STL,W 20-6,1,1,21,21.00,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
39,2015,5,2015-10-11,28-125,ATL,,WAS,W 25-19,0,0,0,,0,0,0,0.0,0,0
40,2015,6,2015-10-15,28-129,ATL,@,NOR,L 21-31,0,0,0,,0,0,0,0.0,0,0
41,2015,7,2015-10-25,28-139,ATL,@,TEN,W 10-7,1,1,11,11.00,0,0,0,0.0,0,0
42,2015,8,2015-11-01,28-146,ATL,,TAM,L 20-23,0,0,0,,0,0,0,0.0,0,0
43,2015,10,2015-11-22,28-167,ATL,,IND,L 21-24,0,0,0,,0,0,0,0.0,0,0
44,2015,11,2015-11-29,28-174,ATL,,MIN,L 10-20,0,0,0,,0,0,0,0.0,0,0
,,,44 Games,,,,,19-25-0,143,89,1154,12.97,5,5,30,0.0,1,0
