
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,2009,15,2009-12-27,24-186,IND,,NYJ,L 15-29,,4,11,36.36,44,0,1,11.2,4.00,-0.09,1,3,3.00,0,0.0,0,0
2,2009,16,2010-01-03,24-193,IND,@,BUF,L 7-30,,4,17,23.53,39,0,1,15.1,2.29,-0.35,2,1,0.50,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
3,2011,3,2011-09-25,26-093,IND,,PIT,L 20-23,,5,11,45.45,60,0,0,62.7,5.45,5.45,0,0,,0,0.0,0,0
4,2011,4,2011-10-03,26-101,IND,@,TAM,L 17-24,*,13,30,43.33,281,2,0,99.4,9.37,10.70,0,0,,0,0.0,1,0
5,2011,5,2011-10-09,26-107,IND,,KAN,L 24-28,*,15,27,55.56,277,2,0,115.8,10.26,11.74,1,-1,-1.00,0,0.0,0,0
6,2011,6,2011-10-16,26-114,IND,@,CIN,L 17-27,*,23,34,67.65,188,1,1,79.0,5.53,4.79,4,14,3.50,0,0.0,0,0
7,2011,7,2011-10-23,26-121,IND,@,NOR,L 7-62,*,9,17,52.94,67,0,1,38.1,3.94,1.29,2,11,5.50,0,0.0,0,0
8,2011,8,2011-10-30,26-128,IND,@,TEN,L 10-27,*,26,49,53.06,250,0,2,50.6,5.10,3.27,7,79,11.29,0,0.0,0,0
9,2011,9,2011-11-06,26-135,IND,,ATL,L 7-31,*,13,27,48.15,98,0,1,41.9,3.63,1.96,1,5,5.00,0,0.0,0,0
10,2011,10,2011-11-13,26-142,IND,,JAX,L 3-17,*,13,19,68.42,94,0,2,40.1,4.95,0.21,2,-1,-0.50,0,0.0,0,0
11,2011,11,2011-11-27,26-156,IND,,CAR,L 19-27,*,15,29,51.72,226,1,2,60.4,7.79,5.38,0,0,,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
12,2013,3,2013-09-22,28-090,NYG,@,CAR,L 0-38,,2,4,50.00,16,0,1,20.8,4.00,-7.25,0,0,,0,0.0,0,0
13,2013,14,2013-12-15,28-174,NYG,,SEA,L 0-23,,4,4,100.00,30,0,0,97.9,7.50,7.50,0,0,,0,0.0,0,0
14,2013,16,2013-12-29,28-188,NYG,,WAS,W 20-6,,2,8,25.00,11,0,1,0.0,1.38,-4.25,3,-2,-0.67,0,0.0,0,0
,,,14 Games,,,,,1-13-0,,148,287,51.57,1681,6,13,57.6,5.86,4.24,23,109,4.74,0,0.0,1,0
