
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,2006,1,2006-09-10,23-226,TAM,,BAL,L 0-27,,1,5,20.00,4,0,0,39.6,0.80,0.80,0,0,,0,0.0,0,0
2,2006,3,2006-09-24,23-240,TAM,,CAR,L 24-26,,1,1,100.00,16,0,0,118.7,16.00,16.00,0,0,,0,0.0,0,0
3,2006,4,2006-10-08,23-254,TAM,@,NOR,L 21-24,*,20,31,64.52,225,2,0,107.6,7.26,8.55,6,19,3.17,0,0.0,0,0
4,2006,5,2006-10-15,23-261,TAM,,CIN,W 14-13,*,25,44,56.82,184,2,1,72.5,4.18,4.07,4,19,4.75,0,0.0,0,0
5,2006,6,2006-10-22,23-268,TAM,,PHI,W 23-21,*,13,26,50.00,104,0,0,60.4,4.00,4.00,3,11,3.67,0,0.0,0,0
6,2006,7,2006-10-29,23-275,TAM,@,NYG,L 3-17,*,20,48,41.67,139,0,0,49.3,2.90,2.90,3,18,6.00,0,0.0,0,0
7,2006,8,2006-11-05,23-282,TAM,,NOR,L 14-31,*,18,31,58.06,185,2,0,96.8,5.97,7.26,2,12,6.00,0,0.0,0,0
8,2006,9,2006-11-13,23-290,TAM,@,CAR,L 10-24,*,17,32,53.13,173,1,2,53.3,5.41,3.22,5,22,4.40,0,0.0,0,0
9,2006,10,2006-11-19,23-296,TAM,,WAS,W 20-17,*,14,21,66.67,178,2,1,104.9,8.48,8.24,6,9,1.50,0,0.0,0,0
10,2006,11,2006-11-23,23-300,TAM,@,DAL,L 10-38,*,10,20,50.00,120,0,2,29.2,6.00,1.50,4,17,4.25,0,0.0,0,0
11,2006,12,2006-12-03,23-310,TAM,@,PIT,L 3-20,*,20,34,58.82,175,0,3,35.8,5.15,1.18,6,26,4.33,0,0.0,0,0
12,2006,13,2006-12-10,23-317,TAM,,ATL,L 6-17,*,13,24,54.17,121,0,0,68.2,5.04,5.04,2,8,4.00,0,0.0,0,0
13,2006,14,2006-12-17,23-324,TAM,@,CHI,L 31-34,*,5,11,45.45,37,0,0,54.0,3.36,3.36,0,0,,0,0.0,0,0
14,2006,15,2006-12-24,23-331,TAM,@,CLE,W 22-7,,0,0,,0,0,0,,,,0,0,,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
15,2007,5,2007-10-07,24-253,TAM,@,IND,L 14-33,,3,4,75.00,22,0,1,47.9,5.50,-5.75,0,0,,0,0.0,0,0
16,2007,10,2007-11-18,24-295,TAM,@,ATL,W 31-7,,1,1,100.00,2,0,0,79.2,2.00,2.00,2,-2,-1.00,0,0.0,0,0
17,2007,11,2007-11-25,24-302,TAM,,WAS,W 19-13,,9,19,47.37,106,0,0,64.8,5.58,5.58,2,24,12.00,0,0.0,0,0
18,2007,13,2007-12-09,24-316,TAM,@,HOU,L 14-28,,0,0,,0,0,0,,,,0,0,,0,0.0,0,0
19,2007,14,2007-12-16,24-323,TAM,,ATL,W 37-3,,0,0,,0,0,0,,,,3,-2,-0.67,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
20,2008,15,2008-12-21,25-329,CLE,,CIN,L 0-14,,2,5,40.00,8,0,1,8.3,1.60,-7.40,0,0,,0,0.0,0,0
21,2008,16,2008-12-28,25-336,CLE,@,PIT,L 0-31,*,5,16,31.25,18,0,2,1.0,1.13,-4.50,1,2,2.00,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
22,2009,1,2009-09-14,26-230,OAK,,SDG,L 20-24,,2,2,100.00,17,0,0,102.1,8.50,8.50,0,0,,0,0.0,0,0
23,2009,7,2009-10-25,26-271,OAK,,NYJ,L 0-38,,10,19,52.63,97,0,0,67.2,5.11,5.11,2,25,12.50,0,0.0,0,0
24,2009,9,2009-11-15,26-292,OAK,,KAN,L 10-16,,5,9,55.56,49,0,2,31.5,5.44,-4.56,1,9,9.00,0,0.0,0,0
25,2009,10,2009-11-22,26-299,OAK,,CIN,W 20-17,*,17,34,50.00,183,2,1,73.5,5.38,5.24,6,8,1.33,0,0.0,0,0
26,2009,11,2009-11-26,26-303,OAK,@,DAL,L 7-24,*,18,35,51.43,200,1,0,78.3,5.71,6.29,3,30,10.00,0,0.0,0,0
27,2009,12,2009-12-06,26-313,OAK,@,PIT,W 27-24,*,20,33,60.61,308,3,0,121.8,9.33,11.15,3,20,6.67,0,0.0,0,0
28,2009,13,2009-12-13,26-320,OAK,,WAS,L 13-34,*,10,18,55.56,153,0,0,83.8,8.50,8.50,3,16,5.33,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
29,2010,2,2010-09-19,27-235,OAK,,STL,W 16-14,,11,21,52.38,162,1,1,73.9,7.71,6.52,4,0,0.00,0,0.0,0,0
