
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2014,5,2014-10-13,21-068,STL,,SFO,L 17-31,5,40,8.00,0,1,1,12,12.00,0,0,0,0.0,0,0
2,2014,6,2014-10-19,21-074,STL,,SEA,W 28-26,18,85,4.72,1,0,0,0,,0,1,6,0.0,0,0
3,2014,7,2014-10-26,21-081,STL,@,KAN,L 7-34,7,32,4.57,0,1,1,1,1.00,0,0,0,0.0,0,0
4,2014,8,2014-11-02,21-088,STL,@,SFO,W 13-10,19,65,3.42,0,2,1,-8,-8.00,0,0,0,0.0,0,0
5,2014,9,2014-11-09,21-095,STL,@,ARI,L 14-31,14,48,3.43,0,6,4,33,8.25,0,0,0,0.0,0,0
6,2014,10,2014-11-16,21-102,STL,,DEN,W 22-7,29,113,3.90,0,2,1,1,1.00,0,0,0,0.0,0,0
7,2014,11,2014-11-23,21-109,STL,@,SDG,L 24-27,16,62,3.88,0,2,1,26,26.00,0,0,0,0.0,0,0
8,2014,12,2014-11-30,21-116,STL,,OAK,W 52-0,14,117,8.36,2,4,3,47,15.67,1,3,18,0.0,0,0
9,2014,13,2014-12-07,21-123,STL,@,WAS,W 24-0,20,66,3.30,0,2,0,0,,0,0,0,0.0,0,0
10,2014,14,2014-12-11,21-127,STL,,ARI,L 6-12,13,33,2.54,0,1,0,0,,0,0,0,0.0,1,0
11,2014,15,2014-12-21,21-137,STL,,NYG,L 27-37,13,76,5.85,1,1,1,7,7.00,0,1,6,0.0,0,0
12,2014,16,2014-12-28,21-144,STL,@,SEA,L 6-20,11,28,2.55,0,4,3,29,9.67,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
13,2015,2,2015-09-20,22-045,STL,@,WAS,L 10-24,7,26,3.71,0,5,2,4,2.00,0,0,0,0.0,0,0
14,2015,3,2015-09-27,22-052,STL,,PIT,L 6-12,9,16,1.78,0,1,1,15,15.00,0,0,0,0.0,0,0
15,2015,4,2015-10-04,22-059,STL,@,ARI,W 24-22,2,-1,-0.50,0,0,0,0,,0,0,0,0.0,0,0
16,2015,5,2015-10-11,22-066,STL,@,GNB,L 10-24,2,8,4.00,0,0,0,0,,0,0,0,0.0,0,0
,,,16 Games,,,,,6-10-0,199,814,4.09,4,32,19,167,8.79,1,5,30,0.0,1,0
