
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2012,1,2012-09-09,22-055,IND,@,CHI,L 21-41,4,6,1.50,0,0,0,0,,0,0,0
2,2012,2,2012-09-16,22-062,IND,,MIN,W 23-20,6,13,2.17,0,1,0,0,,0,0,0
3,2012,3,2012-09-23,22-069,IND,,JAX,L 17-22,5,12,2.40,0,0,0,0,,0,0,0
4,2012,4,2012-10-07,22-083,IND,,GNB,W 30-27,6,11,1.83,0,1,1,4,4.00,0,0,0
5,2012,5,2012-10-14,22-090,IND,@,NYJ,L 9-35,8,25,3.13,0,3,2,17,8.50,0,0,0
6,2012,6,2012-10-21,22-097,IND,,CLE,W 17-13,20,84,4.20,0,1,1,19,19.00,0,0,0
7,2012,7,2012-10-28,22-104,IND,@,TEN,W 19-13,12,55,4.58,0,1,1,16,16.00,1,1,6
8,2012,8,2012-11-04,22-111,IND,,MIA,W 23-20,16,60,3.75,0,6,3,38,12.67,0,0,0
9,2012,9,2012-11-08,22-115,IND,@,JAX,W 27-10,12,48,4.00,0,2,2,11,5.50,0,0,0
10,2012,10,2012-11-18,22-125,IND,@,NWE,L 24-59,16,72,4.50,0,1,1,7,7.00,0,0,0
11,2012,11,2012-11-25,22-132,IND,,BUF,W 20-13,13,41,3.15,0,1,0,0,,0,0,0
12,2012,12,2012-12-02,22-139,IND,@,DET,W 35-33,9,41,4.56,1,4,3,21,7.00,0,1,6
13,2012,13,2012-12-09,22-146,IND,,TEN,W 27-23,19,94,4.95,0,1,1,10,10.00,0,0,0
14,2012,14,2012-12-16,22-153,IND,@,HOU,L 17-29,18,105,5.83,0,2,0,0,,0,0,0
15,2012,15,2012-12-23,22-160,IND,@,KAN,W 20-13,20,69,3.45,0,0,0,0,,0,0,0
16,2012,16,2012-12-30,22-167,IND,,HOU,W 28-16,27,78,2.89,1,3,2,9,4.50,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
17,2013,1,2013-09-08,23-054,IND,,OAK,W 21-17,13,63,4.85,0,2,1,-5,-5.00,0,0,0
,,,17 Games,,,,,12-5-0,224,877,3.92,2,29,18,147,8.17,1,3,18
