
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2014,1,2014-09-07,23-222,CLE,@,PIT,L 27-30,16,100,6.25,0,0,0,0,,0,0,0,0.0,0,0
2,2014,2,2014-09-14,23-229,CLE,,NOR,W 26-24,19,68,3.58,1,2,2,22,11.00,0,1,6,0.0,0,0
3,2014,3,2014-09-21,23-236,CLE,,BAL,L 21-23,12,36,3.00,1,2,2,5,2.50,0,1,6,0.0,0,0
4,2014,4,2014-10-05,23-250,CLE,@,TEN,W 29-28,7,31,4.43,0,0,0,0,,0,0,0,0.0,0,0
5,2014,6,2014-10-19,23-264,CLE,@,JAX,L 6-24,5,8,1.60,0,1,1,0,0.00,0,0,0,0.0,0,0
6,2014,7,2014-10-26,23-271,CLE,,OAK,W 23-13,7,11,1.57,0,2,1,10,10.00,0,0,0,0.0,0,0
7,2014,8,2014-11-02,23-278,CLE,,TAM,W 22-17,15,48,3.20,0,1,1,2,2.00,1,1,6,0.0,1,0
8,2014,9,2014-11-06,23-282,CLE,@,CIN,W 24-3,26,94,3.62,1,0,0,0,,0,1,6,0.0,0,0
9,2014,10,2014-11-16,23-292,CLE,,HOU,L 7-23,5,12,2.40,0,0,0,0,,0,0,0,0.0,0,0
10,2014,11,2014-11-23,23-299,CLE,@,ATL,W 26-24,14,62,4.43,0,1,1,9,9.00,0,0,0,0.0,0,0
11,2014,12,2014-11-30,23-306,CLE,@,BUF,L 10-26,7,32,4.57,0,1,1,4,4.00,0,0,0,0.0,0,0
12,2014,13,2014-12-07,23-313,CLE,,IND,L 24-25,15,54,3.60,0,0,0,0,,0,0,0,0.0,0,0
13,2014,14,2014-12-14,23-320,CLE,,CIN,L 0-30,5,23,4.60,0,0,0,0,,0,0,0,0.0,0,0
14,2014,16,2014-12-28,23-334,CLE,@,BAL,L 10-20,18,94,5.22,1,3,2,12,6.00,0,1,6,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
15,2015,1,2015-09-13,24-228,TEN,@,TAM,W 42-14,13,41,3.15,0,0,0,0,,0,0,0,0.0,0,0
16,2015,2,2015-09-20,24-235,TEN,@,CLE,L 14-28,3,10,3.33,0,0,0,0,,0,0,0,0.0,0,0
,,,16 Games,,,,,7-9-0,187,724,3.87,4,13,11,64,5.82,1,5,30,0.0,1,0
