
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
1,2013,1,2013-09-08,24-298,NYG,@,DAL,L 31-36,0,0,,0,0,0,0,,0,1,26,26.00,0,0.0,0,0
2,2013,4,2013-09-29,24-319,NYG,@,KAN,L 7-31,0,0,,0,0,0,0,,0,1,13,13.00,0,0.0,0,0
3,2013,5,2013-10-06,24-326,NYG,,PHI,L 21-36,,,,,,,,,,,,,,,,
4,2013,6,2013-10-10,24-330,NYG,@,CHI,L 21-27,,,,,,,,,,,,,,,,
5,2013,7,2013-10-21,24-341,NYG,,MIN,W 23-7,11,23,2.09,0,2,2,1,0.50,0,0,0,,0,0.0,0,0
6,2013,8,2013-10-27,24-347,NYG,@,PHI,W 15-7,9,19,2.11,0,1,1,11,11.00,0,0,0,,0,0.0,0,0
7,2013,9,2013-11-10,24-361,NYG,,OAK,W 24-20,,,,,,,,,,,,,,,,
8,2013,10,2013-11-17,25-003,NYG,,GNB,W 27-13,0,0,,0,0,0,0,,0,2,35,17.50,0,0.0,0,0
9,2013,11,2013-11-24,25-010,NYG,,DAL,L 21-24,0,0,,0,0,0,0,,0,3,70,23.33,0,0.0,0,0
10,2013,12,2013-12-01,25-017,NYG,@,WAS,W 24-17,0,0,,0,0,0,0,,0,4,69,17.25,0,0.0,0,0
11,2013,13,2013-12-08,25-024,NYG,@,SDG,L 14-37,0,0,,0,0,0,0,,0,6,113,18.83,0,0.0,2,0
12,2013,14,2013-12-15,25-031,NYG,,SEA,L 0-23,0,0,,0,0,0,0,,0,0,0,,0,0.0,1,0
13,2013,15,2013-12-22,25-038,NYG,@,DET,W 23-20,2,1,0.50,0,0,0,0,,0,1,56,56.00,0,0.0,0,0
14,2013,16,2013-12-29,25-045,NYG,,WAS,W 20-6,0,0,,0,0,0,0,,0,2,54,27.00,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
15,2014,6,2014-10-12,25-332,NYG,@,PHI,L 0-27,0,0,,0,0,0,0,,0,2,53,26.50,0,0.0,0,0
16,2014,7,2014-10-19,25-339,NYG,@,DAL,L 21-31,0,0,,0,0,0,0,,0,3,87,29.00,0,0.0,0,0
17,2014,8,2014-11-03,25-354,NYG,,IND,L 24-40,2,27,13.50,0,0,0,0,,0,4,88,22.00,0,0.0,0,0
18,2014,9,2014-11-09,25-360,NYG,@,SEA,L 17-38,2,6,3.00,0,3,2,9,4.50,0,2,33,16.50,0,0.0,0,0
,,,18 Games,,,,,7-11-0,26,76,2.92,0,6,5,21,4.20,0,31,697,22.48,0,0.0,3,0
