
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1957,22,SFO,qb,12,5,1,1-0-0,11,21,52.4,160,2,9.5,3,14.3,28,7.6,3.1,14.5,32.0,69.6,,,,,,0,0,
1958,23,SFO,QB,12,12,6,3-3-0,103,172,59.9,1224,6,3.5,13,7.6,61,7.1,4.4,11.9,102.0,61.8,,,,,,0,0,
1959,24,SFO,qb,12,12,2,1-1-0,30,64,46.9,354,2,3.1,7,10.9,34,5.5,1.2,11.8,29.5,35.0,,,,,,0,0,
1960,25,SFO,QB,12,11,8,4-4-0,103,207,49.8,1111,6,2.9,9,4.3,65,5.4,4.0,10.8,101.0,57.5,,,,,,2,2,6
1961,26,SFO,QB,12,14,14,7-6-1,155,283,54.8,2588,14,4.9,12,4.2,70,9.1,8.2,16.7,184.9,84.7,,,,,,2,2,13
1962,27,SFO,QB,12,14,13,6-8-0,175,304,57.6,2272,18,5.9,16,5.3,80,7.5,6.3,13.0,162.3,79.0,,,,,,0,1,13
1963,28,SFO,qb,12,3,3,0-3-0,30,61,49.2,367,3,4.9,4,6.6,44,6.0,4.0,12.2,122.3,57.2,,,,,,,,2
1964,29,SFO,QB,12,14,12,3-9-0,193,392,49.2,2498,14,3.6,16,4.1,83,6.4,5.3,12.9,178.4,64.6,,,,,,,,8
1965*,30,SFO,QB,12,13,13,7-5-1,242,391,61.9,3112,30,7.7,16,4.1,59,8.0,7.7,12.9,239.4,95.3,,,,,,3,2,15
1966,31,SFO,QB,12,14,13,5-6-2,232,427,54.3,2810,16,3.7,22,5.2,65,6.6,5.0,12.1,200.7,65.8,,,,,,2,1,9
1967,32,SFO,QB,12,14,10,5-5-0,168,349,48.1,2013,11,3.2,16,4.6,63,5.8,4.3,12.0,143.8,57.6,,,,,,2,2,7
1968,33,SFO,QB,12,14,14,7-6-1,234,404,57.9,3020,22,5.4,21,5.2,65,7.5,6.2,12.9,215.7,78.0,,,,,,1,2,12
1969,34,SFO,QB,12,13,10,2-6-2,194,347,55.9,2405,16,4.6,15,4.3,80,6.9,5.9,12.4,185.0,74.9,16,134,6.26,5.28,4.4,2,2,9
1970*+,35,SFO,QB,12,14,14,10-3-1,223,378,59.0,2941,24,6.3,10,2.6,79,7.8,7.9,13.2,210.1,93.8,8,67,7.45,7.52,2.1,2,2,16
1971,36,SFO,QB,12,14,14,9-5-0,208,387,53.7,2642,18,4.7,24,6.2,71,6.8,5.0,12.7,188.7,65.0,11,111,6.36,4.55,2.8,1,2,12
1972,37,SFO,qb,12,6,5,2-3-0,70,110,63.6,905,9,8.2,8,7.3,53,8.2,6.6,12.9,150.8,86.4,8,39,7.34,5.81,6.8,1,1,4
1973,38,SFO,QB,12,14,6,2-4-0,98,194,50.5,1126,3,1.5,12,6.2,66,5.8,3.3,11.5,80.4,47.7,4,29,5.54,3.12,2.0,1,1,3
Career,,,,,201,158,74-77-8,2469,4491,55.0,31548,214,4.8,224,5.0,83,7.0,5.7,12.8,157.0,72.3,47,380,6.87,5.59,1.0,19,20,129
