
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1949,22,CHI,qb,,12,2,,9,21,42.9,197,0,0.0,5,23.8,44,9.4,-1.3,21.9,16.4,37.3,,,,,,0,0,
1950,23,2TM,,,12,,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,,,,,0,0,
,,BAL,,64,1,,,0,0,,0,0,,0,,0,,,,0.0,,,,,,,0,0,
,,CHI,,22,11,,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,,,,,0,0,
1951,24,CHI,K/LLB,22,12,,,0,0,,0,0,,0,,0,,,,0.0,,,,,,,0,0,
1952,25,CHI,K/qb,16,12,2,1-1-0,47,131,35.9,664,8,6.1,11,8.4,59,5.1,2.5,14.1,55.3,38.5,,,,,,0,0,
1953,26,CHI,K/QB,16,12,12,3-8-1,169,362,46.7,2164,14,3.9,23,6.4,72,6.0,3.9,12.8,180.3,52.3,,,,,,0,0,
1954,27,CHI,K/QB,16,8,7,4-3-0,131,281,46.6,1929,15,5.3,17,6.0,76,6.9,5.2,14.7,241.1,62.1,,,,,,0,0,
1955,28,CHI,K,16,12,,,42,97,43.3,459,4,4.1,7,7.2,51,4.7,2.3,10.9,38.3,41.6,,,,,,0,0,
1956,29,CHI,K,16,12,,,37,69,53.6,439,7,10.1,4,5.8,69,6.4,5.8,11.9,36.6,82.9,,,,,,,,
1957,30,CHI,K,16,12,,,8,19,42.1,65,0,0.0,3,15.8,13,3.4,-3.7,8.1,5.4,11.8,,,,,,0,0,
1958,31,CHI,K,16,12,,,2,7,28.6,19,0,0.0,0,0.0,12,2.7,2.7,9.5,1.6,39.6,,,,,,0,0,
1960,33,HOU,K/QB,16,14,11,8-3-0,169,363,46.6,2413,24,6.6,22,6.1,88,6.6,5.2,14.3,172.4,65.4,,,,,,1,1,11
1961*+,34,HOU,K/QB,16,14,11,9-2-0,187,362,51.7,3330,36,9.9,22,6.1,80,9.2,8.5,17.8,237.9,91.3,,,,,,,,22
1962*,35,HOU,K/QB,16,14,14,11-3-0,197,418,47.1,2810,27,6.5,42,10.0,78,6.7,3.5,14.3,200.7,51.3,,,,,,3,3,10
1963*,36,HOU,K/QB,16,14,13,6-7-0,224,423,53.0,3003,24,5.7,25,5.9,80,7.1,5.6,13.4,214.5,70.1,,,,,,1,1,11
1964,37,HOU,K/QB,16,14,13,4-9-0,262,505,51.9,3287,17,3.4,27,5.3,80,6.5,4.8,12.5,234.8,61.4,,,,,,,,12
1965,38,HOU,K/QB,16,14,12,3-9-0,186,442,42.1,2542,20,4.5,30,6.8,95,5.8,3.6,13.7,181.6,47.9,,,,,,2,2,9
1966,39,HOU,K/QB,16,14,8,3-5-0,122,271,45.0,1764,17,6.3,21,7.7,79,6.5,4.3,14.5,126.0,55.3,,,,,,,,10
1967*,40,OAK,K,16,14,,,15,38,39.5,285,3,7.9,3,7.9,50,7.5,5.5,19.0,20.4,59.6,,,,,,0,1,7
1968,41,OAK,K,16,14,1,1-0-0,30,49,61.2,522,6,12.2,2,4.1,94,10.7,11.3,17.4,37.3,120.1,,,,,,,,7
1969,42,OAK,K,16,14,,,6,13,46.2,73,2,15.4,1,7.7,20,5.6,5.2,12.2,5.2,71.5,1,4,4.93,4.57,7.1,,,3
1970,43,OAK,K,16,14,0,,29,55,52.7,461,6,10.9,5,9.1,44,8.4,6.5,15.9,32.9,79.4,4,37,7.19,5.41,6.8,2,2,4
1971,44,OAK,K,16,14,0,,32,58,55.2,378,4,6.9,6,10.3,37,6.5,3.2,11.8,27.0,58.6,2,26,5.87,2.70,3.3,2,1,6
1972,45,OAK,K,16,14,0,,5,15,33.3,77,1,6.7,0,0.0,26,5.1,6.5,15.4,5.5,73.5,2,19,3.41,4.59,11.8,,,5
1973,46,OAK,K,16,14,,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,3
1974,47,OAK,K,16,14,,,1,4,25.0,28,1,25.0,0,0.0,28,7.0,12.0,28.0,2.0,95.8,0,0,7.00,12.00,0.0,,,4
1975,48,OAK,K,16,14,0,,1,3,33.3,11,0,0.0,1,33.3,11,3.7,-11.3,11.0,0.8,5.6,3,8,0.50,-7.00,50.0,,,2
Career,,,,,340,106,53-50-1,1911,4007,47.7,26920,236,5.9,277,6.9,95,6.7,4.8,14.1,79.2,60.6,12,94,6.67,4.75,0.3,11,11,126
10 yrs,,CHI,,,115,23,8-12-1,445,988,45.0,5936,48,4.9,70,7.1,76,6.0,3.8,13.3,51.6,51.3,,,,,,0,0,
9 yrs,,OAK,,,126,1,1-0-0,119,235,50.6,1835,23,9.8,18,7.7,94,7.8,6.3,15.4,14.6,77.5,12,94,5.84,3.93,7.5,4,4,41
7 yrs,,HOU,,,98,82,44-38-0,1347,2784,48.4,19149,165,5.9,189,6.8,95,6.9,5.0,14.2,195.4,62.5,,,,,,7,7,85
1 yr,,BAL,,,1,0,,0,0,,0,0,,0,,0,,,,0.0,,,,,,,0,0,
