
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,2011,4,2011-10-02,23-333,SFO,@,PHI,W 24-23,,,,,,,,,,,,,,,,,,,
2,2011,5,2011-10-09,23-340,SFO,,TAM,W 48-3,,3,3,100.00,35,0,0,115.3,11.67,11.67,2,-2,-1.00,0,0,0,0.0,0,0
3,2011,12,2011-12-04,24-031,SFO,,STL,W 26-0,,0,2,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
4,2012,1,2012-09-09,24-311,SFO,@,GNB,W 30-22,,0,0,,0,0,0,,,,1,17,17.00,0,0,0,0.0,0,0
5,2012,4,2012-09-30,24-332,SFO,@,NYJ,W 34-0,,0,1,0.00,0,0,0,39.6,0.00,0.00,5,50,10.00,1,1,6,0.0,0,0
6,2012,5,2012-10-07,24-339,SFO,,BUF,W 45-3,,1,1,100.00,7,0,0,95.8,7.00,7.00,4,39,9.75,1,1,6,0.0,0,0
7,2012,6,2012-10-14,24-346,SFO,,NYG,L 3-26,,4,7,57.14,82,0,0,98.5,11.71,11.71,2,6,3.00,0,0,0,0.0,0,0
8,2012,7,2012-10-18,24-350,SFO,,SEA,W 13-6,,0,0,,0,0,0,,,,1,-1,-1.00,0,0,0,0.0,0,0
9,2012,9,2012-11-11,25-008,SFO,,STL,T 24-24,,11,17,64.71,117,0,0,84.7,6.88,6.88,8,66,8.25,1,1,6,0.0,0,0
10,2012,10,2012-11-19,25-016,SFO,,CHI,W 32-7,*,16,23,69.57,243,2,0,133.1,10.57,12.30,4,10,2.50,0,0,0,0.0,0,0
11,2012,11,2012-11-25,25-022,SFO,@,NOR,W 31-21,*,16,25,64.00,231,1,1,90.6,9.24,8.24,6,27,4.50,1,1,6,0.0,0,0
12,2012,12,2012-12-02,25-029,SFO,@,STL,L 13-16,*,21,32,65.63,208,0,0,83.9,6.50,6.50,9,84,9.33,0,0,0,0.0,0,0
13,2012,13,2012-12-09,25-036,SFO,,MIA,W 27-13,*,18,23,78.26,185,0,0,100.2,8.04,8.04,6,53,8.83,1,1,6,0.0,0,0
14,2012,14,2012-12-16,25-043,SFO,@,NWE,W 41-34,*,14,25,56.00,221,4,1,108.5,8.84,10.24,7,28,4.00,0,0,0,0.0,0,0
15,2012,15,2012-12-23,25-050,SFO,@,SEA,L 13-42,*,19,36,52.78,244,1,1,72.0,6.78,6.08,7,31,4.43,0,0,0,0.0,0,0
16,2012,16,2012-12-30,25-057,SFO,,ARI,W 27-13,*,16,28,57.14,276,2,0,114.6,9.86,11.29,3,5,1.67,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
17,2013,1,2013-09-08,25-309,SFO,,GNB,W 34-28,*,27,39,69.23,412,3,0,129.4,10.56,12.10,7,22,3.14,0,0,0,0.0,0,0
18,2013,2,2013-09-15,25-316,SFO,@,SEA,L 3-29,*,13,28,46.43,127,0,3,20.1,4.54,-0.29,9,87,9.67,0,0,0,0.0,0,0
19,2013,3,2013-09-22,25-323,SFO,,IND,L 7-27,*,13,27,48.15,150,0,1,49.9,5.56,3.89,7,20,2.86,0,0,0,0.0,0,0
20,2013,4,2013-09-26,25-327,SFO,@,STL,W 35-11,*,15,23,65.22,167,2,0,115.7,7.26,9.00,3,11,3.67,0,0,0,0.0,0,0
21,2013,5,2013-10-06,25-337,SFO,,HOU,W 34-3,*,6,15,40.00,113,1,0,89.0,7.53,8.87,1,14,14.00,0,0,0,0.0,0,0
22,2013,6,2013-10-13,25-344,SFO,,ARI,W 32-20,*,16,29,55.17,252,2,1,92.9,8.69,8.52,4,18,4.50,0,0,0,0.0,0,0
23,2013,7,2013-10-20,25-351,SFO,@,TEN,W 31-17,*,13,21,61.90,199,0,0,93.2,9.48,9.48,11,68,6.18,1,1,6,0.0,0,0
24,2013,8,2013-10-27,25-358,SFO,@,JAX,W 42-10,*,10,16,62.50,164,1,0,117.7,10.25,11.50,7,54,7.71,2,2,12,0.0,0,0
25,2013,9,2013-11-10,26-007,SFO,,CAR,L 9-10,*,11,22,50.00,91,0,1,42.0,4.14,2.09,4,16,4.00,0,0,0,0.0,1,0
26,2013,10,2013-11-17,26-014,SFO,@,NOR,L 20-23,*,17,31,54.84,127,2,1,72.9,4.10,3.94,3,25,8.33,0,0,0,0.0,0,0
27,2013,11,2013-11-25,26-022,SFO,@,WAS,W 27-6,*,15,24,62.50,235,3,0,134.5,9.79,12.29,9,20,2.22,0,0,0,0.0,0,0
28,2013,12,2013-12-01,26-028,SFO,,STL,W 23-13,*,19,28,67.86,275,1,0,111.5,9.82,10.54,4,21,5.25,0,0,0,0.0,0,0
29,2013,13,2013-12-08,26-035,SFO,,SEA,W 19-17,*,15,29,51.72,175,1,1,67.5,6.03,5.17,9,31,3.44,0,0,0,0.0,0,0
30,2013,14,2013-12-15,26-042,SFO,@,TAM,W 33-14,*,19,29,65.52,203,2,0,108.8,7.00,8.38,4,42,10.50,0,0,0,0.0,0,0
31,2013,15,2013-12-23,26-050,SFO,,ATL,W 34-24,*,13,21,61.90,197,1,0,108.6,9.38,10.33,6,51,8.50,1,1,6,0.0,0,0
32,2013,16,2013-12-29,26-056,SFO,@,ARI,W 23-20,*,21,34,61.76,310,2,0,111.2,9.12,10.29,4,24,6.00,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
33,2014,1,2014-09-07,26-308,SFO,@,DAL,W 28-17,*,16,23,69.57,201,2,0,125.5,8.74,10.48,5,11,2.20,0,0,0,0.0,0,0
34,2014,2,2014-09-14,26-315,SFO,,CHI,L 20-28,*,21,34,61.76,248,1,3,57.0,7.29,3.91,9,64,7.11,0,0,0,0.0,0,0
35,2014,3,2014-09-21,26-322,SFO,@,ARI,L 14-23,*,29,37,78.38,245,1,0,103.3,6.62,7.16,12,54,4.50,0,0,0,0.0,0,0
36,2014,4,2014-09-28,26-329,SFO,,PHI,W 26-21,*,17,30,56.67,218,2,1,87.9,7.27,7.10,7,58,8.29,0,0,0,0.0,0,0
37,2014,5,2014-10-05,26-336,SFO,,KAN,W 22-17,*,14,26,53.85,201,1,0,92.0,7.73,8.50,10,18,1.80,0,0,0,0.0,0,0
38,2014,6,2014-10-13,26-344,SFO,@,STL,W 31-17,*,22,35,62.86,343,3,0,123.9,9.80,11.51,3,37,12.33,0,0,0,0.0,0,0
39,2014,7,2014-10-19,26-350,SFO,@,DEN,L 17-42,*,24,39,61.54,263,1,1,79.3,6.74,6.10,3,18,6.00,0,0,0,0.0,0,0
40,2014,8,2014-11-02,26-364,SFO,,STL,L 10-13,*,22,33,66.67,237,1,0,97.7,7.18,7.79,5,14,2.80,0,0,0,0.0,0,0
41,2014,9,2014-11-09,27-006,SFO,@,NOR,W 27-24,*,14,32,43.75,210,1,0,76.3,6.56,7.19,4,24,6.00,0,0,0,0.0,0,0
42,2014,10,2014-11-16,27-013,SFO,@,NYG,W 16-10,*,15,29,51.72,193,1,0,84.4,6.66,7.34,8,24,3.00,0,0,0,0.0,0,0
43,2014,11,2014-11-23,27-020,SFO,,WAS,W 17-13,*,20,29,68.97,256,1,1,93.5,8.83,7.97,9,14,1.56,0,0,0,0.0,0,0
44,2014,12,2014-11-27,27-024,SFO,,SEA,L 3-19,*,16,29,55.17,121,0,2,36.7,4.17,1.07,3,17,5.67,0,0,0,0.0,0,0
45,2014,13,2014-12-07,27-034,SFO,@,OAK,L 13-24,*,18,33,54.55,174,1,2,54.4,5.27,3.15,3,26,8.67,0,0,0,0.0,0,0
46,2014,14,2014-12-14,27-041,SFO,@,SEA,L 7-17,*,11,19,57.89,141,0,0,81.2,7.42,7.42,9,46,5.11,0,0,0,0.0,0,0
47,2014,15,2014-12-20,27-047,SFO,,SDG,L 35-38,*,15,24,62.50,114,1,0,87.8,4.75,5.58,7,151,21.57,1,1,6,0.0,0,0
