
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,2013,4,2013-09-29,23-291,TAM,,ARI,L 10-13,*,24,43,55.81,193,1,2,55.7,4.49,2.86,2,-1,-0.50,0,0.0,0,0
2,2013,5,2013-10-13,23-305,TAM,,PHI,L 20-31,*,26,43,60.47,273,2,1,84.7,6.35,6.23,3,20,6.67,0,0.0,0,0
3,2013,6,2013-10-20,23-312,TAM,@,ATL,L 23-31,*,26,44,59.09,256,2,0,90.7,5.82,6.73,1,13,13.00,0,0.0,0,0
4,2013,7,2013-10-24,23-316,TAM,,CAR,L 13-31,*,30,51,58.82,275,1,0,80.1,5.39,5.78,3,2,0.67,0,0.0,0,0
5,2013,8,2013-11-03,23-326,TAM,@,SEA,L 24-27,*,17,23,73.91,168,2,0,123.1,7.30,9.04,4,13,3.25,0,0.0,0,0
6,2013,9,2013-11-11,23-334,TAM,,MIA,W 22-19,*,11,21,52.38,139,1,1,69.3,6.62,5.43,4,-3,-0.75,0,0.0,0,0
7,2013,10,2013-11-17,23-340,TAM,,ATL,W 41-28,*,20,23,86.96,231,2,0,137.5,10.04,11.78,1,4,4.00,0,0.0,0,0
8,2013,11,2013-11-24,23-347,TAM,@,DET,W 24-21,*,14,21,66.67,247,2,0,138.4,11.76,13.67,4,-17,-4.25,0,0.0,0,0
9,2013,12,2013-12-01,23-354,TAM,@,CAR,L 6-27,*,14,21,66.67,180,0,1,73.5,8.57,6.43,2,3,1.50,0,0.0,0,0
10,2013,13,2013-12-08,23-361,TAM,,BUF,W 27-6,*,9,25,36.00,90,2,2,40.4,3.60,1.60,1,0,0.00,0,0.0,0,0
11,2013,14,2013-12-15,24-003,TAM,,SFO,L 14-33,*,18,34,52.94,179,2,1,75.5,5.26,5.12,0,0,,0,0.0,0,0
12,2013,15,2013-12-22,24-010,TAM,@,STL,L 13-23,*,16,26,61.54,158,0,0,78.7,6.08,6.08,2,3,1.50,0,0.0,0,0
13,2013,16,2013-12-29,24-017,TAM,@,NOR,L 17-42,*,22,41,53.66,219,2,1,75.2,5.34,5.22,0,0,,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
14,2014,3,2014-09-18,24-280,TAM,@,ATL,L 14-56,,17,24,70.83,121,1,0,96.0,5.04,5.88,3,19,6.33,0,0.0,1,0
15,2014,4,2014-09-28,24-290,TAM,@,PIT,W 27-24,*,21,42,50.00,302,2,1,79.7,7.19,7.07,0,0,,0,0.0,0,0
16,2014,5,2014-10-05,24-297,TAM,@,NOR,L 31-37,*,19,32,59.38,249,2,1,91.8,7.78,7.63,1,0,0.00,0,0.0,0,0
17,2014,6,2014-10-12,24-304,TAM,,BAL,L 17-48,*,24,44,54.55,314,2,1,83.0,7.14,7.02,0,0,,0,0.0,0,0
18,2014,7,2014-10-26,24-318,TAM,,MIN,L 13-19,*,19,28,67.86,171,1,1,81.1,6.11,5.21,3,13,4.33,0,0.0,0,0
19,2014,8,2014-11-02,24-325,TAM,@,CLE,L 17-22,*,17,33,51.52,260,2,2,72.8,7.88,6.36,3,17,5.67,0,0.0,1,0
,,,19 Games,,,,,5-14-0,,364,619,58.80,4025,29,15,83.7,6.50,6.35,37,86,2.32,0,0.0,2,0
