
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2006,1,2006-09-10,23-310,CHI,@,GNB,W 26-0,0,0,0,,0,0,0,,0,0,0,,0,5,104,20.80,1,1,6,0.0,0,0
2,2006,2,2006-09-17,23-317,CHI,,DET,W 34-7,0,0,0,,0,0,0,,0,0,0,,0,4,12,3.00,0,0,0,0.0,0,0
3,2006,3,2006-09-24,23-324,CHI,@,MIN,W 19-16,0,0,0,,0,0,0,,0,1,13,13.00,0,3,12,4.00,0,0,0,0.0,0,0
4,2006,4,2006-10-01,23-331,CHI,,SEA,W 37-6,0,0,0,,0,0,0,,0,0,0,,0,5,45,9.00,0,0,0,0.0,0,0
5,2006,5,2006-10-08,23-338,CHI,,BUF,W 40-7,0,0,0,,0,0,0,,0,0,0,,0,4,42,10.50,0,0,0,0.0,0,0
6,2006,6,2006-10-16,23-346,CHI,@,ARI,W 24-23,0,0,0,,0,0,0,,0,1,24,24.00,0,6,152,25.33,1,1,6,0.0,0,0
7,2006,7,2006-10-29,23-359,CHI,,SFO,W 41-10,0,0,0,,0,0,0,,0,0,0,,0,1,42,42.00,0,0,0,0.0,0,0
8,2006,8,2006-11-05,24-001,CHI,,MIA,L 13-31,0,0,0,,0,0,0,,0,0,0,,0,2,11,5.50,0,0,0,0.0,0,0
9,2006,9,2006-11-12,24-008,CHI,@,NYG,W 38-20,0,0,0,,0,0,0,,0,0,0,,0,2,0,0.00,0,0,0,0.0,0,0
10,2006,10,2006-11-19,24-015,CHI,@,NYJ,W 10-0,0,0,0,,0,0,0,,0,0,0,,0,1,7,7.00,0,0,0,0.0,0,0
11,2006,11,2006-11-26,24-022,CHI,@,NWE,L 13-17,0,0,0,,0,0,0,,0,1,21,21.00,0,0,0,,0,0,0,0.0,0,0
12,2006,12,2006-12-03,24-029,CHI,,MIN,W 23-13,0,0,0,,0,0,0,,0,3,68,22.67,0,2,70,35.00,1,1,6,0.0,0,0
13,2006,13,2006-12-11,24-037,CHI,@,STL,W 42-27,0,0,0,,0,0,0,,0,4,225,56.25,2,1,21,21.00,0,2,12,0.0,0,0
14,2006,14,2006-12-17,24-043,CHI,,TAM,W 34-31,1,0,0,,0,0,0,,0,5,76,15.20,0,6,63,10.50,0,0,0,0.0,0,0
15,2006,15,2006-12-24,24-050,CHI,@,DET,W 26-21,0,0,0,,0,0,0,,0,1,22,22.00,0,3,18,6.00,0,0,0,0.0,0,0
16,2006,16,2006-12-31,24-057,CHI,,GNB,L 7-26,0,0,0,,0,0,0,,0,4,79,19.75,0,2,1,0.50,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
17,2007,1,2007-09-09,24-309,CHI,@,SDG,L 3-14,0,0,0,,0,0,0,,0,1,29,29.00,0,0,0,,0,0,0,0.0,0,0
18,2007,2,2007-09-16,24-316,CHI,,KAN,W 20-10,2,0,0,,0,0,0,,0,2,29,14.50,0,5,143,28.60,1,1,6,0.0,0,0
19,2007,3,2007-09-23,24-323,CHI,,DAL,L 10-34,0,0,0,,0,0,0,,0,5,86,17.20,0,2,1,0.50,0,0,0,0.0,0,0
20,2007,4,2007-09-30,24-330,CHI,@,DET,L 27-37,1,1,3,3.00,0,0,0,,0,7,219,31.29,1,5,95,19.00,0,1,6,0.0,0,0
21,2007,5,2007-10-07,24-337,CHI,@,GNB,W 27-20,0,0,0,,0,1,5,5.00,0,0,0,,0,4,40,10.00,0,0,0,0.0,0,0
22,2007,6,2007-10-14,24-344,CHI,,MIN,L 31-34,2,1,81,81.00,1,1,-3,-3.00,0,4,86,21.50,0,4,108,27.00,1,2,12,0.0,0,0
23,2007,7,2007-10-21,24-351,CHI,@,PHI,W 19-16,4,3,41,13.67,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
