
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2008,11,2008-11-23,23-330,MIN,@,JAX,W 30-12,0,0,,0,0,0,0,,0,2,36,18.00,0,0,0,,0,0,0,0.0,0,0
2,2008,12,2008-11-30,23-337,MIN,,CHI,W 34-14,0,0,,0,0,0,0,,0,2,62,31.00,0,0,0,,0,0,0,0.0,0,0
3,2008,13,2008-12-07,23-344,MIN,@,DET,W 20-16,0,0,,0,0,0,0,,0,4,103,25.75,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
4,2009,1,2009-09-13,24-258,MIN,@,CLE,W 34-20,0,0,,0,0,0,0,,0,0,0,,0,2,54,27.00,0,0,0,0.0,0,0
5,2009,2,2009-09-20,24-265,MIN,@,DET,W 27-13,0,0,,0,0,0,0,,0,0,0,,0,2,22,11.00,0,0,0,0.0,0,0
6,2009,3,2009-09-27,24-272,MIN,,SFO,W 27-24,0,0,,0,0,0,0,,0,0,0,,0,3,45,15.00,0,0,0,0.0,0,0
7,2009,9,2009-11-15,24-321,MIN,,DET,W 27-10,0,0,,0,0,0,0,,0,0,0,,0,4,11,2.75,0,0,0,0.0,0,0
8,2009,10,2009-11-22,24-328,MIN,,SEA,W 35-9,0,0,,0,0,0,0,,0,0,0,,0,3,30,10.00,0,0,0,0.0,0,0
9,2009,11,2009-11-29,24-335,MIN,,CHI,W 36-10,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2009,12,2009-12-06,24-342,MIN,@,ARI,L 17-30,0,0,,0,0,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0.0,0,0
11,2009,13,2009-12-13,24-349,MIN,,CIN,W 30-10,0,0,,0,1,0,0,,0,2,54,27.00,0,5,60,12.00,0,0,0,0.0,0,0
12,2009,14,2009-12-20,24-356,MIN,@,CAR,L 7-26,0,0,,0,0,0,0,,0,1,15,15.00,0,4,58,14.50,0,0,0,0.0,0,0
13,2009,15,2009-12-28,24-364,MIN,@,CHI,L 30-36,0,0,,0,0,0,0,,0,0,0,,0,2,3,1.50,0,0,0,0.0,0,0
14,2009,16,2010-01-03,25-005,MIN,,NYG,W 44-7,0,0,,0,1,0,0,,0,1,21,21.00,0,4,23,5.75,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
15,2010,1,2010-09-12,25-257,NYG,,CAR,W 31-18,0,0,,0,0,0,0,,0,4,67,16.75,0,4,27,6.75,0,0,0,0.0,0,0
16,2010,2,2010-09-19,25-264,NYG,@,IND,L 14-38,0,0,,0,0,0,0,,0,2,25,12.50,0,1,3,3.00,0,0,0,0.0,0,0
17,2010,3,2010-09-26,25-271,NYG,,TEN,L 10-29,0,0,,0,0,0,0,,0,3,67,22.33,0,2,11,5.50,0,0,0,0.0,0,0
18,2010,4,2010-10-03,25-278,NYG,,CHI,W 17-3,0,0,,0,0,0,0,,0,2,44,22.00,0,5,14,2.80,0,0,0,0.0,0,0
19,2010,5,2010-10-10,25-285,NYG,@,HOU,W 34-10,0,0,,0,0,0,0,,0,3,78,26.00,0,5,22,4.40,0,0,0,0.0,0,0
20,2010,6,2010-10-17,25-292,NYG,,DET,W 28-20,0,0,,0,0,0,0,,0,4,65,16.25,0,2,36,18.00,0,0,0,0.0,0,0
21,2010,7,2010-10-25,25-300,NYG,@,DAL,W 41-35,0,0,,0,0,0,0,,0,3,40,13.33,0,3,17,5.67,0,0,0,0.0,0,0
22,2010,11,2010-11-28,25-334,NYG,,JAX,W 24-20,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2010,12,2010-12-05,25-341,NYG,,WAS,W 31-7,0,0,,0,0,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
24,2012,1,2012-09-09,27-255,TEN,,NWE,L 13-34,2,2,1.00,0,4,3,17,5.67,0,4,98,24.50,0,0,0,,0,0,0,0.0,0,0
25,2012,2,2012-09-16,27-262,TEN,@,SDG,L 10-38,0,0,,0,0,0,0,,0,3,47,15.67,0,3,30,10.00,0,0,0,0.0,0,0
26,2012,3,2012-09-23,27-269,TEN,,DET,W 44-41,1,0,0.00,0,0,0,0,,0,4,174,43.50,1,3,8,2.67,0,0,6,0.0,1,0
27,2012,4,2012-09-30,27-276,TEN,@,HOU,L 14-38,0,0,,0,0,0,0,,0,4,89,22.25,0,3,9,3.00,0,0,0,0.0,0,0
28,2012,5,2012-10-07,27-283,TEN,@,MIN,L 7-30,1,8,8.00,0,1,0,0,,0,2,61,30.50,0,2,25,12.50,0,0,0,0.0,0,0
29,2012,6,2012-10-11,27-287,TEN,,PIT,W 26-23,0,0,,0,0,0,0,,0,5,131,26.20,0,1,9,9.00,0,0,0,0.0,0,0
30,2012,7,2012-10-21,27-297,TEN,@,BUF,W 35-34,1,-4,-4.00,0,2,2,18,9.00,0,5,116,23.20,0,0,0,,0,0,0,0.0,0,0
