
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,2013,1,2013-09-05,22-136,BAL,@,DEN,L 27-49,6,4,65,16.25,1,0,0,,0,,1,6,0.0,0,0
2,2013,2,2013-09-15,22-146,BAL,,CLE,W 14-6,6,4,45,11.25,1,0,0,,0,,1,6,0.0,0,0
3,2013,3,2013-09-22,22-153,BAL,,HOU,W 30-9,3,2,6,3.00,0,0,0,,0,,0,0,0.0,0,0
4,2013,4,2013-09-29,22-160,BAL,@,BUF,L 20-23,8,4,34,8.50,1,0,0,,0,,1,6,0.0,2,0
5,2013,6,2013-10-13,22-174,BAL,,GNB,L 17-19,7,3,71,23.67,0,1,-2,-2.00,0,,0,0,0.0,0,0
6,2013,7,2013-10-20,22-181,BAL,@,PIT,L 16-19,4,4,22,5.50,0,0,0,,0,,0,0,0.0,0,0
7,2013,8,2013-11-03,22-195,BAL,@,CLE,L 18-24,9,5,54,10.80,2,0,0,,0,1,2,14,0.0,0,0
8,2013,9,2013-11-10,22-202,BAL,,CIN,W 20-17,3,1,10,10.00,0,0,0,,0,,0,0,0.0,0,0
9,2013,11,2013-11-24,22-216,BAL,,NYJ,W 19-3,2,1,1,1.00,0,0,0,,0,,0,0,0.0,1,0
10,2013,12,2013-11-28,22-220,BAL,,PIT,W 22-20,1,1,12,12.00,0,0,0,,0,,0,0,0.0,0,0
11,2013,13,2013-12-08,22-230,BAL,,MIN,W 29-26,11,7,92,13.14,1,0,0,,0,,1,6,0.0,0,0
12,2013,14,2013-12-16,22-238,BAL,@,DET,W 18-16,6,4,31,7.75,0,0,0,,0,,0,0,0.0,0,0
13,2013,15,2013-12-22,22-244,BAL,,NWE,L 7-41,7,4,51,12.75,0,0,0,,0,,0,0,0.0,1,0
14,2013,16,2013-12-29,22-251,BAL,@,CIN,L 17-34,9,5,30,6.00,1,0,0,,0,,1,6,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
15,2014,1,2014-09-07,23-138,BAL,,CIN,L 16-23,1,0,0,,0,0,0,,0,,0,0,0.0,0,0
16,2014,2,2014-09-11,23-142,BAL,,PIT,W 26-6,,,,,,,,,,,,,,,
17,2014,3,2014-09-21,23-152,BAL,@,CLE,W 23-21,1,1,15,15.00,0,0,0,,0,,0,0,0.0,0,0
18,2014,4,2014-09-28,23-159,BAL,,CAR,W 38-10,3,3,31,10.33,0,0,0,,0,,0,0,0.0,0,0
19,2014,5,2014-10-05,23-166,BAL,@,IND,L 13-20,2,0,0,,0,0,0,,0,,0,0,0.0,1,0
20,2014,8,2014-10-26,23-187,BAL,@,CIN,L 24-27,1,1,2,2.00,0,0,0,,0,,0,0,0.0,1,0
21,2014,9,2014-11-02,23-194,BAL,@,PIT,L 23-43,3,3,27,9.00,0,0,0,,0,,0,0,0.0,0,0
22,2014,10,2014-11-09,23-201,BAL,,TEN,W 21-7,2,2,18,9.00,0,0,0,,0,,0,0,0.0,0,0
23,2014,11,2014-11-24,23-216,BAL,@,NOR,W 34-27,1,1,14,14.00,0,0,0,,0,,0,0,0.0,0,0
