
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,2009,3,2009-09-27,22-045,PHI,,KAN,W 34-14,,,,,,,,,,,,,,
2,2009,8,2009-11-01,22-080,STL,@,DET,W 17-10,1,,,,,,,,,,,,,
3,2009,9,2009-11-15,22-094,STL,,NOR,L 23-28,9,7,93,13.29,0,0,0,,0,0,0,0.0,0,0
4,2009,10,2009-11-22,22-101,STL,,ARI,L 13-21,17,5,61,12.20,0,0,0,,0,0,0,0.0,0,0
5,2009,11,2009-11-29,22-108,STL,,SEA,L 17-27,7,3,18,6.00,0,0,0,,0,0,0,0.0,0,0
6,2009,12,2009-12-06,22-115,STL,@,CHI,L 9-17,5,3,38,12.67,0,0,0,,0,0,0,0.0,0,0
7,2009,13,2009-12-13,22-122,STL,@,TEN,L 7-47,11,6,43,7.17,0,0,0,,0,0,0,0.0,1,0
8,2009,14,2009-12-20,22-129,STL,,HOU,L 13-16,6,2,26,13.00,0,0,0,,0,0,0,0.0,0,0
9,2009,15,2009-12-27,22-136,STL,@,ARI,L 10-31,6,5,51,10.20,1,0,0,,0,1,6,0.0,0,0
10,2009,16,2010-01-03,22-143,STL,,SFO,L 6-28,7,3,18,6.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
11,2010,3,2010-09-26,23-044,STL,,WAS,W 30-16,8,3,33,11.00,0,0,0,,0,0,0,0.0,1,0
12,2010,4,2010-10-03,23-051,STL,,SEA,W 20-3,4,3,50,16.67,1,0,0,,0,1,6,0.0,0,0
13,2010,5,2010-10-10,23-058,STL,@,DET,L 6-44,6,2,34,17.00,0,0,0,,0,0,0,0.0,1,0
14,2010,6,2010-10-17,23-065,STL,,SDG,W 20-17,5,3,33,11.00,0,0,0,,0,0,0,0.0,0,0
15,2010,7,2010-10-24,23-072,STL,@,TAM,L 17-18,5,1,11,11.00,0,0,0,,0,0,0,0.0,0,0
16,2010,8,2010-10-31,23-079,STL,,CAR,W 20-10,7,6,67,11.17,0,0,0,,0,0,0,0.0,0,0
17,2010,9,2010-11-14,23-093,STL,@,SFO,L 20-23,9,8,72,9.00,0,0,0,,0,0,0,0.0,0,0
18,2010,10,2010-11-21,23-100,STL,,ATL,L 17-34,10,5,42,8.40,1,0,0,,0,1,6,0.0,0,0
19,2010,11,2010-11-28,23-107,STL,@,DEN,W 36-33,5,3,29,9.67,0,0,0,,0,0,0,0.0,0,0
20,2010,12,2010-12-05,23-114,STL,@,ARI,W 19-6,7,6,54,9.00,0,0,0,,0,0,0,0.0,0,0
21,2010,13,2010-12-12,23-121,STL,@,NOR,L 13-31,7,4,67,16.75,0,1,13,13.00,0,0,0,0.0,0,0
22,2010,14,2010-12-19,23-128,STL,,KAN,L 13-27,6,3,29,9.67,0,0,0,,0,0,0,0.0,0,0
23,2010,15,2010-12-26,23-135,STL,,SFO,W 25-17,6,3,69,23.00,0,2,15,7.50,0,0,0,0.0,0,0
24,2010,16,2011-01-02,23-142,STL,@,SEA,L 6-16,6,3,30,10.00,0,0,0,,0,0,0,0.0,1,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
25,2011,1,2011-09-11,24-029,STL,,PHI,L 13-31,5,3,50,16.67,0,0,0,,0,0,0,0.0,0,0
26,2011,2,2011-09-19,24-037,STL,@,NYG,L 16-28,8,4,52,13.00,0,0,0,,0,0,0,0.0,0,0
27,2011,3,2011-09-25,24-043,STL,,BAL,L 7-37,7,5,55,11.00,1,0,0,,0,1,6,0.0,0,0
28,2011,4,2011-10-02,24-050,STL,,WAS,L 10-17,1,1,14,14.00,0,0,0,,0,0,0,0.0,0,0
29,2011,5,2011-10-16,24-064,STL,@,GNB,L 3-24,10,4,43,10.75,0,1,5,5.00,0,0,0,0.0,0,0
30,2011,7,2011-10-30,24-078,STL,,NOR,W 31-21,6,2,27,13.50,0,1,11,11.00,0,0,0,0.0,0,0
31,2011,8,2011-11-06,24-085,STL,@,ARI,L 13-19,5,5,54,10.80,0,0,0,,0,0,0,0.0,0,0
32,2011,9,2011-11-13,24-092,STL,@,CLE,W 13-12,3,0,0,,0,0,0,,0,0,0,0.0,0,1
33,2011,10,2011-11-20,24-099,STL,,SEA,L 7-24,7,4,37,9.25,0,0,0,,0,0,0,0.0,0,0
34,2011,11,2011-11-27,24-106,STL,,ARI,L 20-23,7,2,30,15.00,0,0,0,,0,0,0,0.0,0,0
35,2011,12,2011-12-04,24-113,STL,@,SFO,L 0-26,7,4,42,10.50,0,0,0,,0,0,0,0.0,0,0
36,2011,13,2011-12-12,24-121,STL,@,SEA,L 13-30,1,1,6,6.00,0,0,0,,0,0,0,0.0,0,0
37,2011,14,2011-12-18,24-127,STL,,CIN,L 13-20,,,,,,,,,,,,,,
38,2011,15,2011-12-24,24-133,STL,@,PIT,L 0-27,1,0,0,,0,0,0,,0,0,0,0.0,0,0
39,2011,16,2012-01-01,24-141,STL,,SFO,L 27-34,3,1,21,21.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
40,2012,1,2012-09-09,25-027,STL,@,DET,L 23-27,5,4,51,12.75,1,0,0,,0,1,6,0.0,0,0
41,2012,2,2012-09-16,25-034,STL,,WAS,W 31-28,4,2,53,26.50,1,0,0,,0,1,6,0.0,0,0
42,2012,3,2012-09-23,25-041,STL,@,CHI,L 6-23,6,2,19,9.50,0,0,0,,0,0,0,0.0,0,0
43,2012,4,2012-09-30,25-048,STL,,SEA,W 19-13,4,2,28,14.00,0,0,0,,0,0,0,0.0,0,0
44,2012,5,2012-10-04,25-052,STL,,ARI,W 17-3,4,3,33,11.00,0,0,0,,0,0,0,0.0,0,0
45,2012,6,2012-10-14,25-062,STL,@,MIA,L 14-17,9,7,91,13.00,0,0,0,,0,0,0,0.0,0,0
46,2012,7,2012-10-21,25-069,STL,,GNB,L 20-30,7,5,60,12.00,0,0,0,,0,0,0,0.0,0,0
47,2012,8,2012-10-28,25-076,STL,,NWE,L 7-45,3,3,46,15.33,0,0,0,,0,0,0,0.0,0,0
48,2012,9,2012-11-11,25-090,STL,@,SFO,T 24-24,6,3,47,15.67,0,0,0,,0,0,0,0.0,0,0
49,2012,10,2012-11-18,25-097,STL,,NYJ,L 13-27,5,3,9,3.00,2,0,0,,0,2,12,0.0,0,0
50,2012,11,2012-11-25,25-104,STL,@,ARI,W 31-17,3,0,0,,0,0,0,,0,0,0,0.0,0,0
51,2012,12,2012-12-02,25-111,STL,,SFO,W 16-13,,,,,,,,,,,,,,
52,2012,13,2012-12-09,25-118,STL,@,BUF,W 15-12,9,6,100,16.67,1,0,0,,0,1,6,0.0,0,0
53,2012,14,2012-12-16,25-125,STL,,MIN,L 22-36,8,6,76,12.67,0,0,0,,0,0,0,0.0,0,0
54,2012,15,2012-12-23,25-132,STL,@,TAM,W 28-13,3,2,33,16.50,0,0,0,,0,0,0,0.0,0,0
55,2012,16,2012-12-30,25-139,STL,@,SEA,L 13-20,6,3,45,15.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
56,2013,1,2013-09-08,26-026,MIA,@,CLE,W 23-10,10,7,77,11.00,0,0,0,,0,0,0,0.0,0,0
57,2013,2,2013-09-15,26-033,MIA,@,IND,W 24-20,2,1,11,11.00,0,0,0,,0,0,0,0.0,0,0
58,2013,3,2013-09-22,26-040,MIA,,ATL,W 27-23,8,6,49,8.17,0,0,0,,0,0,0,0.0,0,0
59,2013,4,2013-09-30,26-048,MIA,@,NOR,L 17-38,8,6,71,11.83,0,0,0,,0,0,0,0.0,0,0
60,2013,5,2013-10-06,26-054,MIA,,BAL,L 23-26,5,4,74,18.50,0,0,0,,0,0,0,0.0,0,0
61,2013,6,2013-10-20,26-068,MIA,,BUF,L 21-23,8,5,40,8.00,2,0,0,,0,2,12,0.0,0,0
62,2013,7,2013-10-27,26-075,MIA,@,NWE,L 17-27,2,1,4,4.00,1,0,0,,0,1,6,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
63,2014,1,2014-09-07,27-025,MIA,,NWE,W 33-20,1,1,9,9.00,0,0,0,,0,0,0,0.0,0,0
64,2014,2,2014-09-14,27-032,MIA,@,BUF,L 10-29,4,3,27,9.00,0,0,0,,0,0,0,0.0,0,0
65,2014,3,2014-09-21,27-039,MIA,,KAN,L 15-34,4,1,3,3.00,0,0,0,,0,0,0,0.0,0,0
66,2014,4,2014-09-28,27-046,MIA,@,OAK,W 38-14,4,2,26,13.00,0,0,0,,0,0,0,0.0,0,0
67,2014,7,2014-10-26,27-074,MIA,@,JAX,W 27-13,3,1,7,7.00,0,0,0,,0,0,0,0.0,0,0
68,2014,8,2014-11-02,27-081,MIA,,SDG,W 37-0,2,1,18,18.00,0,0,0,,0,0,0,0.0,0,0
69,2014,9,2014-11-09,27-088,MIA,@,DET,L 16-20,2,2,20,10.00,0,0,0,,0,0,0,0.0,0,0
70,2014,10,2014-11-13,27-092,MIA,,BUF,W 22-9,3,2,13,6.50,1,0,0,,0,1,6,0.0,0,0
71,2014,11,2014-11-23,27-102,MIA,@,DEN,L 36-39,6,5,42,8.40,0,0,0,,0,0,0,0.0,0,0
72,2014,12,2014-12-01,27-110,MIA,@,NYJ,W 16-13,3,2,17,8.50,0,0,0,,0,0,0,0.0,0,0
73,2014,13,2014-12-07,27-116,MIA,,BAL,L 13-28,3,1,7,7.00,0,0,0,,0,0,0,0.0,0,0
74,2014,14,2014-12-14,27-123,MIA,@,NWE,L 13-41,4,3,29,9.67,0,0,0,,0,0,0,0.0,1,0
75,2014,15,2014-12-21,27-130,MIA,,MIN,W 37-35,5,2,50,25.00,0,0,0,,0,0,0,0.0,0,0
76,2014,16,2014-12-28,27-137,MIA,,NYJ,L 24-37,7,3,27,9.00,0,0,0,,0,0,0,0.0,0,0
,,,76 Games,,,,,28-47-1,407,233,2711,11.64,13,5,44,8.80,0,13,78,0.0,5,1
